,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,1,4,10,23,36,72,76,81,86,138,208,205,287,"1,227",23.8,,,,
1,2,Colorectum,-,-,-,-,-,-,4,4,12,27,52,47,40,53,85,132,127,170,753,14.6,,,,
2,3,Breast,-,-,-,-,1,-,7,15,39,57,98,75,53,33,43,39,41,54,555,10.8,,,,
3,4,Liver,-,-,-,-,-,2,1,3,4,12,16,33,34,39,63,62,65,82,416,8.1,,,,
4,5,Stomach,-,-,-,-,-,5,4,6,8,15,19,20,10,17,24,23,26,65,242,4.7,,,,
5,6,Pancreas,-,-,-,-,-,-,-,1,3,2,17,15,20,14,30,31,31,36,200,3.9,,,,
6,7,Ovary and peritoneum,-,-,-,-,1,1,1,5,8,23,18,14,14,7,14,12,11,13,142,2.8,,,,
7,7,Non-Hodgkin lymphoma,1,-,-,1,2,2,-,3,6,10,5,9,9,8,19,20,21,26,142,2.8,,,,
8,9,Cervix,-,-,-,-,-,3,1,3,3,11,15,18,9,9,9,16,17,14,128,2.5,,,,
9,10,Leukaemia,2,1,1,1,3,1,2,6,6,4,10,10,12,7,16,11,15,18,126,2.4,,,,
10,11,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,1,1,4,5,5,12,17,18,20,83,1.6,,,,
11,12,Nasopharynx,-,-,-,-,1,-,-,-,3,13,10,11,12,2,7,11,3,5,78,1.5,,,,
12,13,Kidney and other urinary organs except bladder,-,-,-,-,-,-,1,1,2,2,1,3,5,4,9,14,12,20,74,1.4,,,,
13,14,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,-,1,2,1,3,5,5,4,8,6,13,16,64,1.2,,,,
14,15,Corpus uteri,-,-,-,-,-,-,-,1,1,2,5,15,5,6,4,10,8,5,62,1.2,,,,
15,16,Oesophagus,-,-,-,-,-,-,-,-,-,-,2,3,2,5,6,12,10,19,59,1.1,,,,
16,17,Bladder,-,-,-,-,-,-,-,-,-,2,2,-,3,5,6,12,10,15,55,1.1,,,,
17,18,Multiple myeloma,-,-,-,-,-,-,-,-,-,1,2,3,2,5,9,5,9,13,49,1.0,,,,
18,19,"Uterus, unspecified",-,-,-,-,-,-,1,-,-,6,7,8,4,4,5,4,4,5,48,0.9,,,,
19,20,Bone and soft tissue,-,-,-,2,2,1,1,2,6,1,-,9,1,3,5,7,4,2,46,0.9,,,,
20,21,Brain and other central nervous system,-,-,-,2,1,-,2,2,1,4,5,2,2,2,4,4,5,3,39,0.8,,,,
21,22,Thyroid gland,-,-,-,-,-,-,-,-,-,-,2,-,-,4,4,4,8,4,26,0.5,,,,
22,23,Melanoma of skin,-,-,-,-,-,-,-,-,1,5,1,2,1,1,2,7,1,3,24,0.5,,,,
23,24,"Vagina, vulva and other female genital",-,-,-,-,1,-,-,1,1,2,-,1,1,-,4,1,4,4,20,0.4,,,,
24,25,Small intestine,-,-,-,-,-,-,-,-,-,1,1,1,2,-,1,3,1,3,13,0.3,,,,
25,26,Thymus / other thoracic organs,-,-,-,-,-,-,-,-,2,1,2,1,1,1,-,3,-,-,11,0.2,,,,
26,27,Non-melanoma skin,-,1,-,1,-,-,-,-,-,-,1,-,-,1,1,-,2,3,10,0.2,,,,
27,28,Larynx,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,3,1,6,0.1,,,,
28,28,Other endocrine glands,1,-,-,-,-,-,-,-,-,-,3,1,-,-,-,1,-,-,6,0.1,,,,
29,30,Mesothelioma,-,-,-,-,-,-,-,1,-,-,1,-,-,1,1,1,-,-,5,0.1,,,,
30,31,Hodgkin lymphoma,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2,-,-,4,0.1,,,,
31,32,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,0.0,,,,
32,33,Placenta,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,0.0,,,,
33,33,Eye,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,0.0,,,,
34,-,Other and unspecified,-,-,-,1,1,-,2,9,14,17,28,29,20,26,50,66,81,96,440,8.5,,,,
35,-,All sites,4,2,1,8,13,18,31,76,145,256,400,415,354,352,580,744,755,"1,003","5,157",100.0,,,,
0,,Lung,-,-,-,-,-,0.3,1.3,3.0,6.9,10.1,23.5,31.8,48.9,81.7,116.6,197.2,267.6,382.7,,,1,1.6,33.3,15.7
1,,Colorectum,-,-,-,-,-,-,1.3,1.2,3.6,7.6,16.9,19.7,24.1,50.3,71.8,125.1,165.8,226.7,,,2,1.0,20.4,9.6
2,,Breast,-,-,-,-,0.4,-,2.3,4.5,11.7,16.1,31.9,31.4,32.0,31.3,36.3,37.0,53.5,72.0,,,3,1.0,15.0,8.9
3,,Liver,-,-,-,-,-,0.7,0.3,0.9,1.2,3.4,5.2,13.8,20.5,37.0,53.2,58.8,84.9,109.3,,,4,0.7,11.3,5.8
4,,Stomach,-,-,-,-,-,1.7,1.3,1.8,2.4,4.2,6.2,8.4,6.0,16.1,20.3,21.8,33.9,86.7,,,5,0.3,6.6,3.3
5,,Pancreas,-,-,-,-,-,-,-,0.3,0.9,0.6,5.5,6.3,12.1,13.3,25.3,29.4,40.5,48.0,,,6,0.3,5.4,2.8
6,,Ovary and peritoneum,-,-,-,-,0.4,0.3,0.3,1.5,2.4,6.5,5.9,5.9,8.4,6.6,11.8,11.4,14.4,17.3,,,7,0.3,3.9,2.3
7,,Leukaemia,1.8,0.8,0.5,0.5,1.3,0.3,0.6,1.8,1.8,1.1,3.3,4.2,7.2,6.6,13.5,10.4,19.6,24.0,,,8,0.2,3.4,2.3
8,,Non-Hodgkin lymphoma,0.9,-,-,0.5,0.8,0.7,-,0.9,1.8,2.8,1.6,3.8,5.4,7.6,16.0,19.0,27.4,34.7,,,9,0.2,3.9,2.1
