,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,-,4,9,20,40,71,109,154,170,119,192,216,323,"1,427",23.9,,,,
1,2,Colorectum,-,-,-,1,-,1,1,7,20,20,34,59,65,80,55,122,160,271,896,15.0,,,,
2,3,Breast,-,-,-,-,-,1,11,8,33,74,99,94,95,60,35,32,40,55,637,10.7,,,,
3,4,Liver,-,1,-,-,-,-,1,2,3,3,11,27,35,45,42,65,100,97,432,7.2,,,,
4,5,Pancreas,-,-,-,-,-,1,-,1,3,12,20,38,31,34,33,52,50,71,346,5.8,,,,
5,6,Stomach,-,-,-,-,-,-,4,2,14,10,19,27,20,12,17,22,39,73,259,4.3,,,,
6,7,Ovary and peritoneum,-,-,-,-,-,-,2,2,15,26,32,33,31,16,10,15,14,18,214,3.6,,,,
7,8,Cervix,-,-,-,-,-,-,3,8,9,17,20,18,20,13,8,14,16,23,169,2.8,,,,
8,9,Non-Hodgkin lymphoma,-,-,-,1,1,-,1,1,4,7,10,9,14,18,11,33,27,23,160,2.7,,,,
9,10,Leukaemia,2,-,-,-,4,6,3,6,4,3,10,8,7,26,10,24,19,24,156,2.6,,,,
10,11,Corpus uteri,-,-,-,-,-,-,-,2,2,5,17,28,14,12,9,6,2,6,103,1.7,,,,
11,12,Multiple myeloma,-,-,-,-,-,-,-,-,1,-,4,3,4,14,4,14,11,20,75,1.3,,,,
12,13,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,3,1,3,4,4,6,11,11,28,71,1.2,,,,
13,13,Kidney and other urinary organs except bladder,-,-,-,-,-,-,1,-,-,3,3,3,5,15,3,4,14,20,71,1.2,,,,
14,15,Nasopharynx,-,-,-,-,-,1,3,3,2,7,9,12,7,6,5,2,7,4,68,1.1,,,,
15,16,Bone and soft tissue,-,1,3,1,3,1,1,2,3,2,5,10,7,4,5,6,4,5,63,1.1,,,,
16,17,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,1,-,-,1,-,2,1,2,11,4,6,2,6,9,16,61,1.0,,,,
17,18,Oesophagus,-,-,-,-,-,-,-,-,1,1,1,4,2,4,5,8,8,23,57,1.0,,,,
18,19,Bladder,-,-,-,-,-,-,-,-,1,-,1,1,2,2,1,8,14,25,55,0.9,,,,
19,20,Brain and other central nervous system,-,2,-,3,-,-,2,2,3,1,1,3,12,5,5,1,5,5,50,0.8,,,,
20,21,"Uterus, unspecified",-,-,-,-,-,-,-,2,1,3,4,9,8,5,4,4,3,5,48,0.8,,,,
21,22,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,1,2,2,6,4,2,1,3,5,-,8,34,0.6,,,,
