,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,1,2,9,17,60,144,209,275,318,341,439,411,299,-,"2,525",31.8,,,,
1,2,Liver,1,-,-,-,1,4,5,18,24,50,110,142,160,136,134,161,110,84,-,"1,140",14.4,,,,
2,3,Colorectum,-,-,-,-,-,-,5,7,11,35,56,96,105,100,138,188,170,170,-,"1,081",13.6,,,,
3,4,Stomach,-,-,-,-,-,-,2,4,6,10,25,26,40,38,48,74,72,64,-,409,5.2,,,,
4,5,Prostate,-,-,-,-,-,-,-,-,-,-,3,6,13,21,41,56,72,87,-,299,3.8,,,,
5,6,Oesophagus,-,-,-,-,1,-,1,-,4,7,20,28,42,34,35,52,31,30,-,285,3.6,,,,
6,7,Nasopharynx,-,-,-,-,1,-,-,10,17,30,42,44,44,26,22,24,18,6,-,284,3.6,,,,
7,8,Pancreas,-,-,-,-,1,-,-,2,-,5,19,28,41,26,36,52,38,30,-,278,3.5,,,,
8,9,Leukaemia,3,1,2,3,2,2,3,3,8,8,19,16,21,17,21,24,18,16,-,187,2.4,,,,
9,10,Non-Hodgkin lymphoma,-,-,-,3,2,2,1,1,2,8,7,11,25,14,22,26,24,19,-,167,2.1,,,,
10,11,Bladder,-,-,-,-,-,-,-,-,-,2,3,3,8,20,20,25,32,33,-,146,1.8,,,,
11,12,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,1,3,3,11,10,15,14,15,4,16,8,10,-,110,1.4,,,,
12,13,Kidney and other urinary organs except bladder,-,-,-,-,-,-,1,1,3,5,7,9,11,8,10,20,16,8,-,99,1.2,,,,
13,14,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,1,-,-,2,2,2,13,10,8,10,15,20,-,83,1.0,,,,
14,15,Multiple myeloma,-,-,-,-,-,-,-,-,-,-,2,2,9,6,15,15,10,12,-,71,0.9,,,,
15,16,Bone and soft tissue,-,-,-,1,3,3,3,5,3,6,5,4,6,3,7,3,5,6,-,63,0.8,,,,
16,16,Brain and other central nervous system,1,1,1,-,2,1,3,5,2,8,7,7,8,2,2,8,4,1,-,63,0.8,,,,
17,18,Larynx,-,-,-,-,-,-,-,-,1,-,3,4,6,4,10,6,10,10,-,54,0.7,,,,
18,19,Small intestine,-,-,-,-,-,-,-,2,-,1,1,-,2,2,5,8,1,1,-,23,0.3,,,,
19,19,Thyroid gland,-,-,-,-,-,-,-,-,-,-,2,5,2,5,1,4,1,3,-,23,0.3,,,,
20,21,Mesothelioma,-,-,-,-,-,-,-,-,-,-,-,1,4,1,3,6,1,1,-,17,0.2,,,,
21,22,Melanoma of skin,-,-,-,-,-,-,-,-,-,2,2,1,2,1,-,1,2,4,-,15,0.2,,,,
22,23,Thymus / other thoracic organs,-,-,1,-,-,-,-,1,-,-,1,2,1,4,-,2,2,-,-,14,0.2,,,,
23,24,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,1,3,-,2,1,1,1,1,1,-,11,0.1,,,,
24,25,Non-melanoma skin,-,-,-,-,-,-,-,-,-,1,-,1,3,1,1,1,-,1,-,9,0.1,,,,
25,26,Other endocrine glands,-,1,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,5,0.1,,,,
26,27,Eye,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,3,0.0,,,,
27,27,Hodgkin lymphoma,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,3,0.0,,,,
28,29,Breast,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2,0.0,,,,
29,30,Testis,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,0.0,,,,
30,30,Penis / other male genital,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,0.0,,,,
31,-,Other and unspecified,-,-,-,1,1,2,-,3,7,10,29,34,47,41,68,72,89,60,1,465,5.9,,,,
