,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,1,2,11,11,62,96,213,285,284,353,480,406,333,-,"2,537",30.9,,,,
1,2,Liver,2,-,-,-,1,-,5,10,32,47,91,168,163,135,131,122,146,95,1,"1,149",14.0,,,,
2,3,Colorectum,-,-,-,-,-,1,5,6,12,29,46,99,118,104,153,155,193,218,-,"1,139",13.9,,,,
3,4,Prostate,-,-,-,-,-,-,-,1,-,-,5,14,13,33,46,73,89,124,-,398,4.8,,,,
4,5,Stomach,-,-,-,-,2,1,1,2,9,3,13,38,36,30,54,61,71,73,-,394,4.8,,,,
5,6,Pancreas,-,-,-,-,-,-,-,4,4,3,22,38,54,42,47,39,52,23,-,328,4.0,,,,
6,7,Oesophagus,-,-,-,-,-,-,1,-,2,2,14,33,38,41,33,40,29,21,-,254,3.1,,,,
7,8,Nasopharynx,-,-,1,-,-,2,5,4,7,10,42,52,27,29,17,19,15,7,-,237,2.9,,,,
8,9,Non-Hodgkin lymphoma,-,-,-,-,-,1,1,1,4,3,12,21,20,23,26,33,27,32,-,204,2.5,,,,
9,10,Leukaemia,2,-,-,3,1,3,4,2,7,6,10,19,14,20,21,31,28,20,-,191,2.3,,,,
10,11,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,-,2,4,6,10,18,21,19,19,21,18,12,-,150,1.8,,,,
11,12,Bladder,-,-,-,-,-,-,-,-,1,-,2,4,11,10,16,24,41,38,-,147,1.8,,,,
12,13,Kidney and other urinary organs except bladder,-,-,-,1,-,-,-,-,5,3,15,14,19,18,15,10,19,8,-,127,1.5,,,,
13,14,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,1,6,7,7,7,12,15,24,13,-,92,1.1,,,,
14,15,Multiple myeloma,-,-,-,-,-,-,-,-,1,-,4,11,13,5,13,12,14,11,-,84,1.0,,,,
15,16,Bone and soft tissue,1,1,1,3,-,1,-,1,2,2,7,6,6,7,5,7,8,5,-,63,0.8,,,,
16,17,Larynx,-,-,-,-,-,-,-,-,-,-,5,8,8,5,14,8,6,7,-,61,0.7,,,,
17,17,Brain and other central nervous system,-,2,-,1,1,2,-,2,5,3,5,13,10,8,2,2,2,3,-,61,0.7,,,,
18,19,Small intestine,-,-,-,-,-,-,-,-,-,-,1,2,6,1,-,8,3,7,-,28,0.3,,,,
19,20,Melanoma of skin,-,-,-,-,-,-,-,-,1,-,2,2,4,5,2,-,1,6,-,23,0.3,,,,
20,21,Mesothelioma,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,6,7,4,-,21,0.3,,,,
21,21,Thyroid gland,-,-,-,-,-,-,-,-,1,1,-,1,4,2,1,2,5,4,-,21,0.3,,,,
22,23,Thymus / other thoracic organs,-,-,-,-,1,-,1,-,1,1,4,3,1,2,1,3,2,-,-,20,0.2,,,,
23,24,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,6,1,-,11,0.1,,,,
24,25,Other endocrine glands,3,1,-,-,-,-,-,-,2,1,1,-,2,-,-,-,-,-,-,10,0.1,,,,
25,26,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,-,-,1,3,4,-,-,-,1,-,9,0.1,,,,
26,27,Hodgkin lymphoma,-,-,-,-,-,1,-,-,-,-,-,2,-,-,1,1,2,-,-,7,0.1,,,,
27,28,Breast,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,2,-,-,-,6,0.1,,,,
28,28,Penis / other male genital,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,-,-,1,-,6,0.1,,,,
29,30,Testis,-,-,-,-,-,-,1,1,-,-,-,1,-,1,-,-,-,-,-,4,0.0,,,,
30,31,Kaposi sarcoma,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.0,,,,
31,31,Eye,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,0.0,,,,
32,-,Other and unspecified,-,-,-,2,2,-,1,3,5,9,17,32,43,44,57,78,74,72,-,439,5.3,,,,
33,-,All sites,8,4,2,10,8,14,27,50,116,193,431,826,929,884,"1,041","1,252","1,288","1,139",1,"8,223",100.0,,,,
0,,Lung,-,-,-,-,-,0.4,0.9,4.9,4.6,24.0,30.9,73.0,125.3,174.2,322.1,480.5,553.9,664.7,,,,1,3.8,75.9,34.1
1,,Liver,1.5,-,-,-,0.4,-,2.1,4.4,13.4,18.2,29.3,57.6,71.6,82.8,119.5,122.1,199.2,189.6,,,,2,2.0,34.4,17.2
2,,Colorectum,-,-,-,-,-,0.4,2.1,2.6,5.0,11.2,14.8,34.0,51.9,63.8,139.6,155.2,263.3,435.1,,,,3,1.6,34.1,15.2
3,,Stomach,-,-,-,-,0.9,0.4,0.4,0.9,3.8,1.2,4.2,13.0,15.8,18.4,49.3,61.1,96.9,145.7,,,,4,0.5,11.8,5.2
4,,Pancreas,-,-,-,-,-,-,-,1.8,1.7,1.2,7.1,13.0,23.7,25.8,42.9,39.0,70.9,45.9,,,,5,0.6,9.8,4.7
5,,Prostate,-,-,-,-,-,-,-,0.4,-,-,1.6,4.8,5.7,20.2,42.0,73.1,121.4,247.5,,,,6,0.4,11.9,4.5
6,,Nasopharynx,-,-,0.7,-,-,0.9,2.1,1.8,2.9,3.9,13.5,17.8,11.9,17.8,15.5,19.0,20.5,14.0,,,,7,0.4,7.1,3.8
7,,Oesophagus,-,-,-,-,-,-,0.4,-,0.8,0.8,4.5,11.3,16.7,25.2,30.1,40.0,39.6,41.9,,,,8,0.4,7.6,3.6
8,,Leukaemia,1.5,-,-,1.5,0.4,1.3,1.7,0.9,2.9,2.3,3.2,6.5,6.2,12.3,19.2,31.0,38.2,39.9,,,,9,0.3,5.7,3.0
9,,Non-Hodgkin lymphoma,-,-,-,-,-,0.4,0.4,0.4,1.7,1.2,3.9,7.2,8.8,14.1,23.7,33.0,36.8,63.9,,,,10,0.3,6.1,2.8
10,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,-,0.9,1.7,2.3,3.2,6.2,9.2,11.7,17.3,21.0,24.6,24.0,,,,11,0.3,4.5,2.2
11,,Kidney and other urinary organs except bladder,-,-,-,0.5,-,-,-,-,2.1,1.2,4.8,4.8,8.4,11.0,13.7,10.0,25.9,16.0,,,,12,0.2,3.8,1.9
12,,Bladder,-,-,-,-,-,-,-,-,0.4,-,0.6,1.4,4.8,6.1,14.6,24.0,55.9,75.8,,,,13,0.1,4.4,1.7
13,,Brain and other central nervous system,-,1.5,-,0.5,0.4,0.9,-,0.9,2.1,1.2,1.6,4.5,4.4,4.9,1.8,2.0,2.7,6.0,,,,14,0.1,1.8,1.2
14,,Bone and soft tissue,0.7,0.7,0.7,1.5,-,0.4,-,0.4,0.8,0.8,2.3,2.1,2.6,4.3,4.6,7.0,10.9,10.0,,,,15,0.1,1.9,1.2
15,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,0.4,1.9,2.4,3.1,4.3,10.9,15.0,32.7,25.9,,,,16,0.1,2.8,1.1
16,,Multiple myeloma,-,-,-,-,-,-,-,-,0.4,-,1.3,3.8,5.7,3.1,11.9,12.0,19.1,22.0,,,,17,0.1,2.5,1.1
17,,Larynx,-,-,-,-,-,-,-,-,-,-,1.6,2.7,3.5,3.1,12.8,8.0,8.2,14.0,,,,18,0.1,1.8,0.9
18,,Other endocrine glands,2.2,0.7,-,-,-,-,-,-,0.8,0.4,0.3,-,0.9,-,-,-,-,-,,,,19,0.0,0.3,0.5
19,,Melanoma of skin,-,-,-,-,-,-,-,-,0.4,-,0.6,0.7,1.8,3.1,1.8,-,1.4,12.0,,,,20,0.0,0.7,0.4
20,,Small intestine,-,-,-,-,-,-,-,-,-,-,0.3,0.7,2.6,0.6,-,8.0,4.1,14.0,,,,21,0.0,0.8,0.3
21,,Thymus / other thoracic organs,-,-,-,-,0.4,-,0.4,-,0.4,0.4,1.3,1.0,0.4,1.2,0.9,3.0,2.7,-,,,,22,0.0,0.6,0.3
22,,Thyroid gland,-,-,-,-,-,-,-,-,0.4,0.4,-,0.3,1.8,1.2,0.9,2.0,6.8,8.0,,,,23,0.0,0.6,0.3
23,,Mesothelioma,-,-,-,-,-,-,-,-,-,-,0.3,0.3,0.4,0.6,-,6.0,9.5,8.0,,,,24,0.0,0.6,0.2
24,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,-,-,0.3,1.3,2.5,-,-,-,2.0,,,,25,0.0,0.3,0.2
