,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,1,-,8,15,32,58,89,148,156,161,126,185,405,"1,384",22.4,,,,
1,2,Colorectum,-,-,-,-,-,3,5,3,5,16,45,50,92,94,121,81,134,323,972,15.8,,,,
2,3,Breast,-,-,-,-,-,2,4,13,23,48,71,117,103,85,70,54,63,98,751,12.2,,,,
3,4,Liver,-,-,1,-,-,-,-,1,1,9,8,23,27,45,54,48,80,110,407,6.6,,,,
4,5,Pancreas,-,-,-,-,-,-,-,1,-,4,15,22,34,36,48,42,54,93,349,5.7,,,,
5,6,Ovary and peritoneum,-,-,-,-,-,1,1,2,9,19,34,36,31,36,22,20,14,32,257,4.2,,,,
6,7,Stomach,-,-,-,-,1,1,3,5,3,8,16,27,18,32,12,22,25,70,243,3.9,,,,
7,8,Cervix,-,-,-,-,-,-,2,4,10,13,16,23,16,20,12,13,8,22,159,2.6,,,,
8,8,Non-Hodgkin lymphoma,-,-,-,-,-,1,-,1,4,2,4,4,9,19,18,23,30,44,159,2.6,,,,
9,10,Leukaemia,5,-,-,1,-,-,1,3,3,4,9,11,17,18,18,13,22,33,158,2.6,,,,
10,11,Corpus uteri,-,-,-,-,-,1,-,1,-,3,11,24,21,18,19,9,4,10,121,2.0,,,,
11,12,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,-,1,1,4,5,10,12,8,8,23,28,100,1.6,,,,
12,13,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,1,1,2,3,6,11,8,6,15,24,77,1.2,,,,
13,14,Nasopharynx,-,-,-,-,-,-,-,-,5,9,10,6,9,6,9,9,3,5,71,1.2,,,,
14,15,Bladder,-,-,-,-,-,-,-,-,1,1,-,-,4,7,6,5,9,35,68,1.1,,,,
15,16,"Uterus, unspecified",-,-,-,-,-,-,-,-,3,7,7,14,8,9,9,1,4,4,66,1.1,,,,
16,16,Brain and other central nervous system,1,3,1,1,3,-,2,4,1,3,6,10,7,8,9,4,-,3,66,1.1,,,,
17,18,Multiple myeloma,-,-,-,-,-,-,-,-,-,-,1,5,6,7,8,6,17,15,65,1.1,,,,
18,19,Bone and soft tissue,1,-,1,-,1,-,1,5,3,5,5,6,6,3,6,4,8,8,63,1.0,,,,
19,20,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,-,1,2,3,3,5,7,6,3,7,7,16,60,1.0,,,,
20,21,Oesophagus,-,-,-,-,-,-,-,1,-,-,1,5,4,5,8,5,8,20,57,0.9,,,,
21,22,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,-,-,2,3,8,9,2,4,2,6,16,52,0.8,,,,
22,23,Melanoma of skin,-,-,-,-,-,-,-,-,1,1,3,5,4,1,4,4,5,9,37,0.6,,,,
23,24,Thyroid gland,-,-,-,-,-,-,-,1,-,-,-,1,1,-,4,7,6,9,29,0.5,,,,
24,25,Small intestine,-,-,-,-,-,-,-,-,-,1,4,-,2,5,3,1,2,5,23,0.4,,,,
25,26,Thymus / other thoracic organs,-,-,-,-,1,-,-,1,-,1,1,-,2,2,-,2,2,3,15,0.2,,,,
26,27,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,8,10,0.2,,,,
27,28,Other endocrine glands,3,-,-,-,-,-,-,-,-,1,-,-,1,1,1,-,-,-,7,0.1,,,,
28,29,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,1,-,-,-,-,-,-,3,1,-,-,-,5,0.1,,,,
29,29,Mesothelioma,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,2,5,0.1,,,,
30,31,Hodgkin lymphoma,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,2,4,0.1,,,,
31,32,Larynx,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,3,0.0,,,,
32,33,Eye,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0.0,,,,
33,-,Other and unspecified,-,-,-,1,-,1,-,2,5,6,10,25,38,36,33,31,31,108,327,5.3,,,,
34,-,All sites,10,3,3,3,6,11,20,58,96,200,347,526,641,686,681,553,766,"1,561","6,171",100.0,,,,
0,,Lung,-,-,-,-,-,0.4,-,2.2,4.3,9.3,17.7,25.6,48.2,65.5,92.7,136.1,206.5,293.5,,,1,1.3,34.1,12.5
1,,Breast,-,-,-,-,-,0.8,1.3,3.6,6.6,13.9,21.7,33.6,33.5,35.7,40.3,58.3,70.3,71.0,,,2,1.0,18.5,8.5
2,,Colorectum,-,-,-,-,-,1.2,1.6,0.8,1.4,4.6,13.8,14.4,29.9,39.5,69.7,87.5,149.6,234.1,,,3,0.9,23.9,8.4
3,,Liver,-,-,0.7,-,-,-,-,0.3,0.3,2.6,2.4,6.6,8.8,18.9,31.1,51.8,89.3,79.7,,,4,0.4,10.0,3.5
4,,Pancreas,-,-,-,-,-,-,-,0.3,-,1.2,4.6,6.3,11.1,15.1,27.6,45.4,60.3,67.4,,,5,0.3,8.6,3.1
5,,Ovary and peritoneum,-,-,-,-,-,0.4,0.3,0.5,2.6,5.5,10.4,10.3,10.1,15.1,12.7,21.6,15.6,23.2,,,6,0.3,6.3,3.0
6,,Stomach,-,-,-,-,0.5,0.4,1.0,1.4,0.9,2.3,4.9,7.8,5.9,13.4,6.9,23.8,27.9,50.7,,,7,0.2,6.0,2.4
7,,Leukaemia,4.2,-,-,0.8,-,-,0.3,0.8,0.9,1.2,2.8,3.2,5.5,7.6,10.4,14.0,24.6,23.9,,,8,0.2,3.9,2.1
8,,Cervix,-,-,-,-,-,-,0.6,1.1,2.9,3.8,4.9,6.6,5.2,8.4,6.9,14.0,8.9,15.9,,,9,0.2,3.9,1.9
9,,Corpus uteri,-,-,-,-,-,0.4,-,0.3,-,0.9,3.4,6.9,6.8,7.6,10.9,9.7,4.5,7.2,,,10,0.2,3.0,1.4
10,,Non-Hodgkin lymphoma,-,-,-,-,-,0.4,-,0.3,1.2,0.6,1.2,1.1,2.9,8.0,10.4,24.8,33.5,31.9,,,11,0.1,3.9,1.4
11,,Brain and other central nervous system,0.8,2.0,0.7,0.8,1.6,-,0.6,1.1,0.3,0.9,1.8,2.9,2.3,3.4,5.2,4.3,-,2.2,,,12,0.1,1.6,1.3
