,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,1,3,4,14,28,84,110,147,153,155,128,187,313,1,"1,328",21.9,,,,
1,2,Colorectum,-,-,-,1,-,-,8,3,9,29,48,78,90,92,84,91,150,322,-,"1,005",16.6,,,,
2,3,Breast,-,-,-,-,-,2,5,19,35,66,88,126,100,95,30,29,50,107,1,753,12.4,,,,
3,4,Liver,-,1,-,-,-,-,1,5,5,6,11,22,23,33,50,49,73,119,-,398,6.6,,,,
4,5,Pancreas,-,-,-,-,-,1,1,2,2,4,11,22,45,35,40,40,54,61,-,318,5.2,,,,
5,6,Stomach,-,-,-,-,-,1,2,5,10,9,17,18,25,25,18,28,37,77,1,273,4.5,,,,
6,7,Ovary and peritoneum,-,-,-,-,-,-,3,5,12,16,32,37,31,37,31,10,25,26,-,265,4.4,,,,
7,8,Cervix,-,-,-,-,-,1,1,4,9,12,18,30,12,16,10,11,9,30,-,163,2.7,,,,
8,9,Non-Hodgkin lymphoma,1,-,-,-,-,2,-,4,1,2,4,6,11,18,19,21,25,38,-,152,2.5,,,,
9,10,Leukaemia,1,-,-,-,1,-,2,3,5,7,7,9,13,23,12,16,12,28,-,139,2.3,,,,
10,11,Corpus uteri,-,-,-,-,1,-,1,1,2,4,19,24,11,15,8,11,8,10,-,115,1.9,,,,
11,12,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,1,2,3,8,8,9,20,23,28,-,102,1.7,,,,
12,13,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,1,3,-,1,3,10,7,8,3,7,13,17,-,73,1.2,,,,
13,13,Kidney and other urinary organs except bladder,-,-,-,-,1,-,-,-,2,-,4,4,9,8,5,5,12,23,-,73,1.2,,,,
14,15,"Uterus, unspecified",-,-,-,-,-,-,-,2,1,2,10,17,8,6,7,6,2,6,-,67,1.1,,,,
15,16,Bone and soft tissue,-,-,1,-,-,-,1,2,2,4,6,9,8,9,8,1,3,10,-,64,1.1,,,,
16,17,Nasopharynx,-,-,-,-,-,2,1,1,6,5,5,7,11,7,9,2,4,3,-,63,1.0,,,,
17,18,Oesophagus,-,-,-,-,-,-,-,-,1,1,-,4,9,7,5,4,12,18,-,61,1.0,,,,
18,19,Bladder,-,-,-,-,-,-,-,-,-,-,1,1,-,2,4,4,11,32,-,55,0.9,,,,
19,20,Multiple myeloma,-,-,-,-,-,-,-,-,-,2,1,2,4,4,7,4,13,15,-,52,0.9,,,,
20,21,Brain and other central nervous system,1,3,-,-,-,1,3,1,2,3,9,6,7,2,6,3,1,1,-,49,0.8,,,,
21,22,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,1,2,2,3,1,2,5,2,3,5,8,-,34,0.6,,,,
22,23,Melanoma of skin,-,-,-,-,-,-,-,-,1,-,2,3,4,4,1,1,3,4,-,23,0.4,,,,
23,23,Thyroid gland,-,-,-,-,-,-,-,-,-,1,1,2,-,2,4,4,1,8,-,23,0.4,,,,
24,25,Small intestine,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,1,3,7,-,15,0.2,,,,
25,26,Thymus / other thoracic organs,-,-,-,-,-,-,-,1,-,-,2,2,1,1,2,1,1,1,-,12,0.2,,,,
26,26,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,1,1,2,-,1,1,-,6,-,12,0.2,,,,
27,28,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,-,1,2,3,1,-,1,-,2,-,10,0.2,,,,
28,29,Larynx,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,1,4,-,8,0.1,,,,
29,30,Mesothelioma,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,4,-,-,7,0.1,,,,
30,31,Hodgkin lymphoma,-,-,-,-,-,-,-,1,-,1,-,-,-,1,1,-,2,-,-,6,0.1,,,,
31,32,Other endocrine glands,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,1,-,4,0.1,,,,
32,-,Other and unspecified,-,-,-,-,2,2,3,1,6,12,18,22,20,24,35,33,71,97,-,346,5.7,,,,
33,-,All sites,3,4,1,1,5,13,36,68,129,218,408,580,614,643,568,536,816,"1,422",3,"6,068",100.0,,,,
0,,Lung,-,-,-,-,-,0.4,0.9,1.1,4.1,8.2,25.2,32.6,51.5,69.7,110.2,134.9,199.6,247.8,,,,1,1.5,32.9,13.4
1,,Colorectum,-,-,-,0.7,-,-,2.4,0.8,2.7,8.5,14.4,23.1,31.5,41.9,59.7,95.9,160.1,254.9,,,,2,0.9,24.9,9.3
2,,Breast,-,-,-,-,-,0.7,1.5,5.2,10.3,19.4,26.4,37.3,35.1,43.3,21.3,30.6,53.4,84.7,,,,3,1.0,18.6,9.2
3,,Liver,-,0.7,-,-,-,-,0.3,1.4,1.5,1.8,3.3,6.5,8.1,15.0,35.6,51.6,77.9,94.2,,,,4,0.4,9.8,3.7
4,,Ovary and peritoneum,-,-,-,-,-,-,0.9,1.4,3.5,4.7,9.6,11.0,10.9,16.9,22.0,10.5,26.7,20.6,,,,5,0.4,6.6,3.3
5,,Pancreas,-,-,-,-,-,0.4,0.3,0.6,0.6,1.2,3.3,6.5,15.8,15.9,28.4,42.1,57.6,48.3,,,,6,0.4,7.9,3.2
6,,Stomach,-,-,-,-,-,0.4,0.6,1.4,3.0,2.6,5.1,5.3,8.8,11.4,12.8,29.5,39.5,61.0,,,,7,0.3,6.8,2.7
7,,Cervix,-,-,-,-,-,0.4,0.3,1.1,2.7,3.5,5.4,8.9,4.2,7.3,7.1,11.6,9.6,23.8,,,,8,0.2,4.0,1.9
8,,Leukaemia,0.8,-,-,-,0.5,-,0.6,0.8,1.5,2.1,2.1,2.7,4.6,10.5,8.5,16.9,12.8,22.2,,,,9,0.2,3.4,1.7
9,,Non-Hodgkin lymphoma,0.8,-,-,-,-,0.7,-,1.1,0.3,0.6,1.2,1.8,3.9,8.2,13.5,22.1,26.7,30.1,,,,10,0.2,3.8,1.6
10,,Corpus uteri,-,-,-,-,0.5,-,0.3,0.3,0.6,1.2,5.7,7.1,3.9,6.8,5.7,11.6,8.5,7.9,,,,11,0.2,2.8,1.4
11,,Brain and other central nervous system,0.8,2.0,-,-,-,0.4,0.9,0.3,0.6,0.9,2.7,1.8,2.5,0.9,4.3,3.2,1.1,0.8,,,,12,0.1,1.2,0.9
12,,Nasopharynx,-,-,-,-,-,0.7,0.3,0.3,1.8,1.5,1.5,2.1,3.9,3.2,6.4,2.1,4.3,2.4,,,,13,0.1,1.6,0.9
13,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,0.3,0.6,0.9,2.8,3.6,6.4,21.1,24.5,22.2,,,,14,0.1,2.5,0.9
14,,Bone and soft tissue,-,-,0.8,-,-,-,0.3,0.6,0.6,1.2,1.8,2.7,2.8,4.1,5.7,1.1,3.2,7.9,,,,15,0.1,1.6,0.8
15,,"Uterus, unspecified",-,-,-,-,-,-,-,0.6,0.3,0.6,3.0,5.0,2.8,2.7,5.0,6.3,2.1,4.8,,,,16,0.1,1.7,0.8
16,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,0.3,0.8,-,0.3,0.9,3.0,2.5,3.6,2.1,7.4,13.9,13.5,,,,17,0.1,1.8,0.7
17,,Kidney and other urinary organs except bladder,-,-,-,-,0.5,-,-,-,0.6,-,1.2,1.2,3.2,3.6,3.6,5.3,12.8,18.2,,,,18,0.1,1.8,0.7
18,,Oesophagus,-,-,-,-,-,-,-,-,0.3,0.3,-,1.2,3.2,3.2,3.6,4.2,12.8,14.3,,,,19,0.1,1.5,0.6
19,,Multiple myeloma,-,-,-,-,-,-,-,-,-,0.6,0.3,0.6,1.4,1.8,5.0,4.2,13.9,11.9,,,,20,0.0,1.3,0.5
20,,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,0.3,0.6,0.6,0.9,0.3,0.7,2.3,1.4,3.2,5.3,6.3,,,,21,0.0,0.8,0.4
21,,Bladder,-,-,-,-,-,-,-,-,-,-,0.3,0.3,-,0.9,2.8,4.2,11.7,25.3,,,,22,0.0,1.4,0.3
22,,Melanoma of skin,-,-,-,-,-,-,-,-,0.3,-,0.6,0.9,1.4,1.8,0.7,1.1,3.2,3.2,,,,23,0.0,0.6,0.3
23,,Thyroid gland,-,-,-,-,-,-,-,-,-,0.3,0.3,0.6,-,0.9,2.8,4.2,1.1,6.3,,,,24,0.0,0.6,0.2
24,,Thymus / other thoracic organs,-,-,-,-,-,-,-,0.3,-,-,0.6,0.6,0.4,0.5,1.4,1.1,1.1,0.8,,,,25,0.0,0.3,0.1
25,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,-,0.3,0.6,1.1,0.5,-,1.1,-,1.6,,,,26,0.0,0.2,0.1
26,,Small intestine,-,-,-,-,-,-,-,-,-,-,-,-,0.7,-,1.4,1.1,3.2,5.5,,,,27,0.0,0.4,0.1
27,,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,0.3,0.3,0.7,-,0.7,1.1,-,4.8,,,,28,0.0,0.3,0.1
28,,Hodgkin lymphoma,-,-,-,-,-,-,-,0.3,-,0.3,-,-,-,0.5,0.7,-,2.1,-,,,,29,0.0,0.1,0.1
29,,Mesothelioma,-,-,-,-,-,-,-,-,0.3,-,-,-,0.4,-,-,1.1,4.3,-,,,,30,0.0,0.2,0.1
30,,Larynx,-,-,-,-,-,-,-,-,-,-,-,0.3,-,0.9,-,-,1.1,3.2,,,,31,0.0,0.2,0.1
31,,Other endocrine glands,-,-,-,-,-,-,-,-,0.3,-,-,0.3,-,-,-,-,1.1,0.8,,,,32,0.0,0.1,0.0
32,,Other and unspecified,-,-,-,-,0.9,0.7,0.9,0.3,1.8,3.5,5.4,6.5,7.0,10.9,24.9,34.8,75.8,76.8,,,,-,0.3,8.6,3.3
33,,All sites,2.3,2.7,0.8,0.7,2.3,4.8,10.9,18.7,38.1,63.9,122.2,171.8,215.2,292.9,404.0,564.8,870.9,"1,125.9",,,,-,6.8,150.2,63.3
