,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,1,2,10,24,56,76,106,96,104,132,199,221,269,"1,296",24.0,,,,
1,2,Colorectum,-,-,-,-,-,-,4,10,15,20,35,54,64,55,66,132,144,225,824,15.3,,,,
2,3,Breast,-,-,-,-,-,-,6,19,34,61,93,89,71,42,23,36,53,74,601,11.1,,,,
3,4,Liver,-,1,-,-,-,1,1,2,6,8,27,23,37,39,51,69,96,99,460,8.5,,,,
4,5,Stomach,-,-,-,-,-,1,1,5,9,18,12,24,16,16,23,32,45,76,278,5.1,,,,
5,6,Pancreas,-,-,-,-,-,-,1,-,4,8,11,28,24,25,28,33,46,43,251,4.6,,,,
6,7,Ovary and peritoneum,-,-,-,-,-,-,1,4,13,20,21,20,14,9,19,17,16,22,176,3.3,,,,
7,8,Non-Hodgkin lymphoma,-,-,-,-,2,1,2,2,5,5,7,15,8,9,14,23,32,29,154,2.9,,,,
8,9,Cervix,-,-,-,-,-,-,4,4,8,11,16,18,9,6,10,10,21,16,133,2.5,,,,
9,10,Leukaemia,1,1,-,1,1,1,4,1,6,3,3,4,5,8,9,11,18,18,95,1.8,,,,
10,11,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,3,4,1,13,6,6,17,23,20,93,1.7,,,,
11,12,Corpus uteri,-,-,-,-,-,-,-,1,3,6,9,22,6,8,5,7,3,7,77,1.4,,,,
12,13,Nasopharynx,-,-,-,-,-,1,-,1,6,9,12,9,8,7,6,6,6,3,74,1.4,,,,
13,14,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,-,2,1,3,6,2,5,6,12,16,11,64,1.2,,,,
