,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,-,2,7,31,32,59,45,60,106,150,193,182,204,"1,071",24.6,,,,
1,2,Colorectum,-,-,-,-,-,-,4,10,17,26,24,35,22,49,101,109,126,126,649,14.9,,,,
2,3,Breast,-,-,-,-,-,1,9,22,39,58,59,30,40,36,32,43,23,39,431,9.9,,,,
3,4,Liver,-,-,-,-,1,1,1,2,10,14,15,24,16,47,57,59,44,46,337,7.7,,,,
4,5,Stomach,-,-,-,-,-,3,3,3,10,10,14,14,18,26,28,38,36,61,264,6.1,,,,
5,6,Pancreas,-,-,-,-,-,1,-,3,-,6,6,8,16,7,15,36,25,17,140,3.2,,,,
6,7,Ovary and peritoneum,-,-,-,-,1,3,1,3,8,25,15,15,8,7,13,14,10,13,136,3.1,,,,
7,8,Non-Hodgkin lymphoma,-,-,-,-,1,1,1,1,3,5,5,7,5,13,19,24,18,12,115,2.6,,,,
8,9,Leukaemia,1,-,1,2,-,4,2,3,2,9,9,7,7,12,19,5,11,17,111,2.5,,,,
9,10,Cervix,-,-,-,-,-,-,1,7,7,10,7,7,5,11,15,13,10,13,106,2.4,,,,
10,11,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,1,3,1,5,8,9,9,21,17,17,91,2.1,,,,
11,12,Nasopharynx,-,-,-,-,-,-,1,1,12,14,6,7,5,10,3,5,6,3,73,1.7,,,,
12,13,Oesophagus,-,-,-,-,-,-,-,-,1,-,1,3,4,11,9,14,11,16,70,1.6,,,,
13,14,Kidney and other urinary organs except bladder,-,-,-,-,-,-,2,-,1,3,8,6,3,6,7,3,12,12,63,1.4,,,,
14,15,Multiple myeloma,-,-,-,-,-,-,-,-,-,1,3,4,2,4,9,12,7,13,55,1.3,,,,
15,16,Bladder,-,-,-,-,-,-,-,-,-,1,1,1,3,-,8,5,13,19,51,1.2,,,,
16,17,Brain and other central nervous system,1,1,2,-,-,2,1,3,6,3,7,1,3,1,6,7,1,5,50,1.1,,,,
17,18,Corpus uteri,-,-,-,-,-,-,1,2,2,1,7,3,2,4,4,2,4,3,35,0.8,,,,
18,19,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,-,2,3,1,4,2,4,-,2,5,3,7,33,0.8,,,,
