,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,2,-,6,24,41,85,232,288,398,335,396,382,407,-,"2,596",30.6,,,,
1,2,Colorectum,-,-,-,-,1,1,1,9,13,30,46,93,168,154,156,172,193,237,-,"1,274",15.0,,,,
2,3,Liver,-,1,2,-,-,-,4,14,14,26,69,133,181,175,139,129,118,121,-,"1,126",13.3,,,,
3,4,Prostate,-,-,-,-,-,-,-,-,-,1,1,11,16,45,37,70,95,167,-,443,5.2,,,,
4,5,Stomach,-,-,-,-,-,-,1,2,5,5,15,31,48,64,55,54,69,71,-,420,4.9,,,,
5,6,Pancreas,-,-,-,-,-,-,-,2,4,11,19,40,46,57,62,47,48,51,-,387,4.6,,,,
6,7,Oesophagus,-,-,-,-,-,-,-,1,2,8,19,28,37,41,32,27,14,32,-,241,2.8,,,,
7,8,Non-Hodgkin lymphoma,-,2,-,-,-,-,1,4,5,9,14,14,19,37,31,33,33,28,1,231,2.7,,,,
8,9,Nasopharynx,-,-,-,1,-,-,-,5,11,18,30,44,32,26,20,13,15,9,-,224,2.6,,,,
9,10,Leukaemia,1,-,1,1,5,1,1,3,4,4,10,16,19,22,27,16,21,33,-,185,2.2,,,,
10,11,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,1,2,2,4,16,18,32,20,16,18,27,-,156,1.8,,,,
11,12,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,1,-,1,-,-,3,4,11,20,17,21,19,14,14,19,-,144,1.7,,,,
12,13,Bladder,-,-,-,-,-,-,-,-,-,-,3,2,8,14,14,24,29,40,-,134,1.6,,,,
13,14,Bone and soft tissue,-,1,1,5,3,3,1,3,3,2,4,9,7,11,5,4,4,10,-,76,0.9,,,,
14,15,Multiple myeloma,-,-,-,-,-,-,-,-,-,-,3,6,4,14,9,12,12,13,-,73,0.9,,,,
15,16,Gallbladder and extrahepatic bile duct,-,1,-,-,-,-,-,-,-,-,1,6,8,7,9,13,9,16,-,70,0.8,,,,
16,17,Brain and other central nervous system,-,2,-,2,-,1,1,2,5,2,8,6,8,10,6,3,3,6,-,65,0.8,,,,
17,18,Larynx,-,-,-,-,-,-,-,-,-,1,-,6,9,2,10,5,4,13,-,50,0.6,,,,
18,19,Melanoma of skin,-,-,-,-,-,1,-,1,-,1,1,3,4,2,4,2,4,7,-,30,0.4,,,,
19,20,Thyroid gland,-,-,-,-,-,-,-,1,-,-,2,-,-,3,5,6,5,4,-,26,0.3,,,,
20,21,Small intestine,-,-,-,-,-,-,-,-,1,-,2,2,1,4,2,1,2,4,-,19,0.2,,,,
21,22,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,1,2,1,1,3,1,3,2,2,-,16,0.2,,,,
22,22,Non-melanoma skin,-,-,-,-,-,-,-,-,1,-,2,1,1,2,1,2,1,5,-,16,0.2,,,,
23,24,Thymus / other thoracic organs,-,-,1,-,-,-,-,1,1,2,1,1,2,1,1,2,1,1,-,15,0.2,,,,
24,25,Mesothelioma,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,2,1,3,-,11,0.1,,,,
25,26,Penis / other male genital,-,-,-,-,-,-,-,-,-,-,1,1,-,2,-,3,2,-,-,9,0.1,,,,
26,27,Other endocrine glands,-,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,5,0.1,,,,
27,28,Hodgkin lymphoma,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,-,-,-,4,0.0,,,,
28,29,Breast,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,3,0.0,,,,
29,30,Testis,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,0.0,,,,
30,30,Eye,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,0.0,,,,
31,32,Kaposi sarcoma,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,0.0,,,,
32,-,Other and unspecified,-,-,-,-,4,2,3,6,3,9,15,31,46,46,49,60,63,96,-,433,5.1,,,,
33,-,All sites,1,9,5,10,14,12,13,61,101,178,370,756,989,"1,199","1,052","1,130","1,162","1,424",1,"8,487",100.0,,,,
0,,Lung,-,-,-,-,-,0.9,-,2.6,10.2,17.0,30.3,75.4,111.2,194.1,268.9,404.5,498.0,637.9,,,,1,3.6,76.5,31.8
1,,Colorectum,-,-,-,-,0.5,0.4,0.4,3.9,5.5,12.4,16.4,30.2,64.9,75.1,125.2,175.7,251.6,371.5,,,,2,1.7,37.5,15.7
2,,Liver,-,0.6,1.5,-,-,-,1.7,6.0,6.0,10.8,24.6,43.2,69.9,85.4,111.6,131.8,153.8,189.7,,,,3,1.8,33.2,15.2
3,,Stomach,-,-,-,-,-,-,0.4,0.9,2.1,2.1,5.3,10.1,18.5,31.2,44.1,55.2,90.0,111.3,,,,4,0.6,12.4,5.1
4,,Pancreas,-,-,-,-,-,-,-,0.9,1.7,4.6,6.8,13.0,17.8,27.8,49.8,48.0,62.6,79.9,,,,5,0.6,11.4,5.0
5,,Prostate,-,-,-,-,-,-,-,-,-,0.4,0.4,3.6,6.2,22.0,29.7,71.5,123.9,261.8,,,,6,0.3,13.1,4.3
6,,Nasopharynx,-,-,-,0.6,-,-,-,2.2,4.7,7.5,10.7,14.3,12.4,12.7,16.1,13.3,19.6,14.1,,,,7,0.4,6.6,3.5
