,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,1,2,8,15,40,107,210,277,373,354,394,396,352,"2,529",29.9,,,,
1,2,Colorectum,-,-,-,1,1,3,3,5,7,17,47,123,121,171,134,172,189,214,"1,208",14.3,,,,
2,3,Liver,1,-,-,-,1,3,4,11,20,35,72,145,193,163,109,146,114,118,"1,135",13.4,,,,
3,4,Stomach,-,-,-,-,-,1,1,2,6,5,12,34,50,68,51,61,64,72,427,5.1,,,,
4,5,Prostate,-,-,-,-,-,-,-,-,-,1,3,9,25,30,38,75,93,136,410,4.9,,,,
5,6,Pancreas,-,-,-,-,-,-,1,2,3,8,18,42,52,64,43,57,35,43,368,4.4,,,,
6,7,Oesophagus,-,-,-,-,-,1,-,-,1,8,16,32,44,42,39,32,26,32,273,3.2,,,,
7,8,Nasopharynx,-,-,-,-,-,3,6,4,15,29,30,45,46,31,21,10,8,4,252,3.0,,,,
8,9,Non-Hodgkin lymphoma,-,-,-,1,-,1,-,1,2,6,7,14,28,34,33,35,34,40,236,2.8,,,,
9,10,Leukaemia,1,-,1,3,2,3,2,6,4,2,8,13,26,18,23,29,24,27,192,2.3,,,,
10,11,Bladder,-,-,-,-,-,-,-,-,-,-,4,6,9,11,16,22,34,61,163,1.9,,,,
11,12,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,2,1,5,5,16,22,16,25,17,19,10,13,151,1.8,,,,
12,13,Kidney and other urinary organs except bladder,-,-,-,-,1,-,1,-,2,5,8,15,17,29,12,18,16,24,148,1.8,,,,
13,14,Multiple myeloma,-,-,-,-,-,-,1,-,-,1,3,6,10,13,13,20,11,11,89,1.1,,,,
14,15,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,1,6,4,5,7,5,17,11,17,73,0.9,,,,
15,16,Bone and soft tissue,-,-,1,2,-,-,-,5,3,3,6,5,6,12,7,8,3,7,68,0.8,,,,
16,17,Brain and other central nervous system,-,1,-,-,-,1,4,4,5,2,5,9,11,3,9,2,3,1,60,0.7,,,,
17,18,Larynx,-,-,-,-,-,-,-,-,-,-,-,6,7,7,10,10,12,6,58,0.7,,,,
18,19,Small intestine,-,-,-,-,-,-,-,-,-,2,-,3,2,1,5,5,2,7,27,0.3,,,,
19,20,Melanoma of skin,-,-,-,-,-,-,-,-,3,1,2,3,2,3,1,2,4,-,21,0.2,,,,
20,21,Thyroid gland,-,-,-,-,-,-,-,1,-,-,-,1,3,5,3,2,3,2,20,0.2,,,,
21,22,Mesothelioma,-,-,-,-,-,-,-,-,-,1,-,2,1,4,-,5,5,1,19,0.2,,,,
22,23,Thymus / other thoracic organs,-,-,-,-,-,-,1,-,1,-,2,3,2,-,1,2,1,2,15,0.2,,,,
23,24,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,2,5,13,0.2,,,,
24,25,Other endocrine glands,-,1,-,-,1,-,-,1,-,2,-,-,2,-,1,1,-,1,10,0.1,,,,
25,26,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,1,1,1,1,-,1,1,-,2,1,9,0.1,,,,
26,26,Penis / other male genital,-,-,-,-,-,-,-,-,-,4,-,-,-,-,1,-,2,2,9,0.1,,,,
