,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,-,1,13,17,67,113,224,268,260,428,462,360,263,"2,476",31.6,,,,
1,2,Liver,-,-,-,-,1,1,5,14,14,61,111,142,160,126,143,165,94,76,"1,113",14.2,,,,
2,3,Colorectum,-,-,-,-,-,2,2,4,9,28,60,77,108,82,158,187,165,154,"1,036",13.2,,,,
3,4,Stomach,-,-,-,-,1,1,3,4,3,10,33,38,43,47,67,51,62,59,422,5.4,,,,
4,5,Prostate,-,-,-,-,-,-,-,-,1,1,3,5,11,21,49,69,71,88,319,4.1,,,,
5,6,Oesophagus,-,-,-,-,-,-,-,-,1,9,23,33,32,40,48,31,26,22,265,3.4,,,,
6,7,Pancreas,-,-,-,-,-,1,-,2,3,13,14,23,34,35,40,40,31,27,263,3.4,,,,
7,8,Nasopharynx,-,-,-,-,1,-,2,4,15,28,41,54,39,25,22,13,9,1,254,3.2,,,,
8,9,Non-Hodgkin lymphoma,-,-,-,1,2,1,1,1,4,7,12,21,21,28,25,39,23,21,207,2.6,,,,
9,10,Leukaemia,3,-,4,4,2,2,3,5,3,7,12,5,17,17,27,23,17,24,175,2.2,,,,
10,11,Bladder,-,-,-,-,-,-,-,-,-,2,1,4,7,9,16,30,34,32,135,1.7,,,,
11,12,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,-,2,2,11,12,17,17,15,13,20,14,8,131,1.7,,,,
12,13,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,1,3,4,10,7,17,12,12,22,16,8,112,1.4,,,,
13,14,Larynx,-,-,-,-,-,-,-,-,1,-,2,4,5,11,13,15,10,10,71,0.9,,,,
14,15,Multiple myeloma,-,-,-,-,-,-,-,-,2,-,5,8,7,6,13,13,6,6,66,0.8,,,,
15,16,Bone and soft tissue,-,-,1,-,1,3,1,1,2,5,8,6,1,6,8,6,7,4,60,0.8,,,,
16,17,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,3,6,5,3,4,10,6,11,9,57,0.7,,,,
17,18,Brain and other central nervous system,-,-,1,1,1,3,2,2,1,2,8,6,5,6,9,4,2,1,54,0.7,,,,
18,19,Melanoma of skin,-,-,-,-,-,-,-,-,1,1,2,1,2,2,1,6,2,3,21,0.3,,,,
19,20,Mesothelioma,-,-,-,-,-,-,-,-,-,2,1,-,1,2,7,2,4,1,20,0.3,,,,
20,21,Thyroid gland,-,-,-,-,-,-,-,-,1,-,-,4,1,1,3,3,5,1,19,0.2,,,,
21,22,Thymus / other thoracic organs,-,-,-,-,-,-,-,-,3,1,3,2,2,1,3,1,-,1,17,0.2,,,,
22,23,Small intestine,-,-,-,-,-,-,-,-,-,-,1,2,1,2,1,1,1,2,11,0.1,,,,
23,23,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,1,-,1,1,2,-,2,4,11,0.1,,,,
24,25,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,1,-,1,2,-,1,-,1,-,6,0.1,,,,
