,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,-,6,12,38,77,132,173,212,293,444,482,333,194,"2,396",32.4,,,,
1,2,Liver,-,1,1,-,-,4,7,13,25,79,97,131,113,134,159,150,89,72,"1,075",14.6,,,,
2,3,Colorectum,-,-,-,-,-,-,5,4,12,28,47,80,75,97,145,167,138,125,923,12.5,,,,
3,4,Stomach,-,-,-,-,-,-,1,7,11,16,22,34,23,38,72,59,57,51,391,5.3,,,,
4,5,Prostate,-,-,-,-,-,-,-,-,-,-,3,10,9,21,60,50,66,66,285,3.9,,,,
5,6,Oesophagus,-,-,-,-,-,-,-,-,4,8,23,28,32,39,53,49,25,22,283,3.8,,,,
6,7,Nasopharynx,-,-,-,-,-,3,1,15,23,50,33,40,29,34,26,14,7,4,279,3.8,,,,
7,8,Pancreas,-,-,-,-,-,-,-,1,5,12,16,20,15,35,33,42,28,7,214,2.9,,,,
8,9,Non-Hodgkin lymphoma,-,-,-,1,2,2,2,1,4,7,11,17,12,20,31,22,24,20,176,2.4,,,,
9,10,Leukaemia,2,2,1,2,1,4,2,2,7,9,5,13,15,12,23,24,11,9,144,1.9,,,,
10,11,Bladder,-,-,-,-,-,-,-,-,-,1,1,2,12,9,22,30,24,31,132,1.8,,,,
11,12,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,-,1,3,5,13,15,12,20,24,7,15,5,120,1.6,,,,
12,13,Kidney and other urinary organs except bladder,-,-,-,-,-,-,1,-,3,2,3,7,10,11,18,19,11,9,94,1.3,,,,
13,14,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,1,1,2,-,3,3,4,15,17,20,11,77,1.0,,,,
14,15,Multiple myeloma,-,-,-,-,-,-,-,1,3,2,5,2,5,9,14,11,12,7,71,1.0,,,,
15,16,Larynx,-,-,-,-,-,-,-,-,2,3,3,3,6,12,13,10,9,5,66,0.9,,,,
16,17,Brain and other central nervous system,1,2,3,2,-,3,3,1,2,8,4,4,-,9,4,7,3,1,57,0.8,,,,
17,18,Bone and soft tissue,-,1,2,2,4,3,2,2,8,4,1,1,2,2,5,4,1,2,46,0.6,,,,
18,19,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,-,1,1,2,2,2,4,4,16,0.2,,,,
19,20,Melanoma of skin,-,-,-,-,1,-,-,-,1,1,1,1,2,-,4,-,1,1,13,0.2,,,,
