,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,2,7,10,29,71,119,193,242,279,381,505,371,256,-,"2,465",32.1,,,,
1,2,Liver,-,-,-,2,-,1,8,12,22,69,116,116,141,131,146,156,88,64,-,"1,072",14.0,,,,
2,3,Colorectum,-,-,-,-,-,2,4,6,8,30,65,74,80,106,161,183,158,122,-,999,13.0,,,,
3,4,Stomach,-,-,-,-,-,-,1,2,5,15,25,32,37,37,67,79,63,50,1,414,5.4,,,,
4,5,Prostate,-,-,-,-,-,-,-,-,1,5,3,3,10,33,35,82,58,76,-,306,4.0,,,,
5,6,Nasopharynx,-,-,-,1,-,3,5,6,17,39,53,45,32,25,17,18,13,7,-,281,3.7,,,,
6,7,Oesophagus,-,-,-,-,-,-,-,-,1,10,25,35,37,34,41,38,30,18,-,269,3.5,,,,
7,8,Pancreas,-,-,-,-,1,-,-,-,2,10,17,19,30,33,46,42,27,22,-,249,3.2,,,,
8,9,Non-Hodgkin lymphoma,-,-,-,-,-,1,1,5,10,6,14,16,13,20,24,36,24,16,-,186,2.4,,,,
9,10,Leukaemia,2,-,-,1,3,6,3,5,3,10,6,13,7,9,26,20,16,14,-,144,1.9,,,,
10,11,Bladder,-,-,-,-,-,-,-,1,1,2,2,6,6,14,20,30,32,28,-,142,1.8,,,,
11,12,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,2,1,1,8,17,20,11,10,21,10,19,14,-,134,1.7,,,,
12,13,Kidney and other urinary organs except bladder,-,-,-,1,-,-,-,-,2,9,15,11,8,12,13,25,20,10,-,126,1.6,,,,
13,14,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,1,1,2,3,7,6,6,17,18,9,-,70,0.9,,,,
14,15,Multiple myeloma,-,-,-,-,-,-,-,2,1,1,2,5,5,7,12,15,10,5,-,65,0.8,,,,
15,16,Larynx,-,-,-,-,-,-,-,-,-,2,4,6,9,9,11,4,12,7,-,64,0.8,,,,
16,17,Brain and other central nervous system,-,-,1,-,1,-,2,1,5,5,8,7,5,7,5,3,5,-,-,55,0.7,,,,
17,18,Bone and soft tissue,-,-,2,1,2,1,4,2,2,-,3,4,5,2,5,5,5,4,-,47,0.6,,,,
18,19,Melanoma of skin,-,-,-,-,-,-,-,-,-,-,6,2,1,4,1,2,1,4,-,21,0.3,,,,
