,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,-,2,10,23,56,142,222,294,278,381,467,390,332,"2,597",32.7,,,,
1,2,Colorectum,-,-,-,-,2,1,3,3,10,24,43,78,115,102,125,223,176,174,"1,079",13.6,,,,
2,3,Liver,-,-,-,-,-,1,7,15,27,51,104,128,148,122,131,128,106,77,"1,045",13.2,,,,
3,4,Stomach,-,-,-,-,-,2,3,1,3,8,18,37,32,42,44,55,75,59,379,4.8,,,,
4,5,Prostate,-,-,-,-,-,-,-,-,-,-,3,4,16,22,49,86,83,99,362,4.6,,,,
5,6,Pancreas,-,-,-,-,1,-,-,1,9,19,19,37,37,28,32,41,39,24,287,3.6,,,,
6,7,Nasopharynx,-,-,-,-,-,1,2,10,16,38,43,42,27,20,22,20,12,2,255,3.2,,,,
7,8,Oesophagus,-,-,-,-,-,-,-,-,1,5,17,30,40,31,35,37,29,25,250,3.2,,,,
8,9,Non-Hodgkin lymphoma,1,-,-,3,2,-,3,1,1,4,9,11,17,23,33,42,31,16,197,2.5,,,,
9,10,Leukaemia,-,3,1,-,2,2,2,2,2,6,11,20,26,14,23,28,22,17,181,2.3,,,,
10,11,Kidney and other urinary organs except bladder,-,-,-,1,-,-,-,-,-,2,9,24,21,20,14,15,18,16,140,1.8,,,,
11,12,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,1,1,1,5,4,7,15,24,23,17,14,14,11,137,1.7,,,,
12,13,Bladder,-,-,-,-,-,-,-,-,-,1,3,5,9,6,12,21,31,44,132,1.7,,,,
13,14,Multiple myeloma,-,-,-,-,-,-,1,-,-,3,2,8,15,14,11,11,12,11,88,1.1,,,,
14,15,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,1,-,2,5,8,10,11,17,13,15,82,1.0,,,,
15,16,Larynx,-,-,-,-,-,-,-,-,1,2,-,3,10,10,7,7,10,5,55,0.7,,,,
16,16,Brain and other central nervous system,1,-,1,4,-,3,3,2,4,3,9,9,5,3,2,2,3,1,55,0.7,,,,
17,18,Bone and soft tissue,1,-,-,1,3,2,-,-,2,6,4,6,2,5,1,6,5,5,49,0.6,,,,
18,19,Melanoma of skin,-,-,-,-,-,-,-,-,-,2,1,2,3,4,2,2,2,4,22,0.3,,,,
19,20,Thyroid gland,-,-,-,1,-,-,-,-,-,-,1,1,1,2,3,6,2,2,19,0.2,,,,
20,21,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,2,1,2,1,2,2,3,4,17,0.2,,,,
21,22,Small intestine,-,-,-,-,-,-,-,-,-,-,1,2,2,5,1,-,4,1,16,0.2,,,,
22,23,Thymus / other thoracic organs,-,-,-,-,-,-,-,-,1,1,3,1,2,3,1,-,1,-,13,0.2,,,,
23,23,Mesothelioma,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,4,2,1,13,0.2,,,,
