,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,1,-,-,3,11,18,42,78,120,126,113,108,177,250,328,1,"1,376",24.3,,,,
1,2,Colorectum,-,-,-,-,1,1,4,4,13,18,42,63,78,55,73,114,158,270,-,894,15.8,,,,
2,3,Breast,-,-,-,-,-,3,11,12,43,50,87,95,71,45,38,29,38,74,-,596,10.5,,,,
3,4,Liver,-,-,-,1,-,-,1,2,10,3,20,24,35,40,47,64,61,93,-,401,7.1,,,,
4,5,Pancreas,-,-,-,-,-,-,-,3,1,2,16,21,20,30,28,50,45,58,-,274,4.8,,,,
5,6,Stomach,-,-,-,-,-,-,2,1,8,13,12,22,21,24,17,20,46,59,-,245,4.3,,,,
6,7,Ovary and peritoneum,-,-,-,-,-,3,1,3,11,22,29,25,25,12,14,23,22,22,-,212,3.7,,,,
7,8,Non-Hodgkin lymphoma,1,-,-,-,1,-,3,-,1,6,5,8,16,12,15,23,23,34,-,148,2.6,,,,
8,9,Cervix,-,-,-,-,-,-,1,7,9,17,12,16,9,6,14,14,14,23,-,142,2.5,,,,
9,10,Leukaemia,2,1,2,2,-,2,-,2,6,3,8,11,7,11,8,21,13,24,-,123,2.2,,,,
10,11,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,2,2,9,7,9,8,7,19,26,28,-,117,2.1,,,,
11,12,Corpus uteri,-,-,-,-,-,-,1,1,2,3,11,11,15,9,3,11,7,8,-,82,1.5,,,,
12,13,Nasopharynx,-,-,-,-,-,-,2,3,5,12,11,7,6,6,5,8,2,6,-,73,1.3,,,,
13,13,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,-,1,1,4,7,4,4,5,12,13,22,-,73,1.3,,,,
14,15,Oesophagus,-,-,-,-,-,-,-,-,-,3,-,1,4,5,5,14,16,19,-,67,1.2,,,,
15,16,Multiple myeloma,-,-,-,-,-,-,-,-,-,4,-,3,7,7,5,8,10,12,-,56,1.0,,,,
