,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,-,2,12,22,42,63,60,59,76,145,218,209,228,"1,136",24.1,,,,
1,2,Colorectum,-,-,-,-,-,-,6,8,18,21,31,44,35,43,119,116,124,152,717,15.2,,,,
2,3,Breast,-,-,-,-,1,2,7,20,32,72,79,59,58,30,37,40,31,58,526,11.2,,,,
3,4,Liver,-,-,-,-,-,-,1,2,4,10,16,13,23,30,73,59,62,58,351,7.4,,,,
4,5,Stomach,-,-,-,-,-,2,3,5,5,12,16,22,11,19,32,34,33,50,244,5.2,,,,
5,6,Pancreas,-,-,-,-,-,-,-,-,3,4,6,15,17,20,26,44,26,33,194,4.1,,,,
6,7,Ovary and peritoneum,-,-,-,-,-,-,1,6,5,16,19,28,13,11,11,14,10,12,146,3.1,,,,
7,8,Cervix,-,-,-,-,-,1,4,3,5,12,14,8,10,6,17,20,9,20,129,2.7,,,,
8,9,Leukaemia,2,1,-,1,2,2,2,1,5,1,7,8,11,11,17,13,21,16,121,2.6,,,,
9,10,Non-Hodgkin lymphoma,-,-,-,-,2,2,1,3,1,2,6,7,5,18,13,17,17,22,116,2.5,,,,
10,11,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,-,4,4,6,3,11,20,19,22,89,1.9,,,,
11,12,Nasopharynx,-,-,-,-,-,1,-,1,9,8,12,11,8,10,6,8,4,2,80,1.7,,,,
12,13,Oesophagus,-,-,-,-,-,-,-,-,-,1,2,4,7,7,9,9,10,22,71,1.5,,,,
13,14,Kidney and other urinary organs except bladder,-,-,-,-,1,1,-,-,1,1,4,6,1,6,11,15,14,9,70,1.5,,,,
14,15,Multiple myeloma,-,-,-,-,-,-,-,-,-,1,5,5,3,3,9,9,13,5,53,1.1,,,,
15,16,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,1,1,-,-,2,2,3,5,4,3,3,8,7,5,7,51,1.1,,,,
16,17,Bone and soft tissue,-,-,-,3,-,-,1,-,1,1,6,6,5,4,6,5,5,2,45,1.0,,,,
17,18,Brain and other central nervous system,-,2,4,1,-,-,3,4,2,-,2,5,3,3,4,2,4,2,41,0.9,,,,
18,19,Corpus uteri,-,-,-,-,-,1,-,2,-,2,11,8,-,6,1,2,5,2,40,0.8,,,,
19,20,Bladder,-,-,-,-,-,-,-,-,-,-,-,-,4,-,7,5,8,7,31,0.7,,,,
20,21,"Uterus, unspecified",-,-,-,-,-,-,-,1,-,3,2,4,1,2,2,5,3,3,26,0.6,,,,
21,22,Thyroid gland,-,-,-,-,-,-,-,-,-,2,2,1,-,3,4,4,3,6,25,0.5,,,,
