,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,4,1,4,19,38,72,179,315,396,432,385,376,430,-,"2,651",30.7,,,,
1,2,Colorectum,-,-,-,-,1,1,3,5,16,15,52,88,139,160,179,169,178,260,-,"1,266",14.6,,,,
2,3,Liver,-,-,-,-,-,1,1,9,24,42,56,118,170,187,142,119,109,149,2,"1,129",13.1,,,,
3,4,Prostate,-,-,-,-,-,-,-,-,-,-,1,7,31,33,51,62,91,169,-,445,5.1,,,,
4,5,Stomach,-,-,-,-,1,-,1,3,6,8,12,24,45,42,62,48,62,79,-,393,4.5,,,,
5,6,Pancreas,-,-,-,-,-,-,-,1,5,4,20,45,51,59,76,44,37,50,-,392,4.5,,,,
6,7,Oesophagus,-,-,-,-,-,-,-,1,3,5,8,26,26,49,49,31,30,34,-,262,3.0,,,,
7,8,Non-Hodgkin lymphoma,-,-,-,1,-,2,3,1,5,5,6,16,23,27,38,24,49,47,-,247,2.9,,,,
8,9,Nasopharynx,-,-,-,-,-,2,2,4,10,13,27,38,56,30,20,12,12,4,-,230,2.7,,,,
9,10,Bladder,-,-,-,-,-,-,-,1,-,2,2,9,7,24,15,33,30,51,-,174,2.0,,,,
10,11,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,2,3,-,-,13,20,26,28,22,18,12,24,-,168,1.9,,,,
11,12,Kidney and other urinary organs except bladder,-,-,-,-,-,-,1,2,-,2,6,9,22,21,18,26,29,29,-,165,1.9,,,,
12,13,Leukaemia,3,2,-,-,2,3,4,1,8,1,7,11,12,16,26,23,16,23,-,158,1.8,,,,
13,14,Bone and soft tissue,-,-,-,-,3,1,1,4,-,3,5,7,10,14,14,5,13,7,1,88,1.0,,,,
14,15,Multiple myeloma,-,-,-,-,-,-,-,-,-,1,3,7,9,12,11,12,15,13,-,83,1.0,,,,
15,16,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,1,3,2,5,9,10,13,10,10,19,-,82,0.9,,,,
16,17,Brain and other central nervous system,-,-,-,2,2,2,-,2,3,2,3,13,13,9,8,6,2,1,-,68,0.8,,,,
17,18,Larynx,-,-,-,-,-,-,-,-,1,-,3,6,7,10,5,6,7,11,-,56,0.6,,,,
18,19,Small intestine,-,-,-,-,-,-,-,-,-,1,2,3,2,-,4,2,5,7,-,26,0.3,,,,
19,20,Thymus / other thoracic organs,-,-,-,-,-,-,-,2,1,-,2,4,5,1,2,4,2,2,-,25,0.3,,,,
20,21,Melanoma of skin,-,-,-,-,-,-,-,-,1,1,3,4,2,2,2,5,-,3,-,23,0.3,,,,
21,22,Mesothelioma,-,-,-,-,-,-,-,-,-,1,-,1,-,1,8,2,3,2,-,18,0.2,,,,
22,22,Thyroid gland,-,-,-,-,-,-,-,-,-,-,-,1,1,4,4,2,-,6,-,18,0.2,,,,
23,24,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,-,1,1,2,2,2,2,2,2,-,14,0.2,,,,
24,25,Penis / other male genital,-,-,-,-,-,-,-,-,-,1,1,-,1,-,2,1,1,5,-,12,0.1,,,,
25,26,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,1,1,3,-,8,0.1,,,,
26,27,Breast,-,-,-,-,-,-,-,-,-,1,-,-,2,2,2,-,-,-,-,7,0.1,,,,
27,28,Other endocrine glands,1,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,4,0.0,,,,
28,29,Testis,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,0.0,,,,
