,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,1,-,2,4,14,28,84,164,304,411,416,378,311,409,"2,526",29.3,,,,
1,2,Colorectum,-,-,-,-,-,1,2,2,9,25,32,91,138,199,189,179,173,275,"1,315",15.2,,,,
2,3,Liver,-,-,-,-,-,1,5,8,11,29,32,118,184,183,164,126,123,139,"1,123",13.0,,,,
3,4,Prostate,-,-,-,-,-,-,-,-,-,-,1,13,14,37,67,61,112,179,484,5.6,,,,
4,5,Pancreas,-,-,-,-,-,-,-,2,3,12,25,47,67,79,82,47,48,52,464,5.4,,,,
5,6,Stomach,-,-,-,-,-,-,1,4,3,8,11,29,52,38,43,45,61,75,370,4.3,,,,
6,7,Oesophagus,-,-,-,-,-,-,-,-,4,9,8,26,42,55,47,23,20,27,261,3.0,,,,
7,8,Non-Hodgkin lymphoma,-,1,-,-,-,-,-,1,1,2,7,17,23,34,45,35,27,45,238,2.8,,,,
8,9,Leukaemia,-,2,-,1,3,2,2,5,1,4,8,17,22,26,27,27,23,37,207,2.4,,,,
9,10,Nasopharynx,-,-,-,-,-,-,2,6,9,13,26,40,34,29,18,14,7,3,201,2.3,,,,
10,11,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,1,-,-,1,5,7,17,20,27,31,21,13,13,22,178,2.1,,,,
11,12,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,-,4,4,6,14,17,18,27,18,16,38,162,1.9,,,,
12,13,Bladder,-,-,-,-,-,-,-,-,-,-,1,4,9,10,19,21,22,56,142,1.6,,,,
13,14,Brain and other central nervous system,1,1,-,-,-,2,3,7,3,5,9,9,7,12,15,6,1,4,85,1.0,,,,
14,15,Multiple myeloma,-,-,-,-,-,-,-,-,-,1,-,3,10,10,18,8,19,14,83,1.0,,,,
15,16,Bone and soft tissue,-,1,-,1,1,2,2,2,3,2,8,6,10,6,9,6,7,12,78,0.9,,,,
16,17,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,1,-,2,1,6,4,5,12,11,13,19,74,0.9,,,,
17,18,Larynx,-,-,-,-,-,-,-,-,-,1,-,8,4,8,10,5,8,5,49,0.6,,,,
18,19,Small intestine,-,-,-,-,-,-,-,-,-,-,4,-,2,8,6,6,6,5,37,0.4,,,,
19,20,Thymus / other thoracic organs,-,-,1,-,-,-,-,1,-,2,1,2,3,2,4,1,3,2,22,0.3,,,,
20,21,Non-melanoma skin,-,-,-,-,-,-,1,-,-,1,1,2,1,3,3,3,1,5,21,0.2,,,,
21,22,Thyroid gland,-,-,-,-,-,-,-,-,-,-,-,1,3,2,4,2,2,3,17,0.2,,,,
22,23,Melanoma of skin,-,-,-,-,-,-,-,1,-,-,2,1,1,6,1,1,1,1,15,0.2,,,,
23,24,Mesothelioma,-,-,-,-,-,-,-,-,1,-,-,-,2,-,3,-,3,3,12,0.1,,,,
24,25,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,3,2,11,0.1,,,,
25,26,Penis / other male genital,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,4,4,9,0.1,,,,
26,27,Other endocrine glands,1,1,-,-,-,-,-,-,-,-,-,1,-,-,2,-,1,-,6,0.1,,,,
27,28,Breast,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,2,5,0.1,,,,
28,28,Hodgkin lymphoma,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,1,5,0.1,,,,
29,30,Testis,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,2,0.0,,,,
30,31,Kaposi sarcoma,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,0.0,,,,
31,31,Eye,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,0.0,,,,
32,-,Other and unspecified,1,1,-,-,1,2,2,5,4,12,10,38,42,50,59,54,58,91,430,5.0,,,,
33,-,All sites,3,7,1,2,7,10,22,51,76,168,295,679,"1,024","1,266","1,312","1,091","1,090","1,530","8,634",100.0,,,,
0,,Lung,-,-,-,-,0.5,-,0.9,1.7,6.0,11.4,33.8,55.2,102.0,180.5,246.4,410.0,386.3,510.6,,,1,3.2,73.9,28.1
1,,Colorectum,-,-,-,-,-,0.5,0.9,0.8,3.9,10.2,12.9,30.6,46.3,87.4,112.0,194.1,214.9,343.3,,,2,1.5,38.5,14.3
2,,Liver,-,-,-,-,-,0.5,2.2,3.3,4.7,11.8,12.9,39.7,61.8,80.4,97.2,136.7,152.8,173.5,,,3,1.6,32.9,13.4
3,,Pancreas,-,-,-,-,-,-,-,0.8,1.3,4.9,10.0,15.8,22.5,34.7,48.6,51.0,59.6,64.9,,,4,0.7,13.6,5.6
4,,Prostate,-,-,-,-,-,-,-,-,-,-,0.4,4.4,4.7,16.2,39.7,66.2,139.1,223.5,,,5,0.3,14.2,4.1
5,,Stomach,-,-,-,-,-,-,0.4,1.7,1.3,3.3,4.4,9.8,17.5,16.7,25.5,48.8,75.8,93.6,,,6,0.4,10.8,4.1
6,,Oesophagus,-,-,-,-,-,-,-,-,1.7,3.7,3.2,8.8,14.1,24.2,27.8,24.9,24.8,33.7,,,7,0.4,7.6,3.2
7,,Nasopharynx,-,-,-,-,-,-,0.9,2.5,3.9,5.3,10.5,13.5,11.4,12.7,10.7,15.2,8.7,3.7,,,8,0.4,5.9,3.1
8,,Leukaemia,-,1.3,-,0.7,1.6,0.9,0.9,2.1,0.4,1.6,3.2,5.7,7.4,11.4,16.0,29.3,28.6,46.2,,,9,0.3,6.1,2.7
9,,Non-Hodgkin lymphoma,-,0.6,-,-,-,-,-,0.4,0.4,0.8,2.8,5.7,7.7,14.9,26.7,38.0,33.5,56.2,,,10,0.3,7.0,2.7
10,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,0.5,-,-,0.4,2.1,2.8,6.8,6.7,9.1,13.6,12.4,14.1,16.1,27.5,,,11,0.3,5.2,2.4
11,,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,-,1.7,1.6,2.4,4.7,5.7,7.9,16.0,19.5,19.9,47.4,,,12,0.2,4.7,1.8
12,,Brain and other central nervous system,0.8,0.6,-,-,-,0.9,1.3,2.9,1.3,2.0,3.6,3.0,2.3,5.3,8.9,6.5,1.2,5.0,,,13,0.2,2.5,1.5
13,,Bladder,-,-,-,-,-,-,-,-,-,-,0.4,1.3,3.0,4.4,11.3,22.8,27.3,69.9,,,14,0.1,4.2,1.3
14,,Bone and soft tissue,-,0.6,-,0.7,0.5,0.9,0.9,0.8,1.3,0.8,3.2,2.0,3.4,2.6,5.3,6.5,8.7,15.0,,,15,0.1,2.3,1.2
15,,Multiple myeloma,-,-,-,-,-,-,-,-,-,0.4,-,1.0,3.4,4.4,10.7,8.7,23.6,17.5,,,16,0.1,2.4,0.8
16,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,0.4,-,0.8,0.4,2.0,1.3,2.2,7.1,11.9,16.1,23.7,,,17,0.1,2.2,0.8
17,,Larynx,-,-,-,-,-,-,-,-,-,0.4,-,2.7,1.3,3.5,5.9,5.4,9.9,6.2,,,18,0.1,1.4,0.5
18,,Small intestine,-,-,-,-,-,-,-,-,-,-,1.6,-,0.7,3.5,3.6,6.5,7.5,6.2,,,19,0.0,1.1,0.4
19,,Thymus / other thoracic organs,-,-,0.7,-,-,-,-,0.4,-,0.8,0.4,0.7,1.0,0.9,2.4,1.1,3.7,2.5,,,20,0.0,0.6,0.3
20,,Non-melanoma skin,-,-,-,-,-,-,0.4,-,-,0.4,0.4,0.7,0.3,1.3,1.8,3.3,1.2,6.2,,,21,0.0,0.6,0.3
21,,Melanoma of skin,-,-,-,-,-,-,-,0.4,-,-,0.8,0.3,0.3,2.6,0.6,1.1,1.2,1.2,,,22,0.0,0.4,0.2
22,,Other endocrine glands,0.8,0.6,-,-,-,-,-,-,-,-,-,0.3,-,-,1.2,-,1.2,-,,,23,0.0,0.2,0.2
23,,Thyroid gland,-,-,-,-,-,-,-,-,-,-,-,0.3,1.0,0.9,2.4,2.2,2.5,3.7,,,24,0.0,0.5,0.2
24,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,0.4,0.4,-,0.3,0.3,0.9,-,-,3.7,2.5,,,25,0.0,0.3,0.1
25,,Mesothelioma,-,-,-,-,-,-,-,-,0.4,-,-,-,0.7,-,1.8,-,3.7,3.7,,,26,0.0,0.4,0.1
26,,Penis / other male genital,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,-,-,5.0,5.0,,,27,0.0,0.3,0.1
27,,Hodgkin lymphoma,-,-,-,-,-,-,-,-,-,-,-,-,0.3,-,0.6,1.1,1.2,1.2,,,28,0.0,0.1,0.0
28,,Testis,-,-,-,-,-,-,-,0.4,-,-,-,0.3,-,-,-,-,-,-,,,29,0.0,0.1,0.0
29,,Breast,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,-,-,2.5,2.5,,,30,0.0,0.1,0.0
30,,Kaposi sarcoma,-,-,-,-,-,-,-,-,-,-,0.4,-,-,-,-,-,-,-,,,31,0.0,0.0,0.0
31,,Eye,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.2,-,,,32,-,0.0,0.0
32,,Other and unspecified,0.8,0.6,-,-,0.5,0.9,0.9,2.1,1.7,4.9,4.0,12.8,14.1,22.0,35.0,58.6,72.0,113.6,,,-,0.5,12.6,5.0
33,,All sites,2.4,4.5,0.7,1.5,3.8,4.5,9.5,21.2,32.5,68.3,118.6,228.6,343.7,556.0,777.3,"1,183.3","1,354.0","1,910.1",,,-,10.9,252.7,98.7
