,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,2,3,3,20,41,79,78,97,93,125,202,205,272,"1,220",23.3,,,,
1,2,Colorectum,-,-,-,-,-,1,3,7,13,23,40,41,48,49,81,117,170,235,828,15.8,,,,
2,3,Breast,-,-,-,-,1,-,3,14,38,67,83,77,62,35,40,32,42,67,561,10.7,,,,
3,4,Liver,-,-,-,-,2,3,3,4,3,11,21,23,34,34,62,73,68,76,417,8.0,,,,
4,5,Stomach,-,-,-,-,1,3,2,7,7,12,16,15,23,15,31,30,43,59,264,5.0,,,,
5,6,Pancreas,-,-,-,-,-,-,-,1,6,8,13,15,17,14,16,43,34,43,210,4.0,,,,
6,7,Ovary and peritoneum,-,-,-,-,-,1,1,2,10,16,35,17,17,13,10,16,14,14,166,3.2,,,,
7,8,Non-Hodgkin lymphoma,-,-,-,-,2,2,2,2,3,4,4,9,10,15,17,28,26,31,155,3.0,,,,
8,9,Cervix,-,-,-,-,-,1,1,4,11,15,18,8,12,8,15,12,22,19,146,2.8,,,,
9,10,Leukaemia,-,-,3,-,7,-,4,1,7,3,5,9,8,7,9,15,16,19,113,2.2,,,,
10,11,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,1,-,-,1,4,3,8,2,9,21,23,24,96,1.8,,,,
11,12,Kidney and other urinary organs except bladder,1,-,-,-,-,-,-,-,2,6,-,8,5,7,6,11,10,18,74,1.4,,,,
12,13,Corpus uteri,-,-,-,-,-,1,-,-,2,7,18,11,6,8,3,6,4,7,73,1.4,,,,
13,14,Oesophagus,-,-,-,-,-,-,-,-,-,-,2,2,6,3,8,10,11,25,67,1.3,,,,
14,15,Nasopharynx,-,-,-,-,-,1,-,1,4,14,10,9,6,1,7,4,4,5,66,1.3,,,,
15,16,Bladder,-,-,-,-,-,-,-,1,-,-,1,3,3,4,2,7,14,22,57,1.1,,,,
16,17,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,2,-,-,-,2,3,3,6,5,7,4,7,7,46,0.9,,,,
17,18,"Uterus, unspecified",-,-,-,-,-,-,-,1,1,6,8,4,4,4,5,3,4,5,45,0.9,,,,
18,18,Brain and other central nervous system,1,-,-,1,-,-,1,1,3,5,3,7,5,3,4,6,2,3,45,0.9,,,,
19,20,Bone and soft tissue,-,-,-,-,-,1,2,3,2,6,-,4,6,2,3,4,6,5,44,0.8,,,,
20,21,Multiple myeloma,-,-,-,-,-,-,-,1,-,2,-,1,3,5,3,7,13,8,43,0.8,,,,
21,22,"Vagina, vulva and other female genital",-,-,-,-,-,-,1,-,1,2,3,-,4,1,2,4,3,5,26,0.5,,,,
22,23,Melanoma of skin,-,-,-,-,-,-,1,1,2,1,3,1,1,-,1,2,3,4,20,0.4,,,,
23,24,Thyroid gland,-,-,-,-,-,-,-,-,-,1,-,-,1,-,4,4,3,4,17,0.3,,,,
24,25,Thymus / other thoracic organs,-,-,-,-,-,-,-,1,1,1,2,-,2,1,-,1,1,-,10,0.2,,,,
25,26,Larynx,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,2,7,0.1,,,,
26,27,Small intestine,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,2,5,0.1,,,,
27,27,Hodgkin lymphoma,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,2,5,0.1,,,,
28,29,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,4,0.1,,,,
29,29,Other endocrine glands,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,4,0.1,,,,
30,31,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,2,0.0,,,,
31,31,Mesothelioma,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,2,0.0,,,,
32,31,Placenta,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,2,0.0,,,,
