,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,1,7,11,20,71,145,191,241,321,413,477,351,263,"2,512",33.1,,,,
1,2,Liver,-,-,2,1,-,4,10,17,26,85,129,134,122,129,150,132,103,54,"1,098",14.4,,,,
2,3,Colorectum,-,-,-,1,-,2,3,3,11,26,47,71,86,126,162,185,143,107,973,12.8,,,,
3,4,Stomach,-,-,-,-,-,1,1,3,8,17,19,41,27,35,66,72,64,42,396,5.2,,,,
4,5,Prostate,-,-,-,-,-,-,-,-,-,-,1,5,11,29,44,67,66,73,296,3.9,,,,
5,6,Oesophagus,-,-,-,-,-,-,-,-,4,11,29,43,28,30,47,45,25,24,286,3.8,,,,
6,7,Nasopharynx,-,-,-,1,1,-,1,9,17,37,45,35,30,18,24,23,8,8,257,3.4,,,,
7,8,Pancreas,-,-,-,-,-,-,1,-,2,11,15,26,27,36,32,44,31,15,240,3.2,,,,
8,9,Non-Hodgkin lymphoma,-,1,1,1,-,-,4,4,4,7,13,24,14,22,36,32,22,17,202,2.7,,,,
9,10,Leukaemia,2,2,4,5,2,2,2,7,5,11,5,5,14,17,29,22,12,14,160,2.1,,,,
10,11,Bladder,-,-,-,-,-,-,-,-,-,6,2,3,7,13,22,23,37,26,139,1.8,,,,
11,12,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,2,1,4,10,14,13,13,12,16,13,11,7,116,1.5,,,,
12,13,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,-,3,6,7,6,13,9,22,13,13,11,103,1.4,,,,
13,14,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,3,3,1,4,5,7,19,14,15,9,80,1.1,,,,
14,15,Multiple myeloma,-,-,-,-,-,-,1,-,1,2,5,1,3,4,9,17,11,5,59,0.8,,,,
15,16,Brain and other central nervous system,2,2,2,1,-,-,1,5,6,7,4,6,5,1,6,4,1,-,53,0.7,,,,
16,17,Larynx,-,-,-,-,-,-,-,-,-,-,4,5,6,4,6,14,4,6,49,0.6,,,,
17,18,Bone and soft tissue,-,-,2,-,-,-,-,3,1,-,3,1,1,1,5,1,5,2,25,0.3,,,,
18,19,Thyroid gland,-,-,-,-,-,-,-,1,1,-,3,1,2,3,3,4,4,2,24,0.3,,,,
19,20,Melanoma of skin,-,-,-,-,-,-,-,-,-,1,4,1,1,-,5,2,1,1,16,0.2,,,,
20,21,Small intestine,-,-,-,-,-,-,-,-,-,-,-,2,2,1,2,4,2,2,15,0.2,,,,
21,22,Thymus / other thoracic organs,-,-,1,-,-,-,-,-,1,1,1,1,2,1,2,-,1,1,12,0.2,,,,
22,23,Mesothelioma,-,-,-,-,-,-,-,-,-,2,1,2,-,4,1,-,-,1,11,0.1,,,,
23,24,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,2,-,-,1,1,2,-,2,1,1,-,10,0.1,,,,
24,25,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,-,2,6,0.1,,,,
