,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,-,3,6,16,30,63,107,149,146,160,141,201,360,-,"1,382",22.2,,,,
1,2,Colorectum,-,-,-,1,-,-,3,9,7,21,34,66,84,91,87,71,151,282,1,908,14.6,,,,
2,3,Breast,-,-,-,-,-,1,3,11,29,73,97,107,143,102,77,39,63,107,-,852,13.7,,,,
3,4,Liver,-,-,-,-,-,-,2,1,-,6,9,21,31,37,49,39,62,144,-,401,6.4,,,,
4,5,Pancreas,-,-,-,-,-,-,-,1,5,7,11,34,31,35,55,47,44,78,-,348,5.6,,,,
5,6,Stomach,-,-,-,-,-,-,1,3,6,13,20,27,35,33,37,23,25,80,-,303,4.9,,,,
6,7,Ovary and peritoneum,-,-,-,1,1,1,2,5,12,17,33,45,34,29,27,13,21,20,-,261,4.2,,,,
7,8,Cervix,-,-,-,-,-,3,1,6,9,10,22,17,22,21,9,17,9,16,-,162,2.6,,,,
8,9,Non-Hodgkin lymphoma,-,-,-,-,-,1,1,-,2,4,7,11,15,17,16,20,30,32,-,156,2.5,,,,
9,10,Leukaemia,1,2,-,2,-,1,1,5,4,4,11,11,14,11,10,9,22,32,-,140,2.2,,,,
10,11,Corpus uteri,-,-,-,-,-,-,2,-,3,8,14,23,19,15,18,4,6,22,-,134,2.2,,,,
11,12,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,1,-,1,4,6,2,12,15,11,14,36,-,102,1.6,,,,
12,13,Kidney and other urinary organs except bladder,-,-,-,-,-,1,-,-,-,3,3,5,6,7,10,7,17,28,-,87,1.4,,,,
13,14,Bladder,-,-,-,-,-,-,-,-,-,1,2,1,2,5,6,5,13,38,-,73,1.2,,,,
14,15,Bone and soft tissue,-,-,-,-,-,-,-,7,3,3,5,8,10,10,6,7,2,5,-,66,1.1,,,,
15,16,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,2,1,3,2,2,5,5,11,5,3,9,17,-,65,1.0,,,,
16,17,Multiple myeloma,-,-,-,-,-,-,-,-,-,-,-,6,7,8,5,8,15,15,-,64,1.0,,,,
17,18,Nasopharynx,-,-,-,-,-,1,1,1,4,5,7,6,8,5,4,2,6,11,-,61,1.0,,,,
18,18,Brain and other central nervous system,-,1,-,-,-,1,2,2,2,4,6,6,11,7,4,6,5,4,-,61,1.0,,,,
19,20,Oesophagus,-,-,-,-,-,-,-,-,-,1,2,2,2,8,4,5,14,20,-,58,0.9,,,,
20,21,"Uterus, unspecified",-,-,-,-,-,-,-,-,2,2,6,10,10,3,6,3,4,4,-,50,0.8,,,,
21,22,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,1,1,2,1,3,3,3,4,5,3,10,-,36,0.6,,,,
22,23,Thyroid gland,-,-,-,-,-,-,1,-,-,-,-,1,1,4,4,4,8,8,-,31,0.5,,,,
23,24,Melanoma of skin,-,-,-,-,-,-,-,1,1,2,2,-,3,2,3,3,4,4,-,25,0.4,,,,
24,25,Small intestine,-,-,-,-,-,-,-,-,-,-,2,1,-,2,2,1,6,5,-,19,0.3,,,,
25,26,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,8,-,11,0.2,,,,
26,27,Thymus / other thoracic organs,-,-,-,-,-,-,-,-,-,2,-,2,1,-,1,1,1,2,-,10,0.2,,,,
27,28,Mesothelioma,-,-,-,-,-,-,-,-,-,-,-,1,1,2,1,-,-,4,-,9,0.1,,,,
28,29,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,1,-,-,-,1,2,-,-,2,-,6,0.1,,,,
29,30,Other endocrine glands,-,1,1,-,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,5,0.1,,,,
30,31,Larynx,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,0.0,,,,
31,31,Placenta,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2,0.0,,,,
32,31,Hodgkin lymphoma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,0.0,,,,
33,-,Other and unspecified,-,-,-,-,-,1,1,3,8,5,18,19,39,28,26,32,39,115,-,334,5.4,,,,
34,-,All sites,1,4,1,4,1,12,26,64,118,227,381,553,691,655,653,527,795,"1,512",1,"6,226",100.0,,,,
0,,Lung,-,-,-,-,-,-,0.9,1.6,4.7,8.7,19.0,30.8,49.9,63.3,101.5,151.0,217.1,272.3,,,,1,1.4,33.8,13.0
1,,Breast,-,-,-,-,-,0.4,0.9,3.0,8.5,21.0,29.2,30.8,47.9,44.2,48.8,41.8,68.0,80.9,,,,2,1.2,20.9,10.1
