,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,1,2,2,3,18,36,99,195,285,366,369,395,360,393,1,"2,525",29.6,,,,
1,2,Colorectum,-,-,-,-,1,1,3,2,16,13,39,95,156,172,179,184,212,236,-,"1,309",15.4,,,,
2,3,Liver,-,-,-,-,-,2,2,9,26,25,49,119,158,186,132,126,129,126,-,"1,089",12.8,,,,
3,4,Prostate,-,-,-,-,-,-,-,-,-,-,2,6,24,27,54,65,115,175,-,468,5.5,,,,
4,5,Stomach,-,-,-,-,-,1,-,1,3,8,17,32,39,55,49,59,62,88,-,414,4.9,,,,
5,6,Pancreas,-,-,-,-,-,-,-,1,1,12,16,34,50,69,60,46,53,51,-,393,4.6,,,,
6,7,Oesophagus,-,-,-,-,-,-,-,-,1,6,14,23,47,38,32,31,30,28,-,250,2.9,,,,
7,8,Nasopharynx,-,-,-,-,-,2,-,7,10,14,33,45,38,32,20,19,8,4,-,232,2.7,,,,
8,9,Non-Hodgkin lymphoma,-,-,-,-,2,1,2,-,4,7,8,11,25,30,26,28,36,43,-,223,2.6,,,,
9,10,Leukaemia,1,1,4,5,5,1,3,1,3,5,9,8,23,32,22,25,33,29,-,210,2.5,,,,
10,11,Kidney and other urinary organs except bladder,-,-,-,-,-,-,1,1,1,6,14,17,27,26,25,13,19,30,-,180,2.1,,,,
11,12,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,1,1,2,5,14,26,19,25,29,10,18,17,-,167,2.0,,,,
12,13,Bladder,-,-,-,-,-,-,1,-,-,1,2,4,12,14,15,23,25,47,-,144,1.7,,,,
13,14,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,-,1,10,13,14,16,6,17,26,-,103,1.2,,,,
14,15,Brain and other central nervous system,-,-,-,1,2,1,3,2,5,1,5,12,14,11,12,5,1,1,-,76,0.9,,,,
15,16,Multiple myeloma,-,-,-,-,-,-,-,-,-,1,4,3,10,7,14,10,10,14,-,73,0.9,,,,
16,17,Bone and soft tissue,-,-,1,2,2,2,1,3,1,-,4,6,19,10,7,2,1,8,-,69,0.8,,,,
17,18,Larynx,-,-,-,-,-,-,-,-,1,-,2,4,7,6,4,5,8,15,-,52,0.6,,,,
18,19,Thyroid gland,-,-,-,-,-,-,-,-,1,1,1,-,3,2,4,4,5,6,-,27,0.3,,,,
19,20,Small intestine,-,-,-,-,-,-,-,-,-,-,-,1,5,1,1,4,7,3,-,22,0.3,,,,
20,20,Melanoma of skin,-,-,-,-,-,-,-,-,-,-,-,2,5,4,2,4,2,3,-,22,0.3,,,,
21,22,Mesothelioma,-,-,-,-,-,-,-,-,-,-,1,2,2,5,2,1,1,3,-,17,0.2,,,,
22,23,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,3,7,-,15,0.2,,,,
23,24,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,1,2,1,2,-,1,4,-,1,-,12,0.1,,,,
24,24,Thymus / other thoracic organs,-,-,-,-,-,-,-,1,-,1,1,2,1,1,-,1,2,2,-,12,0.1,,,,
25,26,Hodgkin lymphoma,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3,-,2,-,-,8,0.1,,,,
26,27,Penis / other male genital,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,3,-,6,0.1,,,,
27,27,Other endocrine glands,-,1,-,-,-,-,-,-,-,-,-,-,2,1,1,1,-,-,-,6,0.1,,,,
28,29,Breast,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,3,0.0,,,,
29,30,Kaposi sarcoma,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,0.0,,,,
30,30,Testis,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,0.0,,,,
31,30,Eye,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,0.0,,,,
32,-,Other and unspecified,-,-,-,-,2,2,-,2,1,8,14,21,44,50,59,50,62,81,-,396,4.6,,,,
33,-,All sites,1,2,5,8,15,15,19,34,95,151,352,681,"1,033","1,187","1,144","1,121","1,222","1,440",1,"8,526",100.0,,,,
0,,Lung,-,-,-,-,0.5,0.9,0.9,1.3,7.8,14.8,37.1,63.1,103.5,172.4,267.8,413.2,457.4,570.4,,,,1,3.4,74.0,29.9
1,,Colorectum,-,-,-,-,0.5,0.4,1.3,0.8,6.9,5.3,14.6,30.8,56.7,81.0,129.9,192.5,269.4,342.5,,,,2,1.6,38.4,15.2
2,,Liver,-,-,-,-,-,0.9,0.9,3.8,11.2,10.3,18.4,38.5,57.4,87.6,95.8,131.8,163.9,182.9,,,,3,1.6,31.9,14.0
3,,Pancreas,-,-,-,-,-,-,-,0.4,0.4,4.9,6.0,11.0,18.2,32.5,43.5,48.1,67.3,74.0,,,,4,0.6,11.5,4.8
