,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,1,-,-,-,1,1,-,4,20,29,73,93,124,121,104,153,177,350,"1,251",21.7,,,,
1,2,Colorectum,-,-,-,1,-,1,3,5,18,24,36,55,91,98,63,90,130,266,881,15.3,,,,
2,3,Breast,-,-,-,-,-,1,4,18,29,50,86,112,108,75,53,43,50,73,702,12.2,,,,
3,4,Liver,-,-,-,1,-,1,1,1,4,1,10,30,34,51,32,59,75,105,405,7.0,,,,
4,5,Pancreas,-,-,-,-,-,-,1,2,4,7,10,24,34,38,36,38,50,66,310,5.4,,,,
5,6,Stomach,-,-,-,-,1,2,2,4,14,12,18,26,21,26,21,25,35,76,283,4.9,,,,
6,7,Ovary and peritoneum,-,-,-,-,-,-,1,4,9,16,51,31,29,29,12,9,15,23,229,4.0,,,,
7,8,Non-Hodgkin lymphoma,-,-,-,-,-,1,5,1,3,1,4,7,9,21,13,31,26,30,152,2.6,,,,
8,9,Cervix,-,-,-,-,-,1,1,7,7,12,15,22,17,9,10,17,19,14,151,2.6,,,,
9,10,Corpus uteri,-,-,-,-,-,-,1,-,1,4,19,24,20,25,8,6,12,13,133,2.3,,,,
10,11,Leukaemia,1,-,1,2,-,1,5,2,3,3,9,9,14,15,14,10,13,15,117,2.0,,,,
11,12,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,3,-,6,10,10,4,12,15,28,88,1.5,,,,
12,13,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,2,-,2,3,4,5,15,2,11,11,21,76,1.3,,,,
13,14,Nasopharynx,-,-,-,-,-,1,1,3,3,3,13,6,11,14,3,8,4,5,75,1.3,,,,
14,15,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,1,1,1,-,2,4,6,4,9,10,6,8,7,13,72,1.2,,,,
15,16,Oesophagus,-,-,-,-,-,-,1,-,-,-,1,-,3,7,7,8,13,22,62,1.1,,,,
16,17,Bone and soft tissue,1,-,-,-,2,2,1,2,3,4,7,8,10,5,4,-,6,5,60,1.0,,,,
17,18,Bladder,-,-,-,-,-,-,-,-,-,-,2,1,-,1,4,6,12,32,58,1.0,,,,
18,19,Brain and other central nervous system,-,1,2,2,-,-,1,5,2,3,7,4,5,5,3,1,2,3,46,0.8,,,,
19,20,"Uterus, unspecified",-,-,-,-,-,-,1,-,3,3,4,9,5,7,1,1,1,7,42,0.7,,,,
20,20,Multiple myeloma,-,-,-,-,-,-,-,-,-,-,-,3,3,5,6,1,12,12,42,0.7,,,,
21,22,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,-,4,1,5,6,1,3,5,2,5,6,38,0.7,,,,
22,23,Thyroid gland,-,-,-,-,-,-,-,-,-,1,1,1,2,4,3,2,5,11,30,0.5,,,,
23,24,Melanoma of skin,-,-,-,1,-,-,1,-,1,1,3,2,4,1,3,4,3,2,26,0.5,,,,
24,25,Small intestine,-,-,-,-,-,-,-,-,-,-,1,1,2,4,3,1,-,5,17,0.3,,,,
25,26,Thymus / other thoracic organs,-,-,-,-,-,-,-,1,-,-,2,3,-,1,-,-,2,-,9,0.2,,,,
26,27,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,3,7,0.1,,,,
27,28,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,1,-,1,6,0.1,,,,
28,29,Mesothelioma,-,-,-,-,-,-,-,1,-,-,1,-,-,1,1,-,-,-,4,0.1,,,,
29,30,Larynx,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,0.0,,,,
30,30,Hodgkin lymphoma,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,2,0.0,,,,
31,32,Other endocrine glands,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.0,,,,
32,-,Other and unspecified,-,-,-,-,-,-,-,2,4,19,20,26,43,25,34,38,61,113,385,6.7,,,,
33,-,All sites,4,1,3,7,5,13,31,64,134,203,407,518,616,628,457,585,765,"1,321","5,762",100.0,,,,
0,,Lung,0.7,-,-,-,0.4,0.4,-,1.2,6.0,8.9,20.8,29.4,49.4,60.7,95.8,145.4,190.5,306.2,,,1,1.4,31.6,13.0
1,,Breast,-,-,-,-,-,0.4,1.2,5.2,8.7,15.3,24.6,35.4,43.0,37.7,48.8,40.9,53.8,63.9,,,2,1.1,17.7,9.3
2,,Colorectum,-,-,-,0.6,-,0.4,0.9,1.5,5.4,7.3,10.3,17.4,36.2,49.2,58.0,85.6,139.9,232.7,,,3,0.9,22.2,9.0
3,,Liver,-,-,-,0.6,-,0.4,0.3,0.3,1.2,0.3,2.9,9.5,13.5,25.6,29.5,56.1,80.7,91.9,,,4,0.4,10.2,4.1
4,,Pancreas,-,-,-,-,-,-,0.3,0.6,1.2,2.1,2.9,7.6,13.5,19.1,33.1,36.1,53.8,57.7,,,5,0.4,7.8,3.4
5,,Stomach,-,-,-,-,0.4,0.7,0.6,1.2,4.2,3.7,5.1,8.2,8.4,13.1,19.3,23.8,37.7,66.5,,,6,0.3,7.1,3.1
6,,Ovary and peritoneum,-,-,-,-,-,-,0.3,1.2,2.7,4.9,14.6,9.8,11.5,14.6,11.0,8.6,16.1,20.1,,,7,0.4,5.8,3.0
7,,Cervix,-,-,-,-,-,0.4,0.3,2.0,2.1,3.7,4.3,7.0,6.8,4.5,9.2,16.2,20.5,12.2,,,8,0.2,3.8,1.9
8,,Leukaemia,0.7,-,0.8,1.2,-,0.4,1.5,0.6,0.9,0.9,2.6,2.8,5.6,7.5,12.9,9.5,14.0,13.1,,,9,0.2,3.0,1.7
9,,Corpus uteri,-,-,-,-,-,-,0.3,-,0.3,1.2,5.4,7.6,8.0,12.6,7.4,5.7,12.9,11.4,,,10,0.2,3.4,1.7
10,,Non-Hodgkin lymphoma,-,-,-,-,-,0.4,1.5,0.3,0.9,0.3,1.1,2.2,3.6,10.5,12.0,29.5,28.0,26.2,,,11,0.2,3.8,1.6
11,,Nasopharynx,-,-,-,-,-,0.4,0.3,0.9,0.9,0.9,3.7,1.9,4.4,7.0,2.8,7.6,4.3,4.4,,,12,0.1,1.9,1.0
12,,Bone and soft tissue,0.7,-,-,-,0.9,0.7,0.3,0.6,0.9,1.2,2.0,2.5,4.0,2.5,3.7,-,6.5,4.4,,,13,0.1,1.5,1.0
13,,Brain and other central nervous system,-,0.7,1.6,1.2,-,-,0.3,1.5,0.6,0.9,2.0,1.3,2.0,2.5,2.8,1.0,2.2,2.6,,,14,0.1,1.2,0.9
14,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,0.4,0.4,0.3,-,0.6,1.2,1.7,1.3,3.6,5.0,5.5,7.6,7.5,11.4,,,15,0.1,1.8,0.9
15,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,0.9,-,1.9,4.0,5.0,3.7,11.4,16.1,24.5,,,16,0.1,2.2,0.8
16,,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,0.6,-,0.6,0.9,1.3,2.0,7.5,1.8,10.5,11.8,18.4,,,17,0.1,1.9,0.8
17,,Oesophagus,-,-,-,-,-,-,0.3,-,-,-,0.3,-,1.2,3.5,6.4,7.6,14.0,19.2,,,18,0.1,1.6,0.6
18,,"Uterus, unspecified",-,-,-,-,-,-,0.3,-,0.9,0.9,1.1,2.8,2.0,3.5,0.9,1.0,1.1,6.1,,,19,0.1,1.1,0.5
19,,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,-,1.2,0.3,1.4,1.9,0.4,1.5,4.6,1.9,5.4,5.2,,,20,0.1,1.0,0.5
20,,Multiple myeloma,-,-,-,-,-,-,-,-,-,-,-,0.9,1.2,2.5,5.5,1.0,12.9,10.5,,,21,0.1,1.1,0.4
21,,Bladder,-,-,-,-,-,-,-,-,-,-,0.6,0.3,-,0.5,3.7,5.7,12.9,28.0,,,22,0.0,1.5,0.4
22,,Melanoma of skin,-,-,-,0.6,-,-,0.3,-,0.3,0.3,0.9,0.6,1.6,0.5,2.8,3.8,3.2,1.7,,,23,0.0,0.7,0.4
23,,Thyroid gland,-,-,-,-,-,-,-,-,-,0.3,0.3,0.3,0.8,2.0,2.8,1.9,5.4,9.6,,,24,0.0,0.8,0.3
24,,Small intestine,-,-,-,-,-,-,-,-,-,-,0.3,0.3,0.8,2.0,2.8,1.0,-,4.4,,,25,0.0,0.4,0.2
25,,Thymus / other thoracic organs,-,-,-,-,-,-,-,0.3,-,-,0.6,0.9,-,0.5,-,-,2.2,-,,,26,0.0,0.2,0.1
26,,Other endocrine glands,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,27,0.0,0.0,0.1
27,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,-,-,0.3,0.4,1.0,-,1.0,-,0.9,,,28,0.0,0.2,0.1
28,,Mesothelioma,-,-,-,-,-,-,-,0.3,-,-,0.3,-,-,0.5,0.9,-,-,-,,,29,0.0,0.1,0.1
29,,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.9,-,3.2,2.6,,,30,0.0,0.2,0.0
30,,Hodgkin lymphoma,-,-,-,-,-,-,-,-,-,-,-,-,0.4,-,0.9,-,-,-,,,31,0.0,0.1,0.0
