,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,-,5,11,28,81,133,164,230,301,376,448,316,209,"2,302",30.6,,,,
1,2,Liver,-,1,-,-,1,6,9,20,32,80,127,141,132,129,143,134,96,65,"1,116",14.8,,,,
2,3,Colorectum,-,-,-,-,-,-,3,11,14,36,51,71,80,97,148,203,144,122,980,13.0,,,,
3,4,Stomach,-,-,-,-,-,2,3,1,4,12,19,36,36,51,59,72,46,50,391,5.2,,,,
4,5,Prostate,-,-,-,-,-,-,-,-,-,-,2,8,11,17,43,65,64,72,282,3.8,,,,
5,6,Oesophagus,-,-,-,-,-,-,-,1,5,13,19,29,31,45,30,43,34,20,270,3.6,,,,
6,7,Nasopharynx,-,-,-,-,-,2,7,4,12,36,50,51,26,23,25,15,15,1,267,3.6,,,,
7,8,Pancreas,-,-,-,-,-,-,1,1,-,14,24,22,24,25,34,40,28,21,234,3.1,,,,
8,9,Non-Hodgkin lymphoma,-,1,-,-,2,1,3,1,4,6,6,20,10,14,31,25,22,14,160,2.1,,,,
9,10,Leukaemia,1,2,-,1,4,1,2,3,5,9,15,4,14,23,25,17,17,15,158,2.1,,,,
10,11,Bladder,-,-,-,-,-,1,-,-,2,2,5,4,7,8,14,28,37,33,141,1.9,,,,
11,12,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,1,2,1,1,7,5,21,13,20,15,19,10,13,128,1.7,,,,
12,13,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,1,3,7,6,15,15,15,10,15,14,9,110,1.5,,,,
13,14,Multiple myeloma,-,-,-,-,-,-,-,-,-,2,2,12,2,13,13,13,15,12,84,1.1,,,,
14,15,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,1,-,-,4,2,6,11,16,14,13,11,78,1.0,,,,
15,16,Brain and other central nervous system,1,3,1,3,2,1,-,2,3,9,5,9,5,8,11,3,2,1,69,0.9,,,,
16,17,Larynx,-,-,-,-,-,-,-,-,-,2,5,2,7,9,11,12,6,11,65,0.9,,,,
17,18,Bone and soft tissue,1,1,2,-,3,4,3,-,-,4,7,2,1,1,2,2,-,2,35,0.5,,,,
18,19,Small intestine,-,-,-,-,-,-,-,1,1,1,-,1,2,2,4,5,5,4,26,0.3,,,,
19,20,Melanoma of skin,-,-,-,-,-,-,1,-,-,2,4,2,-,1,2,3,1,2,18,0.2,,,,
20,21,Thyroid gland,-,-,-,-,-,1,-,-,-,-,1,1,-,5,2,3,3,-,16,0.2,,,,
21,22,Non-melanoma skin,-,-,-,-,-,-,-,-,1,-,-,1,-,2,1,4,2,3,14,0.2,,,,
22,23,Thymus / other thoracic organs,-,-,-,-,1,-,-,-,1,1,3,-,1,-,3,1,-,1,12,0.2,,,,
23,24,Mesothelioma,-,-,-,-,-,-,-,-,-,-,1,-,4,1,1,1,1,2,11,0.1,,,,
24,25,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,1,-,-,2,3,3,1,-,-,10,0.1,,,,
25,26,Breast,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,2,2,7,0.1,,,,
26,26,Penis / other male genital,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,1,1,2,7,0.1,,,,
27,26,Hodgkin lymphoma,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,2,1,7,0.1,,,,
28,29,Other endocrine glands,2,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,5,0.1,,,,
29,30,Testis,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,2,0.0,,,,
30,-,Other and unspecified,-,-,-,1,-,1,5,2,10,18,20,47,29,50,81,103,79,66,512,6.8,,,,
31,-,All sites,5,8,3,6,13,21,46,61,126,345,515,667,690,875,"1,105","1,292",975,764,"7,517",100.0,,,,
0,,Lung,-,-,-,-,-,-,2.2,4.6,10.1,25.3,45.9,71.6,148.3,253.6,323.9,490.7,627.0,637.2,,,1,4.4,70.0,38.9
1,,Liver,-,0.7,-,-,0.5,2.6,3.9,8.3,11.5,25.0,43.9,61.6,85.1,108.7,123.2,146.8,190.5,198.2,,,2,2.4,33.9,20.4
2,,Colorectum,-,-,-,-,-,-,1.3,4.6,5.1,11.2,17.6,31.0,51.6,81.7,127.5,222.3,285.7,372.0,,,3,1.7,29.8,16.0
3,,Stomach,-,-,-,-,-,0.9,1.3,0.4,1.4,3.7,6.6,15.7,23.2,43.0,50.8,78.9,91.3,152.4,,,4,0.7,11.9,6.7
4,,Nasopharynx,-,-,-,-,-,0.9,3.0,1.7,4.3,11.2,17.3,22.3,16.8,19.4,21.5,16.4,29.8,3.0,,,5,0.6,8.1,5.1
5,,Oesophagus,-,-,-,-,-,-,-,0.4,1.8,4.1,6.6,12.7,20.0,37.9,25.8,47.1,67.5,61.0,,,6,0.5,8.2,4.8
6,,Prostate,-,-,-,-,-,-,-,-,-,-,0.7,3.5,7.1,14.3,37.0,71.2,127.0,219.5,,,7,0.3,8.6,4.1
7,,Pancreas,-,-,-,-,-,-,0.4,0.4,-,4.4,8.3,9.6,15.5,21.1,29.3,43.8,55.6,64.0,,,8,0.4,7.1,4.0
8,,Leukaemia,0.9,1.4,-,0.4,1.8,0.4,0.9,1.2,1.8,2.8,5.2,1.7,9.0,19.4,21.5,18.6,33.7,45.7,,,9,0.3,4.8,3.2
9,,Non-Hodgkin lymphoma,-,0.7,-,-,0.9,0.4,1.3,0.4,1.4,1.9,2.1,8.7,6.4,11.8,26.7,27.4,43.7,42.7,,,10,0.3,4.9,2.8
10,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,0.4,0.9,0.4,0.4,2.2,1.7,9.2,8.4,16.8,12.9,20.8,19.8,39.6,,,11,0.3,3.9,2.3
11,,Bladder,-,-,-,-,-,0.4,-,-,0.7,0.6,1.7,1.7,4.5,6.7,12.1,30.7,73.4,100.6,,,12,0.1,4.3,2.1
12,,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,0.4,1.1,2.2,2.1,6.6,9.7,12.6,8.6,16.4,27.8,27.4,,,13,0.2,3.3,2.0
13,,Brain and other central nervous system,0.9,2.1,0.5,1.3,0.9,0.4,-,0.8,1.1,2.8,1.7,3.9,3.2,6.7,9.5,3.3,4.0,3.0,,,14,0.2,2.1,1.7
14,,Multiple myeloma,-,-,-,-,-,-,-,-,-,0.6,0.7,5.2,1.3,11.0,11.2,14.2,29.8,36.6,,,15,0.1,2.6,1.4
15,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,0.4,-,-,1.4,0.9,3.9,9.3,13.8,15.3,25.8,33.5,,,16,0.1,2.4,1.3
16,,Larynx,-,-,-,-,-,-,-,-,-,0.6,1.7,0.9,4.5,7.6,9.5,13.1,11.9,33.5,,,17,0.1,2.0,1.1
