,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,-,3,6,35,33,102,226,302,374,344,439,415,325,"2,604",31.2,,,,
1,2,Colorectum,-,-,-,-,-,1,5,3,12,25,60,101,124,133,128,166,201,218,"1,177",14.1,,,,
2,3,Liver,1,-,-,-,1,1,2,9,24,41,63,156,167,164,118,137,139,116,"1,139",13.6,,,,
3,4,Stomach,-,-,-,-,-,-,-,2,5,12,22,29,40,51,58,60,59,72,410,4.9,,,,
4,5,Prostate,-,-,-,-,-,-,-,-,-,-,-,7,13,28,46,59,103,148,404,4.8,,,,
5,6,Pancreas,-,-,-,-,-,-,1,3,4,9,26,40,44,52,32,51,45,38,345,4.1,,,,
6,7,Nasopharynx,-,-,-,-,1,-,4,8,15,19,33,46,49,39,15,13,9,8,259,3.1,,,,
7,8,Oesophagus,-,-,-,-,-,-,-,1,3,4,13,33,40,40,24,33,28,23,242,2.9,,,,
8,9,Non-Hodgkin lymphoma,-,-,2,-,1,1,2,1,4,5,10,18,24,16,25,37,34,18,198,2.4,,,,
9,10,Leukaemia,-,3,1,1,2,2,3,3,5,6,10,9,24,30,25,27,21,13,185,2.2,,,,
10,11,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,-,-,3,6,10,12,18,20,19,17,17,18,16,156,1.9,,,,
11,12,Bladder,-,-,-,-,-,-,-,-,1,1,1,9,7,15,14,26,27,48,149,1.8,,,,
12,13,Kidney and other urinary organs except bladder,1,-,-,-,-,1,-,2,2,3,9,21,13,22,13,28,15,17,147,1.8,,,,
13,14,Multiple myeloma,-,-,-,-,-,-,-,-,-,-,3,3,6,11,11,11,16,14,75,0.9,,,,
14,15,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,1,-,-,1,4,7,12,9,10,16,10,70,0.8,,,,
15,16,Larynx,-,-,-,-,-,-,-,-,1,-,2,9,6,4,7,7,10,17,63,0.8,,,,
16,16,Bone and soft tissue,-,-,1,-,1,2,1,1,4,-,7,4,7,4,7,7,8,9,63,0.8,,,,
17,18,Brain and other central nervous system,1,1,-,-,2,2,3,1,2,3,4,7,13,11,4,3,4,-,61,0.7,,,,
18,19,Melanoma of skin,-,-,-,-,-,-,-,1,-,3,4,2,3,2,4,-,3,1,23,0.3,,,,
19,20,Thymus / other thoracic organs,-,-,-,-,-,-,2,-,-,-,4,3,5,2,3,2,1,-,22,0.3,,,,
20,21,Small intestine,-,-,-,-,-,-,-,-,-,-,4,1,1,4,1,2,3,3,19,0.2,,,,
21,21,Mesothelioma,-,-,-,-,-,-,-,-,-,-,1,2,5,1,1,2,4,3,19,0.2,,,,
22,21,Thyroid gland,-,-,-,-,-,-,-,-,1,-,3,-,2,1,5,1,2,4,19,0.2,,,,
23,24,Non-melanoma skin,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,3,3,3,11,0.1,,,,
