,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,-,4,18,33,92,110,202,226,339,461,458,364,195,1,"2,503",33.4,,,,
1,2,Liver,-,-,-,-,3,3,7,23,57,105,100,117,110,144,179,142,97,32,-,"1,119",14.9,,,,
2,3,Colorectum,-,-,-,-,-,1,4,5,18,20,42,78,72,119,138,155,136,118,-,906,12.1,,,,
3,4,Stomach,-,-,-,1,-,-,1,4,9,17,32,20,31,42,66,81,50,42,-,396,5.3,,,,
4,5,Nasopharynx,-,-,-,-,1,-,4,12,36,47,49,31,32,30,29,25,6,3,-,305,4.1,,,,
5,6,Oesophagus,-,-,-,-,-,-,-,1,5,10,19,33,32,42,47,47,34,19,-,289,3.9,,,,
6,7,Prostate,-,-,-,-,-,-,-,-,-,1,1,2,7,24,35,48,51,62,-,231,3.1,,,,
7,8,Pancreas,-,-,-,-,-,-,1,1,6,9,16,21,18,27,39,28,22,16,-,204,2.7,,,,
8,9,Non-Hodgkin lymphoma,-,-,2,-,1,-,7,4,7,3,14,7,16,16,28,26,15,15,-,161,2.1,,,,
9,10,Leukaemia,2,2,-,3,1,5,3,6,4,8,12,5,15,18,16,26,12,10,-,148,2.0,,,,
10,11,Bladder,-,-,-,-,-,-,-,-,1,1,3,4,4,13,33,19,32,35,-,145,1.9,,,,
11,12,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,-,1,1,1,4,11,4,14,8,19,27,10,17,7,1,125,1.7,,,,
12,13,Kidney and other urinary organs except bladder,-,-,-,-,-,-,1,2,1,2,6,13,15,9,11,13,12,6,-,91,1.2,,,,
13,14,Multiple myeloma,-,-,-,-,-,-,-,1,-,3,5,1,4,15,15,14,13,7,-,78,1.0,,,,
14,15,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,2,1,3,2,9,13,21,10,8,-,69,0.9,,,,
15,16,Larynx,-,-,-,-,-,-,-,-,1,2,3,3,11,9,14,7,7,5,-,62,0.8,,,,
