,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,-,7,4,20,41,55,61,56,98,179,217,220,225,"1,183",24.6,,,,
1,2,Colorectum,-,-,-,-,2,3,-,7,14,25,40,44,31,61,98,120,116,147,708,14.7,,,,
2,3,Breast,-,-,-,-,-,2,5,13,47,53,67,49,35,32,31,27,51,48,460,9.6,,,,
3,4,Liver,-,-,-,1,-,2,-,5,10,16,14,15,30,46,60,66,61,61,387,8.0,,,,
4,5,Stomach,-,-,-,-,-,-,6,6,10,15,10,14,11,15,34,38,31,49,239,5.0,,,,
5,6,Pancreas,-,-,-,-,-,-,-,-,1,6,11,8,14,17,31,26,44,32,190,3.9,,,,
6,7,Ovary and peritoneum,-,-,-,1,-,1,-,3,8,17,19,11,7,20,17,12,13,8,137,2.8,,,,
7,8,Non-Hodgkin lymphoma,-,-,-,-,1,2,-,1,1,5,9,9,7,11,18,25,21,21,131,2.7,,,,
8,9,Cervix,-,-,-,-,-,-,-,7,8,9,11,10,9,12,15,11,19,15,126,2.6,,,,
9,10,Leukaemia,-,1,2,2,2,2,1,2,3,6,14,11,8,12,15,9,19,14,123,2.6,,,,
10,11,Nasopharynx,-,-,-,-,-,-,8,4,9,13,6,12,10,7,7,11,5,2,94,2.0,,,,
11,12,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,1,2,-,4,3,4,6,11,13,11,23,78,1.6,,,,
12,13,Oesophagus,-,-,-,-,-,1,-,1,1,1,1,4,4,5,9,17,12,19,75,1.6,,,,
13,14,Bladder,-,-,-,-,-,-,-,-,1,-,-,-,1,-,8,8,17,27,62,1.3,,,,
14,15,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,1,-,2,1,4,5,3,6,10,11,10,53,1.1,,,,
15,16,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,1,-,1,2,3,3,1,3,-,6,9,6,7,8,50,1.0,,,,
16,16,Multiple myeloma,-,-,-,-,-,-,-,-,-,1,2,2,2,4,12,14,4,9,50,1.0,,,,
17,18,Corpus uteri,-,-,-,-,-,-,-,-,2,-,11,6,6,6,6,3,2,2,44,0.9,,,,
