,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,-,1,15,25,52,77,88,117,78,121,200,229,261,"1,264",23.8,,,,
1,2,Colorectum,-,-,-,-,-,-,2,2,12,26,47,57,59,50,79,122,118,249,823,15.5,,,,
2,3,Breast,-,-,-,-,-,-,2,13,24,52,84,76,94,39,33,32,41,62,552,10.4,,,,
3,4,Liver,-,1,-,-,-,1,2,1,4,4,13,18,37,36,54,70,73,82,396,7.5,,,,
4,5,Stomach,-,-,-,-,-,-,1,7,8,19,15,22,20,16,27,34,33,76,278,5.2,,,,
5,6,Pancreas,-,-,-,-,-,-,-,-,4,4,13,18,20,24,26,41,36,44,230,4.3,,,,
6,7,Ovary and peritoneum,-,-,-,-,-,1,4,1,11,15,30,25,20,16,12,15,7,25,182,3.4,,,,
7,8,Cervix,-,-,-,-,1,1,2,8,8,10,16,15,17,14,9,15,14,21,151,2.8,,,,
8,9,Non-Hodgkin lymphoma,1,-,-,-,-,1,1,3,1,5,11,5,15,10,19,16,21,33,142,2.7,,,,
9,9,Leukaemia,2,-,4,1,3,-,2,5,12,13,7,12,12,2,7,19,17,24,142,2.7,,,,
10,11,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,-,4,6,9,7,11,15,19,19,90,1.7,,,,
11,12,Corpus uteri,-,-,-,-,-,-,1,1,4,2,15,17,7,8,2,5,6,8,76,1.4,,,,
12,13,Nasopharynx,-,-,-,-,-,-,1,3,4,11,13,4,9,4,7,3,4,5,68,1.3,,,,
13,14,Multiple myeloma,-,-,-,-,-,-,-,-,-,1,3,3,3,5,9,10,12,15,61,1.1,,,,
14,15,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,-,-,4,5,3,6,4,7,4,7,20,60,1.1,,,,
15,16,Bladder,-,-,-,-,-,-,-,-,-,-,2,2,4,1,1,9,12,22,53,1.0,,,,
16,17,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,1,-,-,2,1,2,5,5,5,2,2,9,6,12,52,1.0,,,,
17,17,Oesophagus,-,-,-,-,-,-,-,-,-,1,1,4,5,5,8,6,7,15,52,1.0,,,,
18,19,Bone and soft tissue,-,-,-,1,4,1,-,1,3,5,4,6,3,-,2,8,4,3,45,0.8,,,,
19,20,Brain and other central nervous system,2,1,2,-,-,-,2,4,3,4,3,5,2,2,5,2,5,1,43,0.8,,,,
20,21,"Uterus, unspecified",-,-,-,-,-,-,-,1,2,7,6,6,2,2,4,5,2,3,40,0.8,,,,
21,22,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,1,-,3,1,4,2,-,4,5,3,7,30,0.6,,,,
22,23,Thyroid gland,-,-,-,-,-,-,-,-,1,-,-,1,3,1,4,3,5,5,23,0.4,,,,
23,24,Melanoma of skin,-,-,-,-,-,-,1,-,1,-,-,2,1,-,2,-,6,3,16,0.3,,,,
24,25,Small intestine,-,-,-,-,-,-,-,-,-,-,1,1,-,2,1,4,3,3,15,0.3,,,,
25,26,Thymus / other thoracic organs,-,-,-,-,-,-,-,-,2,-,1,2,3,2,2,2,-,-,14,0.3,,,,
26,27,Non-melanoma skin,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,1,-,4,8,0.2,,,,
27,28,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,3,2,7,0.1,,,,
28,29,Other endocrine glands,2,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,5,0.1,,,,
29,30,Mesothelioma,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,3,0.1,,,,
30,30,Hodgkin lymphoma,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,3,0.1,,,,
31,32,Larynx,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,0.0,,,,
32,33,Kaposi sarcoma,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,0.0,,,,
33,33,Placenta,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.0,,,,
34,-,Other and unspecified,1,-,-,-,-,-,2,7,7,12,18,24,29,31,33,53,65,95,377,7.1,,,,
35,-,All sites,8,2,6,2,11,5,24,75,138,256,398,433,505,361,492,710,759,"1,120","5,305",100.0,,,,
0,,Lung,-,-,-,-,-,-,0.3,4.6,7.6,14.6,23.7,34.0,57.2,69.1,106.4,184.8,273.3,308.1,,,1,1.6,33.5,15.4
1,,Colorectum,-,-,-,-,-,-,0.6,0.6,3.6,7.3,14.5,22.0,28.9,44.3,69.5,112.8,140.8,294.0,,,2,1.0,21.8,9.5
2,,Breast,-,-,-,-,-,-,0.6,4.0,7.3,14.6,25.9,29.3,46.0,34.6,29.0,29.6,48.9,73.2,,,3,1.0,14.6,8.4
3,,Liver,-,0.9,-,-,-,0.3,0.6,0.3,1.2,1.1,4.0,6.9,18.1,31.9,47.5,64.7,87.1,96.8,,,4,0.6,10.5,5.0
4,,Stomach,-,-,-,-,-,-,0.3,2.1,2.4,5.3,4.6,8.5,9.8,14.2,23.7,31.4,39.4,89.7,,,5,0.4,7.4,3.4
5,,Pancreas,-,-,-,-,-,-,-,-,1.2,1.1,4.0,6.9,9.8,21.3,22.9,37.9,43.0,51.9,,,6,0.3,6.1,3.0
6,,Ovary and peritoneum,-,-,-,-,-,0.3,1.2,0.3,3.3,4.2,9.2,9.6,9.8,14.2,10.6,13.9,8.4,29.5,,,7,0.3,4.8,2.8
7,,Leukaemia,1.7,-,2.5,0.5,1.3,-,0.6,1.5,3.6,3.6,2.2,4.6,5.9,1.8,6.2,17.6,20.3,28.3,,,8,0.2,3.8,2.3
8,,Cervix,-,-,-,-,0.4,0.3,0.6,2.4,2.4,2.8,4.9,5.8,8.3,12.4,7.9,13.9,16.7,24.8,,,9,0.2,4.0,2.2
9,,Non-Hodgkin lymphoma,0.8,-,-,-,-,0.3,0.3,0.9,0.3,1.4,3.4,1.9,7.3,8.9,16.7,14.8,25.1,39.0,,,10,0.2,3.8,1.9
10,,Corpus uteri,-,-,-,-,-,-,0.3,0.3,1.2,0.6,4.6,6.6,3.4,7.1,1.8,4.6,7.2,9.4,,,11,0.1,2.0,1.2
11,,Nasopharynx,-,-,-,-,-,-,0.3,0.9,1.2,3.1,4.0,1.5,4.4,3.5,6.2,2.8,4.8,5.9,,,12,0.1,1.8,1.1
12,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,-,1.2,2.3,4.4,6.2,9.7,13.9,22.7,22.4,,,13,0.1,2.4,1.1
13,,Brain and other central nervous system,1.7,0.9,1.2,-,-,-,0.6,1.2,0.9,1.1,0.9,1.9,1.0,1.8,4.4,1.8,6.0,1.2,,,14,0.1,1.1,1.0
14,,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,-,-,1.1,1.5,1.2,2.9,3.5,6.2,3.7,8.4,23.6,,,15,0.1,1.6,0.7
15,,Bone and soft tissue,-,-,-,0.5,1.7,0.3,-,0.3,0.9,1.4,1.2,2.3,1.5,-,1.8,7.4,4.8,3.5,,,16,0.1,1.2,0.7
16,,Multiple myeloma,-,-,-,-,-,-,-,-,-,0.3,0.9,1.2,1.5,4.4,7.9,9.2,14.3,17.7,,,17,0.1,1.6,0.7
17,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,0.4,-,-,0.6,0.3,0.6,1.5,1.9,2.4,1.8,1.8,8.3,7.2,14.2,,,18,0.1,1.4,0.7
18,,Oesophagus,-,-,-,-,-,-,-,-,-,0.3,0.3,1.5,2.4,4.4,7.0,5.5,8.4,17.7,,,19,0.1,1.4,0.7
19,,"Uterus, unspecified",-,-,-,-,-,-,-,0.3,0.6,2.0,1.8,2.3,1.0,1.8,3.5,4.6,2.4,3.5,,,20,0.1,1.1,0.6
20,,Bladder,-,-,-,-,-,-,-,-,-,-,0.6,0.8,2.0,0.9,0.9,8.3,14.3,26.0,,,21,0.0,1.4,0.5
21,,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,0.3,-,0.8,0.3,1.5,1.0,-,3.5,4.6,3.6,8.3,,,22,0.0,0.8,0.4
22,,Thyroid gland,-,-,-,-,-,-,-,-,0.3,-,-,0.4,1.5,0.9,3.5,2.8,6.0,5.9,,,23,0.0,0.6,0.3
23,,Other endocrine glands,1.7,-,-,-,-,-,-,-,0.3,0.3,-,0.4,-,-,-,-,-,-,,,24,0.0,0.1,0.3
24,,Thymus / other thoracic organs,-,-,-,-,-,-,-,-,0.6,-,0.3,0.8,1.5,1.8,1.8,1.8,-,-,,,25,0.0,0.4,0.2
25,,Melanoma of skin,-,-,-,-,-,-,0.3,-,0.3,-,-,0.8,0.5,-,1.8,-,7.2,3.5,,,26,0.0,0.4,0.2
26,,Small intestine,-,-,-,-,-,-,-,-,-,-,0.3,0.4,-,1.8,0.9,3.7,3.6,3.5,,,27,0.0,0.4,0.2
27,,Non-melanoma skin,-,-,-,-,-,-,-,-,-,0.6,-,-,-,-,0.9,0.9,-,4.7,,,28,0.0,0.2,0.1
28,,Hodgkin lymphoma,-,-,-,-,0.4,-,-,-,-,0.3,-,-,-,-,-,0.9,-,-,,,29,0.0,0.1,0.1
29,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,-,0.3,-,-,-,-,0.9,3.6,2.4,,,30,0.0,0.2,0.1
30,,Mesothelioma,-,-,-,-,-,-,-,-,-,-,0.3,0.4,0.5,-,-,-,-,-,,,31,0.0,0.1,0.1
31,,Placenta,-,-,-,-,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,,,32,0.0,0.0,0.0
32,,Kaposi sarcoma,-,-,-,-,-,-,-,-,-,-,0.3,-,-,-,-,-,-,-,,,33,0.0,0.0,0.0
33,,Larynx,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.2,1.2,,,34,-,0.1,0.0
34,,Other and unspecified,0.8,-,-,-,-,-,0.6,2.1,2.1,3.4,5.5,9.3,14.2,27.5,29.0,49.0,77.6,112.2,,,-,0.5,10.0,4.7
35,,All sites,6.7,1.7,3.7,1.0,4.8,1.6,7.4,22.9,41.8,71.8,122.5,167.1,246.9,320.0,432.7,656.2,905.7,"1,322.3",,,-,7.3,140.8,69.2
