,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,1,1,15,35,66,119,144,228,351,497,421,263,190,1,"2,332",32.6,,,,
1,2,Liver,1,-,-,1,1,5,6,17,51,99,109,120,108,143,149,134,76,55,-,"1,075",15.0,,,,
2,3,Colorectum,-,-,-,1,2,3,1,11,17,36,52,58,71,102,159,169,124,82,-,888,12.4,,,,
3,4,Stomach,-,-,-,-,-,2,-,6,15,11,27,24,36,55,66,72,58,44,-,416,5.8,,,,
4,5,Nasopharynx,-,-,-,-,-,2,8,11,39,34,40,31,33,34,37,17,5,2,-,293,4.1,,,,
5,6,Oesophagus,-,-,-,-,-,-,-,-,4,16,32,23,34,44,64,31,30,10,-,288,4.0,,,,
6,7,Prostate,-,-,-,-,-,-,-,1,-,-,1,2,7,19,43,46,37,53,-,209,2.9,,,,
7,8,Pancreas,-,-,-,-,-,-,-,2,7,13,19,15,20,20,37,34,15,16,-,198,2.8,,,,
8,9,Non-Hodgkin lymphoma,-,-,-,1,2,1,3,2,6,6,12,14,12,19,30,20,20,22,-,170,2.4,,,,
9,10,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,1,-,1,-,2,2,10,12,18,20,21,21,16,10,9,-,143,2.0,,,,
10,11,Bladder,-,-,-,-,-,-,-,-,-,-,1,6,6,13,22,26,30,23,-,127,1.8,,,,
11,12,Leukaemia,1,2,4,1,3,3,2,2,6,7,11,7,12,14,15,16,16,3,-,125,1.7,,,,
12,13,Kidney and other urinary organs except bladder,-,-,-,-,-,2,-,2,2,4,7,8,11,6,14,16,13,15,-,100,1.4,,,,
13,14,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,3,2,2,6,7,16,15,10,9,-,70,1.0,,,,
14,15,Larynx,-,-,-,-,-,-,-,-,1,-,6,8,6,7,9,9,9,8,-,63,0.9,,,,
15,16,Brain and other central nervous system,1,-,4,2,1,2,1,2,4,9,4,6,1,8,5,6,3,3,-,62,0.9,,,,
16,17,Multiple myeloma,-,-,-,-,-,-,-,-,-,-,3,5,7,7,7,13,10,6,-,58,0.8,,,,
17,18,Bone and soft tissue,1,1,-,-,1,4,3,2,1,4,3,1,3,2,4,3,1,4,-,38,0.5,,,,
18,19,Melanoma of skin,-,-,-,-,-,-,-,-,-,1,2,-,2,1,4,2,4,1,-,17,0.2,,,,
19,20,Thyroid gland,-,-,-,-,-,-,-,-,1,1,-,1,1,1,2,5,1,1,-,14,0.2,,,,
20,21,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,1,-,-,-,1,2,2,4,1,1,-,12,0.2,,,,
21,22,Thymus / other thoracic organs,-,-,-,-,-,1,2,-,1,-,1,1,-,-,2,1,2,-,-,11,0.2,,,,
22,23,Small intestine,-,-,-,-,-,-,-,-,-,1,2,-,1,1,-,3,1,-,-,9,0.1,,,,
23,24,Mesothelioma,-,-,-,-,-,-,-,-,-,-,-,2,1,-,2,2,-,-,-,7,0.1,,,,
24,24,Non-melanoma skin,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,2,2,-,7,0.1,,,,
25,26,Hodgkin lymphoma,-,-,-,-,1,-,-,-,-,2,-,-,-,-,1,-,-,1,-,5,0.1,,,,
26,27,Penis / other male genital,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,1,-,4,0.1,,,,
27,27,Other endocrine glands,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,4,0.1,,,,
28,29,Breast,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,3,0.0,,,,
29,30,Testis,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,2,0.0,,,,
30,-,Other and unspecified,-,-,-,2,-,-,-,3,5,23,22,24,28,58,88,66,53,34,-,406,5.7,,,,
31,-,All sites,5,4,8,9,11,27,28,78,198,347,489,520,656,936,"1,301","1,148",794,596,1,"7,156",100.0,,,,
0,,Lung,-,-,-,-,-,0.4,0.4,5.3,10.5,22.2,49.8,88.3,183.1,275.9,457.2,599.7,679.6,859.7,,,,1,5.5,71.6,46.8
1,,Liver,0.8,-,-,0.5,0.5,2.2,2.4,6.0,15.3,33.3,45.6,73.6,86.7,112.4,137.1,190.9,196.4,248.9,,,,2,2.6,33.0,22.7
2,,Colorectum,-,-,-,0.5,0.9,1.3,0.4,3.9,5.1,12.1,21.7,35.6,57.0,80.2,146.3,240.7,320.4,371.0,,,,3,1.8,27.2,17.5
3,,Stomach,-,-,-,-,-,0.9,-,2.1,4.5,3.7,11.3,14.7,28.9,43.2,60.7,102.6,149.9,199.1,,,,4,0.9,12.8,8.3
4,,Nasopharynx,-,-,-,-,-,0.9,3.2,3.9,11.7,11.4,16.7,19.0,26.5,26.7,34.0,24.2,12.9,9.0,,,,5,0.8,9.0,6.4
5,,Oesophagus,-,-,-,-,-,-,-,-,1.2,5.4,13.4,14.1,27.3,34.6,58.9,44.2,77.5,45.2,,,,6,0.8,8.8,6.0
6,,Pancreas,-,-,-,-,-,-,-,0.7,2.1,4.4,7.9,9.2,16.1,15.7,34.0,48.4,38.8,72.4,,,,7,0.5,6.1,4.0
7,,Prostate,-,-,-,-,-,-,-,0.4,-,-,0.4,1.2,5.6,14.9,39.6,65.5,95.6,239.8,,,,8,0.3,6.4,3.9
8,,Non-Hodgkin lymphoma,-,-,-,0.5,0.9,0.4,1.2,0.7,1.8,2.0,5.0,8.6,9.6,14.9,27.6,28.5,51.7,99.5,,,,9,0.4,5.2,3.5
9,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,0.5,-,0.4,-,0.7,0.6,3.4,5.0,11.0,16.1,16.5,19.3,22.8,25.8,40.7,,,,10,0.4,4.4,3.1
10,,Leukaemia,0.8,1.0,1.8,0.5,1.4,1.3,0.8,0.7,1.8,2.4,4.6,4.3,9.6,11.0,13.8,22.8,41.3,13.6,,,,11,0.3,3.8,2.9
11,,Bladder,-,-,-,-,-,-,-,-,-,-,0.4,3.7,4.8,10.2,20.2,37.0,77.5,104.1,,,,12,0.2,3.9,2.4
12,,Kidney and other urinary organs except bladder,-,-,-,-,-,0.9,-,0.7,0.6,1.3,2.9,4.9,8.8,4.7,12.9,22.8,33.6,67.9,,,,13,0.2,3.1,2.1
13,,Brain and other central nervous system,0.8,-,1.8,0.9,0.5,0.9,0.4,0.7,1.2,3.0,1.7,3.7,0.8,6.3,4.6,8.5,7.8,13.6,,,,14,0.1,1.9,1.5
14,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,1.0,0.8,1.2,4.8,5.5,14.7,21.4,25.8,40.7,,,,15,0.1,2.1,1.4
15,,Larynx,-,-,-,-,-,-,-,-,0.3,-,2.5,4.9,4.8,5.5,8.3,12.8,23.3,36.2,,,,16,0.1,1.9,1.3
16,,Multiple myeloma,-,-,-,-,-,-,-,-,-,-,1.3,3.1,5.6,5.5,6.4,18.5,25.8,27.1,,,,17,0.1,1.8,1.2
17,,Bone and soft tissue,0.8,0.5,-,-,0.5,1.8,1.2,0.7,0.3,1.3,1.3,0.6,2.4,1.6,3.7,4.3,2.6,18.1,,,,18,0.1,1.2,1.0
18,,Melanoma of skin,-,-,-,-,-,-,-,-,-,0.3,0.8,-,1.6,0.8,3.7,2.8,10.3,4.5,,,,19,0.0,0.5,0.3
