,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,1,10,22,50,101,177,207,278,417,497,497,304,168,1,"2,730",22.2,,,,
1,2,Colorectum,-,-,-,-,-,3,4,23,60,91,162,177,206,298,367,330,242,153,-,"2,116",17.2,,,,
2,3,Liver,1,1,-,-,2,5,8,29,66,129,142,181,153,187,170,130,84,36,-,"1,324",10.8,,,,
3,4,Prostate,-,-,-,-,-,-,-,-,1,1,19,50,82,185,249,191,120,72,-,970,7.9,,,,
4,5,Nasopharynx,-,-,2,1,7,13,28,57,98,145,117,73,38,55,33,25,11,1,-,704,5.7,,,,
5,6,Stomach,-,-,-,1,-,-,4,12,21,28,43,51,52,88,112,117,73,41,-,643,5.2,,,,
6,7,Bladder,-,-,-,-,1,-,2,1,2,13,19,23,32,47,86,79,46,45,-,396,3.2,,,,
7,8,Non-Hodgkin lymphoma,1,-,3,1,7,4,8,8,20,26,40,30,33,49,45,49,25,17,-,366,3.0,,,,
8,9,Oesophagus,-,-,-,-,-,-,-,3,3,16,39,54,39,50,66,45,27,20,-,362,2.9,,,,
9,10,"Lip, oral cavity and pharynx except nasopharynx",-,-,1,-,2,7,7,3,17,23,33,38,33,47,31,39,19,13,-,313,2.5,,,,
10,11,Non-melanoma skin,-,-,-,-,1,-,3,5,11,10,25,20,28,29,40,51,32,38,3,296,2.4,,,,
11,12,Kidney and other urinary organs except bladder,1,-,-,-,-,-,6,5,17,22,26,38,28,32,39,35,20,12,-,281,2.3,,,,
12,13,Leukaemia,10,7,3,11,7,5,8,6,14,18,15,14,19,21,23,22,14,9,-,226,1.8,,,,
13,14,Pancreas,-,-,-,1,-,-,2,1,7,12,17,20,17,38,31,33,23,16,-,218,1.8,,,,
14,15,Larynx,-,-,-,-,-,-,-,-,6,9,14,13,20,28,28,38,7,7,-,170,1.4,,,,
15,16,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,1,1,2,5,6,5,29,32,32,18,15,-,146,1.2,,,,
16,17,Bone and soft tissue,1,1,4,3,4,9,3,8,10,18,5,11,7,5,8,10,1,7,-,115,0.9,,,,
17,18,Multiple myeloma,-,-,-,-,-,-,-,1,3,4,7,6,10,14,17,19,20,11,-,112,0.9,,,,
18,19,Brain and other central nervous system,3,5,5,8,3,4,4,4,12,4,8,7,2,9,10,7,2,1,-,98,0.8,,,,
19,20,Thyroid gland,-,-,-,-,2,4,10,9,9,7,10,8,5,8,6,6,7,2,-,93,0.8,,,,
20,21,Testis,1,-,-,3,4,7,8,7,3,1,2,-,1,1,-,2,-,-,-,40,0.3,,,,
21,22,"Nasal cavity, middle ear and accessory sinuses",-,-,-,2,-,-,-,2,1,4,1,2,4,6,4,3,2,-,-,31,0.3,,,,
22,23,Melanoma of skin,-,-,-,-,-,-,1,1,1,5,3,4,2,2,4,2,3,2,-,30,0.2,,,,
23,24,Thymus / other thoracic organs,1,-,-,5,2,1,1,-,1,4,2,1,2,1,-,5,1,-,-,27,0.2,,,,
24,25,Small intestine,-,-,-,-,-,-,-,-,3,-,3,2,4,2,3,2,1,4,-,24,0.2,,,,
25,25,Penis / other male genital,-,-,-,-,-,-,-,1,2,1,2,2,-,2,7,5,1,1,-,24,0.2,,,,
26,27,Hodgkin lymphoma,-,-,1,1,4,-,1,1,3,-,-,1,1,4,1,2,1,-,-,21,0.2,,,,
27,28,Breast,-,-,-,-,-,-,-,-,-,2,3,3,-,2,2,-,1,-,-,13,0.1,,,,
28,29,Mesothelioma,-,-,-,-,-,-,-,-,1,-,2,2,-,-,1,2,2,-,-,10,0.1,,,,
29,30,Other endocrine glands,1,2,2,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,7,0.1,,,,
30,31,Eye,3,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,6,0.0,,,,
31,32,Kaposi sarcoma,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,3,0.0,,,,
32,-,Other and unspecified,1,-,-,2,3,1,1,2,5,13,32,22,31,59,62,71,49,39,-,393,3.2,,,,
