,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Colorectum,-,-,-,-,4,6,10,26,50,87,203,333,438,665,442,374,386,279,"3,303",19.6,,,,
1,2,Lung,-,-,-,-,1,3,1,11,42,55,138,329,452,562,458,462,407,326,"3,247",19.2,,,,
2,3,Prostate,-,-,-,-,-,-,-,-,-,9,36,151,333,481,446,359,262,163,"2,240",13.3,,,,
3,4,Liver,2,-,1,-,-,1,12,19,39,53,124,195,246,262,148,136,93,77,"1,408",8.3,,,,
4,5,Stomach,-,-,-,-,-,2,-,7,14,17,39,77,92,123,112,96,102,81,762,4.5,,,,
5,6,Nasopharynx,-,-,-,-,5,1,21,40,68,74,89,107,88,50,37,15,15,6,616,3.7,,,,
6,7,Non-melanoma skin,-,-,-,-,2,-,4,7,13,34,47,59,81,78,58,46,68,72,569,3.4,,,,
7,8,Non-Hodgkin lymphoma,3,6,1,3,8,6,8,18,11,20,41,62,89,82,64,54,60,28,564,3.3,,,,
8,9,Kidney and other urinary organs except bladder,1,-,-,-,1,1,4,8,20,33,44,58,84,78,67,31,31,24,485,2.9,,,,
9,10,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,2,5,2,8,21,24,43,62,82,68,62,34,23,27,463,2.7,,,,
10,11,Pancreas,-,-,1,-,-,-,1,4,7,17,28,47,60,57,60,49,53,40,424,2.5,,,,
11,12,Leukaemia,11,11,6,7,10,7,10,6,5,25,21,33,39,47,31,29,16,18,332,2.0,,,,
12,13,Oesophagus,-,-,-,-,-,-,-,-,2,8,21,46,54,51,47,38,28,34,329,1.9,,,,
13,14,Bladder,-,-,-,-,-,-,-,-,-,2,7,20,38,45,30,56,49,49,296,1.8,,,,
14,15,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,1,-,-,4,13,16,26,47,38,33,34,35,247,1.5,,,,
15,16,Thyroid gland,-,-,1,1,4,11,10,16,15,13,14,22,24,16,12,13,5,4,181,1.1,,,,
16,17,Larynx,-,-,-,-,-,-,-,-,3,3,9,24,33,27,24,17,16,19,175,1.0,,,,
17,18,Multiple myeloma,-,-,-,-,-,-,-,2,2,5,9,16,27,31,22,18,17,16,165,1.0,,,,
18,19,Bone and soft tissue,-,1,1,3,7,6,9,5,9,7,17,19,21,12,8,9,7,9,150,0.9,,,,
19,20,Brain and other central nervous system,4,7,6,6,5,4,7,3,7,7,9,15,16,15,17,6,5,4,143,0.8,,,,
20,21,Testis,3,-,1,2,14,17,22,11,10,3,6,4,-,2,1,-,1,-,97,0.6,,,,
21,22,Small intestine,-,-,-,-,-,-,1,1,3,7,4,13,12,9,17,7,5,5,84,0.5,,,,
22,23,Hodgkin lymphoma,-,-,3,4,5,9,4,4,3,3,2,2,3,7,2,-,2,1,54,0.3,,,,
23,24,Melanoma of skin,-,-,-,-,-,-,-,1,-,5,4,7,7,6,8,3,2,5,48,0.3,,,,
24,25,Penis / other male genital,-,-,-,-,-,-,-,1,3,1,4,6,4,2,6,4,3,11,45,0.3,,,,
25,26,"Nasal cavity, middle ear and accessory sinuses",1,-,-,-,1,-,-,3,2,3,1,5,3,5,2,1,4,2,33,0.2,,,,
26,27,Thymus / other thoracic organs,-,-,-,1,3,1,-,1,1,3,1,6,6,3,1,3,-,-,30,0.2,,,,
27,28,Mesothelioma,-,-,-,-,1,-,-,-,-,-,-,1,1,6,3,4,2,1,19,0.1,,,,
28,29,Breast,-,-,-,-,-,-,-,-,2,2,1,3,1,3,-,3,2,1,18,0.1,,,,
29,30,Other endocrine glands,3,-,-,2,4,-,-,-,-,-,-,-,1,-,-,-,-,-,10,0.1,,,,
30,31,Eye,2,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,-,-,6,0.0,,,,
31,32,Kaposi sarcoma,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,1,-,4,0.0,,,,
32,-,Other and unspecified,-,-,-,-,-,2,-,4,2,11,26,27,27,44,38,47,40,61,329,1.9,,,,
33,-,All sites,30,25,21,29,79,82,128,207,354,537,"1,001","1,765","2,388","2,884","2,262","1,947","1,739","1,398","16,876",100.0,,,,
0,,Colorectum,-,-,-,-,1.8,2.6,4.4,11.2,21.3,36.1,72.3,108.2,169.2,324.4,354.7,382.0,503.3,437.3,,,1,5.5,97.3,44.8
1,,Lung,-,-,-,-,0.5,1.3,0.4,4.7,17.9,22.8,49.1,106.9,174.6,274.1,367.6,471.9,530.6,511.0,,,2,5.1,95.7,42.1
2,,Prostate,-,-,-,-,-,-,-,-,-,3.7,12.8,49.1,128.6,234.6,357.9,366.7,341.6,255.5,,,3,3.9,66.0,28.8
3,,Liver,1.4,-,0.7,-,-,0.4,5.2,8.2,16.6,22.0,44.1,63.4,95.0,127.8,118.8,138.9,121.3,120.7,,,4,2.5,41.5,20.7
4,,Nasopharynx,-,-,-,-,2.3,0.4,9.2,17.2,29.0,30.7,31.7,34.8,34.0,24.4,29.7,15.3,19.6,9.4,,,5,1.2,18.2,11.3
5,,Stomach,-,-,-,-,-,0.9,-,3.0,6.0,7.1,13.9,25.0,35.5,60.0,89.9,98.1,133.0,127.0,,,6,1.2,22.5,10.0
6,,Non-Hodgkin lymphoma,2.1,3.8,0.7,1.9,3.7,2.6,3.5,7.8,4.7,8.3,14.6,20.1,34.4,40.0,51.4,55.2,78.2,43.9,,,7,1.0,16.6,9.1
7,,Non-melanoma skin,-,-,-,-,0.9,-,1.7,3.0,5.5,14.1,16.7,19.2,31.3,38.0,46.5,47.0,88.7,112.9,,,8,0.9,16.8,7.9
8,,Kidney and other urinary organs except bladder,0.7,-,-,-,0.5,0.4,1.7,3.4,8.5,13.7,15.7,18.8,32.4,38.0,53.8,31.7,40.4,37.6,,,9,0.9,14.3,7.6
9,,Leukaemia,7.8,7.0,4.4,4.3,4.6,3.0,4.4,2.6,2.1,10.4,7.5,10.7,15.1,22.9,24.9,29.6,20.9,28.2,,,10,0.7,9.8,7.3
10,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,0.9,2.2,0.9,3.4,8.9,10.0,15.3,20.1,31.7,33.2,49.8,34.7,30.0,42.3,,,11,0.9,13.6,7.2
11,,Pancreas,-,-,0.7,-,-,-,0.4,1.7,3.0,7.1,10.0,15.3,23.2,27.8,48.2,50.1,69.1,62.7,,,12,0.7,12.5,5.8
12,,Oesophagus,-,-,-,-,-,-,-,-,0.9,3.3,7.5,14.9,20.9,24.9,37.7,38.8,36.5,53.3,,,13,0.6,9.7,4.4
13,,Brain and other central nervous system,2.8,4.5,4.4,3.7,2.3,1.7,3.1,1.3,3.0,2.9,3.2,4.9,6.2,7.3,13.6,6.1,6.5,6.3,,,14,0.3,4.2,3.7
14,,Thyroid gland,-,-,0.7,0.6,1.8,4.8,4.4,6.9,6.4,5.4,5.0,7.1,9.3,7.8,9.6,13.3,6.5,6.3,,,15,0.3,5.3,3.6
15,,Bladder,-,-,-,-,-,-,-,-,-,0.8,2.5,6.5,14.7,22.0,24.1,57.2,63.9,76.8,,,16,0.4,8.7,3.4
16,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,0.4,-,-,1.7,4.6,5.2,10.0,22.9,30.5,33.7,44.3,54.9,,,17,0.4,7.3,3.1
17,,Testis,2.1,-,0.7,1.2,6.5,7.4,9.6,4.7,4.3,1.2,2.1,1.3,-,1.0,0.8,-,1.3,-,,,18,0.2,2.9,2.9
18,,Bone and soft tissue,-,0.6,0.7,1.9,3.2,2.6,3.9,2.2,3.8,2.9,6.1,6.2,8.1,5.9,6.4,9.2,9.1,14.1,,,19,0.3,4.4,2.9
19,,Larynx,-,-,-,-,-,-,-,-,1.3,1.2,3.2,7.8,12.7,13.2,19.3,17.4,20.9,29.8,,,20,0.3,5.2,2.3
