,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,1,-,1,1,6,11,54,106,163,252,307,350,482,529,321,209,"2,793",21.3,,,,
1,2,Colorectum,-,-,-,-,-,6,8,24,47,86,170,237,231,287,392,372,254,153,"2,267",17.3,,,,
2,3,Prostate,-,-,-,-,-,-,-,1,1,10,27,83,123,217,321,321,160,105,"1,369",10.4,,,,
3,4,Liver,-,-,-,1,1,6,18,25,40,112,178,187,159,167,176,123,79,47,"1,319",10.0,,,,
4,5,Nasopharynx,-,-,-,2,5,8,25,51,77,133,130,85,67,36,25,17,15,3,679,5.2,,,,
5,6,Stomach,-,-,-,1,-,2,4,9,11,41,48,58,69,74,84,126,71,56,654,5.0,,,,
6,7,Non-Hodgkin lymphoma,2,-,1,4,8,4,12,12,16,27,27,35,41,46,55,49,34,16,389,3.0,,,,
7,8,Oesophagus,-,-,-,-,1,-,-,1,3,18,34,55,49,47,59,55,30,17,369,2.8,,,,
8,9,Non-melanoma skin,-,-,-,-,1,1,2,14,7,15,20,46,30,37,51,49,43,35,351,2.7,,,,
9,10,Kidney and other urinary organs except bladder,2,-,-,1,-,-,4,11,18,29,35,50,27,35,51,45,25,7,340,2.6,,,,
10,11,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,1,2,1,1,11,9,28,34,42,46,32,51,40,26,15,339,2.6,,,,
11,12,Bladder,-,-,1,-,-,-,-,1,3,5,8,28,16,28,43,66,43,41,283,2.2,,,,
12,13,Pancreas,-,-,-,-,-,-,-,-,1,15,24,24,27,26,36,44,17,23,237,1.8,,,,
13,14,Leukaemia,10,6,7,5,6,4,10,12,11,12,16,17,15,16,22,29,17,11,226,1.7,,,,
14,15,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,1,4,11,11,18,20,34,46,22,22,189,1.4,,,,
15,16,Larynx,-,-,-,-,-,-,1,-,1,6,15,25,19,27,19,21,13,7,154,1.2,,,,
16,17,Brain and other central nervous system,-,4,6,9,3,3,5,4,8,15,17,11,9,7,14,5,5,2,127,1.0,,,,
17,18,Bone and soft tissue,3,-,3,3,7,4,8,7,8,7,14,12,8,5,10,10,4,4,117,0.9,,,,
18,19,Multiple myeloma,-,-,-,-,-,1,-,-,-,6,8,8,13,17,18,19,13,8,111,0.8,,,,
19,20,Thyroid gland,-,-,-,2,3,4,3,10,6,11,9,16,9,12,11,10,2,-,108,0.8,,,,
20,21,Testis,1,-,-,2,7,22,11,7,4,3,1,2,1,1,-,1,-,-,63,0.5,,,,
21,22,Small intestine,-,-,-,-,-,-,-,2,1,5,2,3,7,5,4,4,4,5,42,0.3,,,,
22,23,Thymus / other thoracic organs,-,-,-,-,4,2,1,2,4,5,4,5,3,4,3,1,-,1,39,0.3,,,,
23,24,Penis / other male genital,-,-,-,-,-,-,1,-,1,1,-,2,4,4,4,9,9,3,38,0.3,,,,
24,25,Hodgkin lymphoma,-,-,-,5,2,4,4,-,2,2,3,2,2,4,3,2,1,-,36,0.3,,,,
25,26,"Nasal cavity, middle ear and accessory sinuses",-,-,1,-,-,-,-,-,-,2,6,3,4,4,3,2,1,1,27,0.2,,,,
26,27,Melanoma of skin,-,-,-,-,-,-,-,-,2,2,1,2,1,5,4,3,2,1,23,0.2,,,,
27,28,Breast,-,-,-,-,-,-,-,-,-,1,1,4,1,-,5,2,-,3,17,0.1,,,,
28,29,Other endocrine glands,1,1,5,2,-,2,-,-,1,1,1,-,-,1,-,-,-,-,15,0.1,,,,
29,30,Mesothelioma,-,-,-,-,-,-,-,-,-,-,1,-,2,3,-,2,-,2,10,0.1,,,,
30,30,Eye,6,-,-,-,-,1,-,-,-,-,1,1,-,1,-,-,-,-,10,0.1,,,,
31,32,Kaposi sarcoma,-,-,-,-,-,-,-,1,2,-,-,1,-,1,-,-,-,-,5,0.0,,,,
32,-,Other and unspecified,1,-,-,-,-,1,2,5,5,12,19,34,28,45,61,83,56,41,393,3.0,,,,
33,-,All sites,26,11,25,38,51,77,126,221,344,720,"1,028","1,341","1,336","1,564","2,041","2,085","1,267",838,"13,139",100.0,,,,
0,,Lung,-,-,0.5,-,0.5,0.4,2.6,4.6,19.5,33.1,56.3,110.1,197.9,294.9,415.2,579.4,636.9,637.2,,,1,5.7,84.9,48.2
1,,Colorectum,-,-,-,-,-,2.6,3.5,9.9,17.0,26.9,58.7,103.5,148.9,241.8,337.6,407.4,504.0,466.5,,,2,4.8,68.9,39.6
2,,Liver,-,-,-,0.4,0.5,2.6,7.8,10.4,14.4,35.0,61.5,81.7,102.5,140.7,151.6,134.7,156.7,143.3,,,3,3.0,40.1,24.9
3,,Prostate,-,-,-,-,-,-,-,0.4,0.4,3.1,9.3,36.3,79.3,182.8,276.5,351.6,317.5,320.1,,,4,2.9,41.6,23.0
4,,Nasopharynx,-,-,-,0.9,2.3,3.5,10.9,21.1,27.8,41.5,44.9,37.1,43.2,30.3,21.5,18.6,29.8,9.1,,,5,1.4,20.6,13.8
5,,Stomach,-,-,-,0.4,-,0.9,1.7,3.7,4.0,12.8,16.6,25.3,44.5,62.3,72.4,138.0,140.9,170.7,,,6,1.2,19.9,11.3
6,,Non-Hodgkin lymphoma,1.8,-,0.5,1.8,3.7,1.7,5.2,5.0,5.8,8.4,9.3,15.3,26.4,38.8,47.4,53.7,67.5,48.8,,,7,0.9,11.8,7.7
7,,Oesophagus,-,-,-,-,0.5,-,-,0.4,1.1,5.6,11.7,24.0,31.6,39.6,50.8,60.2,59.5,51.8,,,8,0.8,11.2,6.6
8,,Kidney and other urinary organs except bladder,1.8,-,-,0.4,-,-,1.7,4.6,6.5,9.1,12.1,21.8,17.4,29.5,43.9,49.3,49.6,21.3,,,9,0.7,10.3,6.3
9,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,0.4,0.9,0.4,0.4,4.6,3.2,8.7,11.7,18.3,29.7,27.0,43.9,43.8,51.6,45.7,,,10,0.7,10.3,6.3
10,,Non-melanoma skin,-,-,-,-,0.5,0.4,0.9,5.8,2.5,4.7,6.9,20.1,19.3,31.2,43.9,53.7,85.3,106.7,,,11,0.7,10.7,6.1
11,,Leukaemia,8.8,4.1,3.4,2.2,2.8,1.7,4.3,5.0,4.0,3.7,5.5,7.4,9.7,13.5,18.9,31.8,33.7,33.5,,,12,0.5,6.9,5.8
12,,Bladder,-,-,0.5,-,-,-,-,0.4,1.1,1.6,2.8,12.2,10.3,23.6,37.0,72.3,85.3,125.0,,,13,0.4,8.6,4.5
13,,Pancreas,-,-,-,-,-,-,-,-,0.4,4.7,8.3,10.5,17.4,21.9,31.0,48.2,33.7,70.1,,,14,0.5,7.2,4.1
14,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,0.4,1.2,3.8,4.8,11.6,16.8,29.3,50.4,43.7,67.1,,,15,0.3,5.7,3.1
15,,Brain and other central nervous system,-,2.7,2.9,4.0,1.4,1.3,2.2,1.7,2.9,4.7,5.9,4.8,5.8,5.9,12.1,5.5,9.9,6.1,,,16,0.3,3.9,3.1
