,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Breast,-,-,-,-,2,16,66,193,374,587,557,479,412,246,169,155,124,128,"3,508",25.8,,,,
1,2,Colorectum,-,-,-,1,1,8,10,30,56,81,152,212,214,172,206,312,279,265,"1,999",14.7,,,,
2,3,Lung,-,-,-,-,-,-,6,15,29,72,116,192,186,149,172,251,237,245,"1,670",12.3,,,,
3,4,Corpus uteri,-,-,-,-,5,3,12,29,51,109,186,165,107,47,27,33,19,17,810,6.0,,,,
4,5,Thyroid gland,1,1,2,6,11,22,42,59,70,75,77,75,49,31,14,16,7,6,564,4.2,,,,
5,6,Ovary and peritoneum,-,2,1,8,11,20,21,41,60,81,87,73,45,19,16,18,12,16,531,3.9,,,,
6,7,Non-melanoma skin,-,-,-,-,1,-,7,10,16,18,24,23,29,43,46,54,75,115,461,3.4,,,,
7,8,Cervix,-,-,-,-,-,8,26,48,60,64,57,46,40,19,31,19,26,13,457,3.4,,,,
8,9,Stomach,-,-,-,-,-,2,2,10,13,22,34,42,33,35,39,52,62,83,429,3.2,,,,
9,10,Liver,1,-,-,-,-,1,3,11,10,16,22,30,40,43,55,63,66,65,426,3.1,,,,
10,11,Non-Hodgkin lymphoma,1,-,-,2,3,5,2,14,22,23,43,52,34,32,42,40,34,23,372,2.7,,,,
11,12,Pancreas,-,-,-,-,-,-,1,1,3,9,8,23,20,24,26,46,51,39,251,1.8,,,,
12,13,Nasopharynx,-,-,-,-,1,6,9,18,29,34,34,27,25,10,10,13,6,2,224,1.6,,,,
13,14,Leukaemia,11,4,5,7,3,4,6,15,10,13,18,20,11,16,14,21,18,19,215,1.6,,,,
14,15,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,2,2,4,12,13,12,17,21,14,16,15,24,15,19,186,1.4,,,,
15,16,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,1,1,-,2,12,12,20,13,12,30,30,41,174,1.3,,,,
16,17,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,5,7,4,21,16,18,17,22,29,17,17,173,1.3,,,,
17,18,Bone and soft tissue,4,3,2,4,3,5,3,3,8,15,13,13,12,7,7,7,9,4,122,0.9,,,,
18,19,Bladder,-,-,-,-,-,1,1,-,-,3,5,2,13,10,8,20,23,16,102,0.8,,,,
19,20,Multiple myeloma,-,-,-,-,-,-,1,-,1,12,5,8,10,5,15,14,14,11,96,0.7,,,,
20,21,Brain and other central nervous system,2,3,-,1,2,4,6,7,4,9,7,13,7,4,7,4,3,4,87,0.6,,,,
21,22,Oesophagus,-,-,-,-,1,-,1,-,-,4,2,4,6,7,8,13,13,13,72,0.5,,,,
22,23,"Vagina, vulva and other female genital",-,-,-,-,-,-,1,1,1,4,3,4,4,4,5,13,8,12,60,0.4,,,,
23,24,Melanoma of skin,-,-,-,-,-,2,3,2,4,2,3,4,1,4,6,5,4,6,46,0.3,,,,
24,25,Small intestine,-,-,-,-,-,-,1,2,1,2,5,4,1,2,5,9,2,3,37,0.3,,,,
25,26,Hodgkin lymphoma,-,-,-,3,4,3,2,5,3,1,-,2,2,3,3,2,1,2,36,0.3,,,,
26,27,"Nasal cavity, middle ear and accessory sinuses",-,1,-,-,-,1,1,-,3,1,-,6,2,2,2,2,3,2,26,0.2,,,,
27,28,Larynx,-,-,-,-,-,-,-,-,-,-,2,3,2,4,4,2,2,3,22,0.2,,,,
28,29,Eye,5,1,-,-,-,-,-,2,1,-,1,1,-,1,-,-,-,-,12,0.1,,,,
29,30,Thymus / other thoracic organs,2,-,-,-,-,-,1,1,-,3,1,-,-,2,1,-,-,-,11,0.1,,,,
30,31,Other endocrine glands,1,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,0.0,,,,
31,32,Mesothelioma,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,1,-,-,4,0.0,,,,
32,33,Placenta,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,0.0,,,,
33,-,Other and unspecified,-,-,-,-,1,-,2,5,8,11,30,23,21,21,32,50,94,94,392,2.9,,,,
34,-,All sites,28,18,10,33,51,113,241,540,858,"1,291","1,542","1,595","1,379","1,008","1,019","1,318","1,254","1,283","13,581",100.0,,,,
0,,Breast,-,-,-,-,0.9,5.3,19.8,58.2,111.7,167.1,169.0,175.4,191.8,189.8,156.0,141.2,144.9,141.4,,,1,6.2,91.8,56.7
1,,Colorectum,-,-,-,0.5,0.4,2.6,3.0,9.0,16.7,23.1,46.1,77.6,99.6,132.7,190.2,284.2,325.9,292.8,,,2,3.0,52.3,26.5
2,,Lung,-,-,-,-,-,-,1.8,4.5,8.7,20.5,35.2,70.3,86.6,115.0,158.8,228.6,276.9,270.7,,,3,2.5,43.7,21.8
3,,Corpus uteri,-,-,-,-,2.2,1.0,3.6,8.7,15.2,31.0,56.4,60.4,49.8,36.3,24.9,30.1,22.2,18.8,,,4,1.4,21.2,13.1
4,,Thyroid gland,0.8,0.8,1.4,2.9,4.8,7.3,12.6,17.8,20.9,21.3,23.4,27.5,22.8,23.9,12.9,14.6,8.2,6.6,,,5,1.0,14.8,10.3
5,,Ovary and peritoneum,-,1.7,0.7,3.9,4.8,6.6,6.3,12.4,17.9,23.1,26.4,26.7,20.9,14.7,14.8,16.4,14.0,17.7,,,6,0.9,13.9,9.4
6,,Cervix,-,-,-,-,-,2.6,7.8,14.5,17.9,18.2,17.3,16.8,18.6,14.7,28.6,17.3,30.4,14.4,,,7,0.8,12.0,7.4
7,,Non-Hodgkin lymphoma,0.8,-,-,1.0,1.3,1.7,0.6,4.2,6.6,6.5,13.0,19.0,15.8,24.7,38.8,36.4,39.7,25.4,,,8,0.7,9.7,5.7
8,,Liver,0.8,-,-,-,-,0.3,0.9,3.3,3.0,4.6,6.7,11.0,18.6,33.2,50.8,57.4,77.1,71.8,,,9,0.7,11.1,5.7
9,,Non-melanoma skin,-,-,-,-,0.4,-,2.1,3.0,4.8,5.1,7.3,8.4,13.5,33.2,42.5,49.2,87.6,127.1,,,10,0.6,12.1,5.6
10,,Stomach,-,-,-,-,-,0.7,0.6,3.0,3.9,6.3,10.3,15.4,15.4,27.0,36.0,47.4,72.4,91.7,,,11,0.6,11.2,5.4
11,,Leukaemia,8.7,3.4,3.4,3.4,1.3,1.3,1.8,4.5,3.0,3.7,5.5,7.3,5.1,12.3,12.9,19.1,21.0,21.0,,,12,0.4,5.6,4.8
12,,Nasopharynx,-,-,-,-,0.4,2.0,2.7,5.4,8.7,9.7,10.3,9.9,11.6,7.7,9.2,11.8,7.0,2.2,,,13,0.4,5.9,3.7
13,,Pancreas,-,-,-,-,-,-,0.3,0.3,0.9,2.6,2.4,8.4,9.3,18.5,24.0,41.9,59.6,43.1,,,14,0.3,6.6,3.0
14,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,0.9,0.7,1.2,3.6,3.9,3.4,5.2,7.7,6.5,12.3,13.9,21.9,17.5,21.0,,,15,0.3,4.9,2.7
15,,Bone and soft tissue,3.2,2.5,1.4,2.0,1.3,1.7,0.9,0.9,2.4,4.3,3.9,4.8,5.6,5.4,6.5,6.4,10.5,4.4,,,16,0.2,3.2,2.7
16,,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,1.5,2.1,1.1,6.4,5.9,8.4,13.1,20.3,26.4,19.9,18.8,,,17,0.3,4.5,2.4
17,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,0.3,0.3,-,0.6,3.6,4.4,9.3,10.0,11.1,27.3,35.0,45.3,,,18,0.2,4.6,2.0
18,,Brain and other central nervous system,1.6,2.5,-,0.5,0.9,1.3,1.8,2.1,1.2,2.6,2.1,4.8,3.3,3.1,6.5,3.6,3.5,4.4,,,19,0.2,2.3,1.8
19,,Multiple myeloma,-,-,-,-,-,-,0.3,-,0.3,3.4,1.5,2.9,4.7,3.9,13.9,12.8,16.4,12.2,,,20,0.2,2.5,1.3
20,,Bladder,-,-,-,-,-,0.3,0.3,-,-,0.9,1.5,0.7,6.1,7.7,7.4,18.2,26.9,17.7,,,21,0.1,2.7,1.2
21,,Oesophagus,-,-,-,-,0.4,-,0.3,-,-,1.1,0.6,1.5,2.8,5.4,7.4,11.8,15.2,14.4,,,22,0.1,1.9,0.9
22,,Hodgkin lymphoma,-,-,-,1.5,1.7,1.0,0.6,1.5,0.9,0.3,-,0.7,0.9,2.3,2.8,1.8,1.2,2.2,,,23,0.1,0.9,0.8
23,,"Vagina, vulva and other female genital",-,-,-,-,-,-,0.3,0.3,0.3,1.1,0.9,1.5,1.9,3.1,4.6,11.8,9.3,13.3,,,24,0.1,1.6,0.7
24,,Melanoma of skin,-,-,-,-,-,0.7,0.9,0.6,1.2,0.6,0.9,1.5,0.5,3.1,5.5,4.6,4.7,6.6,,,25,0.1,1.2,0.7
25,,Eye,4.0,0.8,-,-,-,-,-,0.6,0.3,-,0.3,0.4,-,0.8,-,-,-,-,,,26,0.0,0.3,0.7
26,,Small intestine,-,-,-,-,-,-,0.3,0.6,0.3,0.6,1.5,1.5,0.5,1.5,4.6,8.2,2.3,3.3,,,27,0.1,1.0,0.5
27,,"Nasal cavity, middle ear and accessory sinuses",-,0.8,-,-,-,0.3,0.3,-,0.9,0.3,-,2.2,0.9,1.5,1.8,1.8,3.5,2.2,,,28,0.0,0.7,0.5
28,,Other endocrine glands,0.8,2.5,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,29,0.0,0.1,0.4
29,,Thymus / other thoracic organs,1.6,-,-,-,-,-,0.3,0.3,-,0.9,0.3,-,-,1.5,0.9,-,-,-,,,30,0.0,0.3,0.4
30,,Larynx,-,-,-,-,-,-,-,-,-,-,0.6,1.1,0.9,3.1,3.7,1.8,2.3,3.3,,,31,0.0,0.6,0.3
31,,Mesothelioma,-,-,-,-,-,-,-,-,-,0.6,-,-,0.5,-,-,0.9,-,-,,,32,0.0,0.1,0.1
