,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Breast,-,-,-,1,4,15,62,145,335,405,326,233,145,146,138,133,97,88,"2,273",22.0,,,,
1,2,Colorectum,-,-,-,1,5,5,14,23,55,89,132,119,126,176,223,217,219,182,"1,586",15.4,,,,
2,3,Lung,-,-,-,-,-,4,4,14,42,56,80,84,76,155,219,242,220,181,"1,377",13.3,,,,
3,4,Corpus uteri,-,-,-,-,1,-,4,21,45,67,104,86,37,43,27,24,25,9,493,4.8,,,,
4,5,Cervix,-,-,-,1,3,10,21,49,43,45,50,33,29,53,35,30,22,15,439,4.3,,,,
5,6,Stomach,-,-,-,-,-,1,3,10,27,22,21,32,18,42,45,57,62,64,404,3.9,,,,
6,7,Ovary and peritoneum,-,1,4,8,8,16,18,32,54,45,48,36,22,27,21,17,15,15,387,3.8,,,,
7,8,Liver,-,-,1,-,-,-,1,10,7,17,23,20,31,60,66,55,50,44,385,3.7,,,,
8,9,Thyroid gland,1,1,1,5,9,14,28,45,44,52,39,25,19,14,11,16,6,6,336,3.3,,,,
9,10,Non-melanoma skin,-,-,-,1,-,-,4,4,7,8,12,7,10,25,44,53,51,75,301,2.9,,,,
10,11,Non-Hodgkin lymphoma,-,-,-,3,3,6,6,16,12,23,19,22,16,28,31,34,28,20,267,2.6,,,,
11,12,Nasopharynx,-,-,-,1,1,5,14,34,42,44,41,22,16,9,13,10,4,4,260,2.5,,,,
12,13,Leukaemia,9,9,4,1,6,3,6,8,16,12,14,7,8,15,17,20,15,18,188,1.8,,,,
13,14,Pancreas,-,-,-,-,1,-,1,1,3,9,10,5,16,21,23,25,36,30,181,1.8,,,,
14,15,"Lip, oral cavity and pharynx except nasopharynx",-,-,2,-,3,4,2,8,12,10,11,13,9,14,16,21,20,10,155,1.5,,,,
15,16,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,5,3,5,12,11,14,20,28,25,31,154,1.5,,,,
16,17,Bladder,-,-,-,-,-,-,1,2,2,3,4,5,6,12,26,32,24,26,143,1.4,,,,
17,18,Kidney and other urinary organs except bladder,3,-,-,-,-,1,5,2,2,14,4,11,5,11,16,23,11,9,117,1.1,,,,
18,19,Oesophagus,-,-,-,-,-,-,-,-,1,5,2,6,4,15,18,30,18,15,114,1.1,,,,
19,20,Bone and soft tissue,1,-,4,5,6,3,8,2,10,13,11,8,3,2,6,4,5,3,94,0.9,,,,
20,21,Brain and other central nervous system,5,5,6,3,1,5,2,8,4,6,8,8,3,7,2,3,-,4,80,0.8,,,,
21,22,Multiple myeloma,-,-,-,-,-,-,-,3,1,4,7,5,2,10,11,17,5,8,73,0.7,,,,
22,23,"Vagina, vulva and other female genital",-,-,-,-,-,-,1,2,2,5,1,5,7,2,4,7,8,6,50,0.5,,,,
23,24,Melanoma of skin,-,-,-,-,-,-,1,3,1,5,4,2,3,2,5,1,4,4,35,0.3,,,,
24,25,Thymus / other thoracic organs,-,-,-,-,-,-,-,2,2,4,9,3,2,1,-,1,1,1,26,0.3,,,,
25,26,Small intestine,-,-,-,-,1,-,-,-,1,1,2,3,2,1,5,1,2,5,24,0.2,,,,
26,27,Hodgkin lymphoma,-,-,1,2,2,4,2,-,2,1,1,-,-,-,1,-,3,-,19,0.2,,,,
27,28,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,2,-,1,3,1,2,3,1,3,-,-,2,18,0.2,,,,
28,29,Larynx,-,-,-,-,-,-,-,-,-,1,1,2,-,1,3,2,3,-,13,0.1,,,,
29,30,"Uterus, unspecified",-,-,-,-,-,-,-,-,3,3,1,2,1,-,-,-,1,-,11,0.1,,,,
30,31,Other endocrine glands,4,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,7,0.1,,,,
31,32,Mesothelioma,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,-,1,5,0.0,,,,
32,33,Eye,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,0.0,,,,
33,34,Placenta,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,0.0,,,,
34,-,Other and unspecified,2,-,-,-,1,2,5,6,7,10,20,13,15,18,36,58,44,62,299,2.9,,,,
35,-,All sites,26,16,23,32,55,98,215,451,788,985,"1,013",832,645,928,"1,085","1,163","1,024",938,"10,317",100.0,,,,
0,,Breast,-,-,-,0.5,1.7,5.7,19.4,42.1,90.5,127.8,133.1,138.5,135.8,120.0,120.3,147.9,156.2,166.0,,,1,4.7,64.6,44.1
1,,Colorectum,-,-,-,0.5,2.1,1.9,4.4,6.7,14.9,28.1,53.9,70.7,118.0,144.6,194.4,241.4,352.7,343.4,,,2,3.2,45.1,28.0
2,,Lung,-,-,-,-,-,1.5,1.2,4.1,11.3,17.7,32.7,49.9,71.2,127.4,190.9,269.2,354.3,341.5,,,3,2.5,39.2,22.5
3,,Corpus uteri,-,-,-,-,0.4,-,1.2,6.1,12.2,21.1,42.4,51.1,34.6,35.3,23.5,26.7,40.3,17.0,,,4,1.1,14.0,10.1
4,,Cervix,-,-,-,0.5,1.3,3.8,6.6,14.2,11.6,14.2,20.4,19.6,27.2,43.5,30.5,33.4,35.4,28.3,,,5,1.0,12.5,8.7
5,,Ovary and peritoneum,-,0.6,2.0,3.7,3.3,6.1,5.6,9.3,14.6,14.2,19.6,21.4,20.6,22.2,18.3,18.9,24.2,28.3,,,6,0.8,11.0,8.1
6,,Thyroid gland,0.9,0.6,0.5,2.3,3.8,5.3,8.7,13.1,11.9,16.4,15.9,14.9,17.8,11.5,9.6,17.8,9.7,11.3,,,7,0.7,9.6,7.1
7,,Liver,-,-,0.5,-,-,-,0.3,2.9,1.9,5.4,9.4,11.9,29.0,49.3,57.5,61.2,80.5,83.0,,,8,0.8,10.9,6.8
8,,Stomach,-,-,-,-,-,0.4,0.9,2.9,7.3,6.9,8.6,19.0,16.9,34.5,39.2,63.4,99.8,120.8,,,9,0.7,11.5,6.5
9,,Nasopharynx,-,-,-,0.5,0.4,1.9,4.4,9.9,11.3,13.9,16.7,13.1,15.0,7.4,11.3,11.1,6.4,7.5,,,10,0.5,7.4,5.2
10,,Non-Hodgkin lymphoma,-,-,-,1.4,1.3,2.3,1.9,4.6,3.2,7.3,7.8,13.1,15.0,23.0,27.0,37.8,45.1,37.7,,,11,0.5,7.6,5.0
11,,Leukaemia,8.2,5.2,2.0,0.5,2.5,1.1,1.9,2.3,4.3,3.8,5.7,4.2,7.5,12.3,14.8,22.2,24.2,34.0,,,12,0.4,5.3,4.7
12,,Non-melanoma skin,-,-,-,0.5,-,-,1.2,1.2,1.9,2.5,4.9,4.2,9.4,20.5,38.4,59.0,82.1,141.5,,,13,0.4,8.6,4.3
13,,Pancreas,-,-,-,-,0.4,-,0.3,0.3,0.8,2.8,4.1,3.0,15.0,17.3,20.1,27.8,58.0,56.6,,,14,0.3,5.1,3.0
14,,"Lip, oral cavity and pharynx except nasopharynx",-,-,1.0,-,1.3,1.5,0.6,2.3,3.2,3.2,4.5,7.7,8.4,11.5,13.9,23.4,32.2,18.9,,,15,0.3,4.4,2.9
15,,Brain and other central nervous system,4.6,2.9,2.9,1.4,0.4,1.9,0.6,2.3,1.1,1.9,3.3,4.8,2.8,5.8,1.7,3.3,-,7.5,,,16,0.2,2.3,2.5
16,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,1.4,0.9,2.0,7.1,10.3,11.5,17.4,31.1,40.3,58.5,,,17,0.3,4.4,2.4
17,,Kidney and other urinary organs except bladder,2.7,-,-,-,-,0.4,1.6,0.6,0.5,4.4,1.6,6.5,4.7,9.0,13.9,25.6,17.7,17.0,,,18,0.2,3.3,2.3
