,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,1,1,13,29,85,209,270,370,360,406,495,365,255,-,"2,859",20.4,,,,
1,2,Colorectum,-,-,-,-,4,4,10,17,39,107,227,236,357,265,336,415,313,204,-,"2,534",18.1,,,,
2,3,Prostate,-,-,-,-,-,-,-,-,2,7,38,116,216,250,371,325,205,114,-,"1,644",11.7,,,,
3,4,Liver,4,1,1,-,-,6,7,24,48,74,173,213,234,167,139,140,100,68,-,"1,399",10.0,,,,
4,5,Stomach,-,-,-,-,-,2,4,5,10,19,55,71,77,78,81,100,101,65,-,668,4.8,,,,
5,6,Nasopharynx,-,-,1,2,2,8,28,47,56,92,133,75,75,35,29,27,20,2,-,632,4.5,,,,
6,7,Non-Hodgkin lymphoma,2,-,3,1,7,5,12,9,14,18,41,52,48,37,55,46,35,19,-,404,2.9,,,,
7,8,Non-melanoma skin,-,-,-,-,1,1,2,7,8,21,33,38,48,44,52,46,49,52,1,403,2.9,,,,
8,9,Kidney and other urinary organs except bladder,-,-,2,1,1,-,3,8,13,36,35,56,57,33,35,39,20,13,-,352,2.5,,,,
9,10,Oesophagus,-,-,-,-,-,-,-,-,6,15,24,50,54,43,32,52,31,25,-,332,2.4,,,,
10,11,"Lip, oral cavity and pharynx except nasopharynx",1,-,-,-,-,1,4,7,10,22,44,55,52,33,32,29,19,9,-,318,2.3,,,,
11,12,Bladder,-,-,-,-,-,-,-,-,1,7,10,18,37,24,50,56,49,48,-,300,2.1,,,,
12,13,Pancreas,-,-,-,-,-,-,1,2,4,10,18,34,44,29,41,54,29,26,-,292,2.1,,,,
13,13,Leukaemia,12,11,8,5,5,6,7,9,16,17,29,29,27,20,22,30,21,18,-,292,2.1,,,,
14,15,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,1,-,1,5,5,16,19,26,19,33,27,25,-,177,1.3,,,,
15,16,Larynx,-,-,-,-,-,-,-,1,2,2,12,29,33,23,19,26,13,5,-,165,1.2,,,,
16,17,Thyroid gland,-,-,-,1,4,7,6,10,11,18,22,25,11,9,9,6,8,1,-,148,1.1,,,,
17,18,Bone and soft tissue,1,1,1,7,6,4,7,7,9,12,17,11,17,6,11,8,7,8,-,140,1.0,,,,
18,19,Multiple myeloma,-,-,-,-,-,-,-,-,1,4,8,19,18,17,20,22,17,10,-,136,1.0,,,,
19,20,Brain and other central nervous system,5,3,1,4,5,6,7,3,5,8,14,15,13,10,7,6,5,3,-,120,0.9,,,,
20,21,Testis,2,-,-,2,9,15,7,9,5,4,2,1,-,1,-,-,1,-,-,58,0.4,,,,
21,22,Penis / other male genital,-,-,-,-,-,-,-,2,-,6,3,7,3,2,3,9,5,4,-,44,0.3,,,,
22,23,Small intestine,-,-,-,-,-,1,-,-,1,2,5,5,2,5,4,8,5,1,-,39,0.3,,,,
23,24,Melanoma of skin,-,-,-,-,1,-,2,-,2,3,7,2,3,6,2,1,3,3,-,35,0.2,,,,
24,25,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,1,1,1,1,5,1,8,5,3,3,1,-,-,-,30,0.2,,,,
25,26,Thymus / other thoracic organs,-,-,-,1,1,2,2,-,1,2,4,2,8,2,1,2,-,-,-,28,0.2,,,,
26,27,Hodgkin lymphoma,-,-,-,1,5,3,2,1,-,-,2,1,2,1,5,3,1,-,-,27,0.2,,,,
27,28,Breast,-,-,-,-,-,-,-,-,2,1,1,2,5,3,3,2,2,-,-,21,0.1,,,,
28,29,Mesothelioma,-,-,-,-,-,-,-,-,1,-,1,-,3,1,4,4,2,2,-,18,0.1,,,,
