,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,1,-,2,5,23,53,110,183,212,300,401,547,453,274,169,-,"2,733",23.4,,,,
1,2,Colorectum,-,-,-,-,4,7,10,23,66,97,123,171,169,249,332,288,178,110,-,"1,827",15.6,,,,
2,3,Liver,3,-,-,3,1,4,10,24,71,123,157,150,151,167,169,127,56,48,-,"1,264",10.8,,,,
3,4,Prostate,-,-,-,-,-,-,-,-,1,2,8,26,78,149,224,167,104,66,1,826,7.1,,,,
4,5,Nasopharynx,-,-,1,1,3,19,27,58,100,136,98,76,43,44,39,18,7,6,-,676,5.8,,,,
5,6,Stomach,-,-,-,1,-,4,-,10,28,32,44,51,58,102,90,87,69,59,-,635,5.4,,,,
6,7,Bladder,-,-,-,-,-,1,2,-,4,15,25,31,32,63,95,91,59,39,-,457,3.9,,,,
7,8,Oesophagus,-,-,-,-,-,-,-,1,7,24,40,35,53,56,68,41,24,8,-,357,3.1,,,,
8,9,Non-Hodgkin lymphoma,3,1,1,9,4,2,3,9,25,24,34,31,28,36,45,18,32,23,-,328,2.8,,,,
9,10,"Lip, oral cavity and pharynx except nasopharynx",-,-,1,-,3,3,3,5,16,22,37,26,36,42,52,32,18,18,-,314,2.7,,,,
10,11,Leukaemia,15,5,4,4,6,9,8,7,19,24,18,16,12,18,26,19,18,3,1,232,2.0,,,,
11,12,Non-melanoma skin,-,-,1,-,-,-,3,8,9,12,18,16,23,23,30,37,18,26,2,226,1.9,,,,
12,13,Pancreas,-,-,-,-,-,-,-,1,4,11,20,28,23,28,36,30,21,18,-,220,1.9,,,,
13,14,Kidney and other urinary organs except bladder,-,-,-,-,-,-,-,7,13,17,20,26,26,23,36,24,15,9,-,216,1.8,,,,
14,15,Larynx,-,-,-,-,-,-,-,-,2,6,15,21,33,34,28,23,12,4,-,178,1.5,,,,
15,16,Bone and soft tissue,4,1,5,7,6,8,6,6,11,8,8,8,9,6,7,9,10,4,-,123,1.1,,,,
16,17,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,1,2,1,5,7,8,16,23,35,11,11,-,120,1.0,,,,
17,18,Brain and other central nervous system,-,9,6,6,8,8,6,1,5,6,11,10,5,7,6,8,5,3,-,110,0.9,,,,
18,19,Thyroid gland,-,-,2,1,1,1,7,7,14,15,9,9,8,11,6,6,2,1,-,100,0.9,,,,
19,20,Multiple myeloma,-,-,1,-,-,-,1,3,3,-,6,7,14,10,12,20,8,9,-,94,0.8,,,,
20,21,Testis,4,-,2,1,8,8,6,6,3,1,1,-,-,1,-,-,-,-,-,41,0.4,,,,
21,22,Thymus / other thoracic organs,-,-,1,1,2,1,2,1,3,2,1,4,7,2,5,-,2,1,-,35,0.3,,,,
