,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,1,1,-,4,2,10,40,59,155,308,382,461,430,451,382,244,"2,930",19.1,,,,
1,2,Colorectum,-,-,1,1,2,13,12,18,42,93,194,327,414,435,359,407,354,219,"2,891",18.8,,,,
2,3,Prostate,-,-,-,-,-,-,-,1,1,7,30,136,241,416,305,327,229,138,"1,831",11.9,,,,
3,4,Liver,1,-,-,-,-,3,3,12,33,58,103,228,232,188,165,139,130,61,"1,356",8.8,,,,
4,5,Stomach,-,-,-,-,-,1,2,4,7,18,42,58,74,110,97,114,91,68,686,4.5,,,,
5,6,Nasopharynx,-,-,-,4,2,8,26,35,53,72,94,132,74,77,31,21,14,5,648,4.2,,,,
6,7,Non-Hodgkin lymphoma,2,-,1,4,6,9,8,14,19,27,51,68,72,64,65,70,50,32,562,3.7,,,,
7,8,Non-melanoma skin,-,-,-,-,1,1,4,10,16,33,51,39,44,58,72,73,62,67,531,3.5,,,,
8,9,Kidney and other urinary organs except bladder,3,1,-,1,1,1,2,3,15,34,50,65,66,61,36,58,26,15,438,2.8,,,,
9,10,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,1,4,3,6,11,17,24,37,73,58,51,30,52,27,17,411,2.7,,,,
10,11,Pancreas,-,-,-,-,-,-,-,4,5,10,30,49,57,63,55,67,41,24,405,2.6,,,,
11,12,Oesophagus,-,-,-,-,1,-,-,1,7,11,16,50,54,57,50,39,28,20,334,2.2,,,,
12,13,Leukaemia,24,8,9,8,7,4,7,15,9,16,24,31,24,33,38,29,26,17,329,2.1,,,,
13,14,Bladder,-,-,-,-,-,-,-,1,-,5,13,16,32,37,45,49,59,49,306,2.0,,,,
14,15,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,1,2,11,21,18,33,31,36,40,33,226,1.5,,,,
15,16,Larynx,-,-,-,-,-,-,-,2,2,1,7,19,33,25,25,20,22,15,171,1.1,,,,
16,17,Thyroid gland,-,-,1,1,1,6,13,9,11,16,27,21,17,12,9,5,6,5,160,1.0,,,,
17,18,Multiple myeloma,-,-,-,-,-,-,-,-,3,3,9,18,19,28,16,27,18,7,148,1.0,,,,
18,19,Bone and soft tissue,2,1,1,7,1,4,6,3,7,11,10,9,11,16,8,11,18,11,137,0.9,,,,
19,20,Brain and other central nervous system,4,4,2,3,6,3,4,6,3,5,5,10,16,14,12,5,5,2,109,0.7,,,,
20,21,Testis,3,-,-,4,9,9,11,8,7,5,4,3,3,1,-,-,-,-,67,0.4,,,,
21,22,Small intestine,-,-,1,-,-,-,2,1,4,3,7,5,11,5,10,5,3,4,61,0.4,,,,
22,23,Melanoma of skin,-,-,-,-,-,-,-,1,3,5,5,5,3,4,3,2,4,7,42,0.3,,,,
23,24,Hodgkin lymphoma,-,-,2,6,5,1,3,1,1,3,1,1,2,2,2,4,2,3,39,0.3,,,,
24,25,"Nasal cavity, middle ear and accessory sinuses",1,-,-,-,-,-,2,3,1,3,4,3,6,4,3,1,4,2,37,0.2,,,,
25,26,Penis / other male genital,-,-,-,-,-,-,1,-,-,3,4,2,4,5,5,2,4,5,35,0.2,,,,
26,27,Thymus / other thoracic organs,1,-,-,3,3,2,2,2,-,2,2,5,2,4,2,4,-,-,34,0.2,,,,
27,28,Breast,-,-,-,-,-,-,-,-,1,1,1,2,2,3,3,3,1,3,20,0.1,,,,
28,29,Mesothelioma,-,-,-,-,-,-,-,-,-,-,1,2,2,1,-,4,3,3,16,0.1,,,,
29,30,Other endocrine glands,1,1,1,-,1,1,-,-,-,1,2,2,1,1,-,1,-,-,13,0.1,,,,
30,31,Eye,2,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,6,0.0,,,,
31,32,Kaposi sarcoma,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,3,0.0,,,,
32,-,Other and unspecified,-,-,-,2,1,1,4,2,8,5,30,26,47,47,40,48,56,73,390,2.5,,,,
33,-,All sites,44,15,21,46,51,74,120,179,316,536,"1,021","1,735","2,021","2,317","1,947","2,074","1,705","1,150","15,372",100.0,,,,
0,,Colorectum,-,-,0.7,0.5,0.9,5.8,5.1,8.0,17.6,37.8,63.9,108.7,176.8,241.3,325.5,402.2,479.7,402.6,,,1,5.0,85.9,41.5
1,,Lung,-,-,0.7,0.5,-,1.8,0.9,4.4,16.7,24.0,51.0,102.4,163.2,255.7,389.8,445.7,517.6,448.5,,,2,5.1,87.1,40.9
2,,Prostate,-,-,-,-,-,-,-,0.4,0.4,2.8,9.9,45.2,102.9,230.7,276.5,323.1,310.3,253.7,,,3,3.3,54.4,25.1
3,,Liver,0.7,-,-,-,-,1.3,1.3,5.3,13.8,23.6,33.9,75.8,99.1,104.3,149.6,137.4,176.2,112.1,,,4,2.5,40.3,20.5
4,,Nasopharynx,-,-,-,2.1,0.9,3.5,11.1,15.5,22.2,29.3,30.9,43.9,31.6,42.7,28.1,20.8,19.0,9.2,,,5,1.3,19.3,12.0
5,,Stomach,-,-,-,-,-,0.4,0.9,1.8,2.9,7.3,13.8,19.3,31.6,61.0,87.9,112.6,123.3,125.0,,,6,1.1,20.4,9.5
6,,Non-Hodgkin lymphoma,1.4,-,0.7,2.1,2.7,4.0,3.4,6.2,7.9,11.0,16.8,22.6,30.8,35.5,58.9,69.2,67.8,58.8,,,7,1.0,16.7,9.2
7,,Leukaemia,16.4,5.5,6.6,4.3,3.1,1.8,3.0,6.7,3.8,6.5,7.9,10.3,10.3,18.3,34.5,28.7,35.2,31.3,,,8,0.7,9.8,8.2
8,,Non-melanoma skin,-,-,-,-,0.4,0.4,1.7,4.4,6.7,13.4,16.8,13.0,18.8,32.2,65.3,72.1,84.0,123.2,,,9,0.9,15.8,7.8
9,,Kidney and other urinary organs except bladder,2.1,0.7,-,0.5,0.4,0.4,0.9,1.3,6.3,13.8,16.5,21.6,28.2,33.8,32.6,57.3,35.2,27.6,,,10,0.8,13.0,7.1
10,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,0.5,1.8,1.3,2.6,4.9,7.1,9.8,12.2,24.3,24.8,28.3,27.2,51.4,36.6,31.3,,,11,0.7,12.2,6.6
11,,Pancreas,-,-,-,-,-,-,-,1.8,2.1,4.1,9.9,16.3,24.3,34.9,49.9,66.2,55.6,44.1,,,12,0.7,12.0,5.8
12,,Oesophagus,-,-,-,-,0.4,-,-,0.4,2.9,4.5,5.3,16.6,23.1,31.6,45.3,38.5,37.9,36.8,,,13,0.7,9.9,5.0
13,,Bladder,-,-,-,-,-,-,-,0.4,-,2.0,4.3,5.3,13.7,20.5,40.8,48.4,79.9,90.1,,,14,0.4,9.1,3.9
14,,Thyroid gland,-,-,0.7,0.5,0.4,2.7,5.6,4.0,4.6,6.5,8.9,7.0,7.3,6.7,8.2,4.9,8.1,9.2,,,15,0.3,4.8,3.1
15,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,0.4,0.8,3.6,7.0,7.7,18.3,28.1,35.6,54.2,60.7,,,16,0.3,6.7,2.9
16,,Bone and soft tissue,1.4,0.7,0.7,3.8,0.4,1.8,2.6,1.3,2.9,4.5,3.3,3.0,4.7,8.9,7.3,10.9,24.4,20.2,,,17,0.2,4.1,2.7
17,,Brain and other central nervous system,2.7,2.8,1.5,1.6,2.7,1.3,1.7,2.7,1.3,2.0,1.6,3.3,6.8,7.8,10.9,4.9,6.8,3.7,,,18,0.3,3.2,2.7
18,,Larynx,-,-,-,-,-,-,-,0.9,0.8,0.4,2.3,6.3,14.1,13.9,22.7,19.8,29.8,27.6,,,19,0.3,5.1,2.4
19,,Multiple myeloma,-,-,-,-,-,-,-,-,1.3,1.2,3.0,6.0,8.1,15.5,14.5,26.7,24.4,12.9,,,20,0.2,4.4,2.1
20,,Testis,2.1,-,-,2.1,4.0,4.0,4.7,3.6,2.9,2.0,1.3,1.0,1.3,0.6,-,-,-,-,,,21,0.1,2.0,2.0
21,,Small intestine,-,-,0.7,-,-,-,0.9,0.4,1.7,1.2,2.3,1.7,4.7,2.8,9.1,4.9,4.1,7.4,,,22,0.1,1.8,1.1
22,,Hodgkin lymphoma,-,-,1.5,3.2,2.2,0.4,1.3,0.4,0.4,1.2,0.3,0.3,0.9,1.1,1.8,4.0,2.7,5.5,,,23,0.1,1.2,1.1
23,,Thymus / other thoracic organs,0.7,-,-,1.6,1.3,0.9,0.9,0.9,-,0.8,0.7,1.7,0.9,2.2,1.8,4.0,-,-,,,24,0.1,1.0,0.8
24,,"Nasal cavity, middle ear and accessory sinuses",0.7,-,-,-,-,-,0.9,1.3,0.4,1.2,1.3,1.0,2.6,2.2,2.7,1.0,5.4,3.7,,,25,0.1,1.1,0.7
25,,Melanoma of skin,-,-,-,-,-,-,-,0.4,1.3,2.0,1.6,1.7,1.3,2.2,2.7,2.0,5.4,12.9,,,26,0.1,1.2,0.7
