,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Breast,-,-,-,-,3,18,67,189,371,558,633,581,434,361,200,175,181,129,"3,900",26.1,,,,
1,2,Colorectum,-,-,-,1,-,10,17,23,52,100,168,220,237,230,199,265,308,315,"2,145",14.4,,,,
2,3,Lung,-,-,-,-,2,-,7,16,30,85,145,193,231,232,165,230,220,262,"1,818",12.2,,,,
3,4,Corpus uteri,-,-,-,1,-,6,9,30,77,117,209,216,129,80,36,25,31,12,978,6.5,,,,
4,5,Thyroid gland,-,1,2,10,15,35,45,74,73,79,87,87,49,32,19,16,9,8,641,4.3,,,,
5,6,Ovary and peritoneum,1,-,-,3,6,14,25,27,60,82,107,84,63,38,15,26,14,13,578,3.9,,,,
6,7,Cervix,-,-,-,-,-,8,32,41,62,56,54,60,55,39,19,23,27,24,500,3.3,,,,
7,8,Non-melanoma skin,-,-,-,1,-,2,5,3,21,21,25,30,36,53,38,61,60,131,487,3.3,,,,
8,9,Stomach,-,-,-,-,-,5,6,11,18,31,38,49,56,40,46,60,50,71,481,3.2,,,,
9,10,Liver,1,1,-,-,1,-,3,4,6,10,16,32,49,58,61,63,66,64,435,2.9,,,,
10,11,Non-Hodgkin lymphoma,3,2,-,-,5,8,11,15,18,29,39,41,45,45,38,50,40,25,414,2.8,,,,
11,12,Pancreas,-,-,-,-,-,1,2,1,5,7,26,44,44,34,29,52,55,61,361,2.4,,,,
12,13,Leukaemia,5,3,7,1,5,8,8,15,11,15,19,25,19,21,9,23,14,23,231,1.5,,,,
13,14,Nasopharynx,-,-,-,1,1,1,12,25,23,30,29,34,29,19,10,7,3,4,228,1.5,,,,
14,15,"Lip, oral cavity and pharynx except nasopharynx",-,-,2,-,1,1,4,6,8,17,34,26,24,23,13,22,23,13,217,1.5,,,,
15,16,Kidney and other urinary organs except bladder,1,-,-,1,-,-,-,1,4,11,13,25,30,36,21,22,17,16,198,1.3,,,,
