,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,-,4,26,43,105,162,245,282,418,546,495,316,163,-,"2,805",23.0,,,,
1,2,Colorectum,-,-,-,-,1,4,9,22,46,81,142,183,220,283,342,304,225,134,-,"1,996",16.4,,,,
2,3,Liver,1,-,1,-,1,4,14,23,79,116,152,136,150,183,173,121,84,40,-,"1,278",10.5,,,,
3,4,Prostate,-,-,-,-,-,-,-,-,-,3,8,49,87,158,255,203,125,81,-,969,7.9,,,,
4,5,Nasopharynx,-,-,-,1,2,7,21,64,109,131,99,67,53,47,43,17,9,3,-,673,5.5,,,,
5,6,Stomach,-,-,-,1,1,2,1,10,18,26,45,62,57,87,127,100,57,48,-,642,5.3,,,,
6,7,Bladder,-,-,-,-,-,1,1,5,7,8,23,33,32,59,88,95,52,37,-,441,3.6,,,,
7,8,Oesophagus,-,-,-,-,-,-,-,2,7,11,31,50,42,55,64,50,28,15,-,355,2.9,,,,
8,9,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,1,2,4,11,18,36,28,37,36,48,40,37,18,14,-,330,2.7,,,,
9,10,Non-Hodgkin lymphoma,-,1,2,6,4,5,8,14,16,26,28,32,34,31,43,40,16,21,-,327,2.7,,,,
10,11,Non-melanoma skin,-,-,-,1,1,-,4,5,12,10,18,27,27,36,41,43,41,25,2,293,2.4,,,,
11,12,Leukaemia,15,4,7,8,8,5,6,17,18,20,17,21,11,21,22,31,12,5,-,248,2.0,,,,
12,13,Kidney and other urinary organs except bladder,-,-,1,-,-,-,3,8,8,22,17,21,36,35,38,28,19,10,-,246,2.0,,,,
13,14,Larynx,-,-,-,-,-,-,-,-,7,10,19,26,24,23,43,26,20,9,-,207,1.7,,,,
14,15,Pancreas,-,-,-,-,-,1,1,2,6,16,15,20,22,25,40,29,16,12,-,205,1.7,,,,
15,16,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,1,1,6,2,15,9,15,26,28,18,8,-,129,1.1,,,,
16,17,Brain and other central nervous system,5,7,6,2,2,5,4,5,10,18,9,12,3,6,11,8,5,-,-,118,1.0,,,,
17,18,Thyroid gland,-,1,1,-,1,6,5,16,13,8,18,11,6,4,12,5,3,3,-,113,0.9,,,,
18,19,Multiple myeloma,-,-,-,-,-,-,-,3,3,5,9,7,12,16,20,16,11,4,-,106,0.9,,,,
19,20,Bone and soft tissue,-,1,6,1,3,5,5,9,7,12,8,9,3,10,3,10,4,5,-,101,0.8,,,,
20,21,Testis,2,1,1,8,3,5,14,5,5,4,2,-,-,-,1,1,-,-,-,52,0.4,,,,
21,22,Thymus / other thoracic organs,-,-,1,1,2,4,1,4,2,4,1,4,4,7,2,3,2,-,-,42,0.3,,,,
22,23,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,1,3,-,1,3,8,5,4,5,5,3,1,2,-,41,0.3,,,,
