,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Breast,-,-,-,1,4,24,74,206,391,630,633,693,657,518,321,213,184,212,"4,761",27.4,,,,
1,2,Colorectum,-,-,-,-,5,11,12,34,63,92,140,230,333,283,269,207,289,352,"2,320",13.3,,,,
2,3,Lung,-,-,-,-,1,2,3,21,33,84,140,250,324,299,290,202,211,291,"2,151",12.4,,,,
3,4,Corpus uteri,-,-,-,-,2,5,13,32,75,134,228,249,170,130,74,29,34,23,"1,198",6.9,,,,
4,5,Thyroid gland,-,-,-,6,15,30,39,68,96,110,121,117,93,57,21,28,14,8,823,4.7,,,,
5,6,Ovary and peritoneum,-,1,1,6,13,22,33,38,59,97,107,113,89,51,42,22,19,19,732,4.2,,,,
6,7,Stomach,-,-,-,-,1,1,3,6,14,25,37,50,67,69,66,51,63,91,544,3.1,,,,
7,8,Cervix,-,-,-,-,2,8,16,46,49,62,69,62,54,46,28,23,18,37,520,3.0,,,,
8,9,Non-melanoma skin,-,-,-,-,1,-,5,5,10,18,30,37,53,50,48,54,65,141,517,3.0,,,,
9,10,Non-Hodgkin lymphoma,-,2,2,1,2,13,7,12,15,33,26,53,59,51,52,28,43,32,431,2.5,,,,
10,11,Liver,1,-,-,-,-,-,1,3,3,6,19,34,56,64,67,43,55,76,428,2.5,,,,
11,12,Pancreas,-,-,-,-,-,-,2,4,4,8,24,33,47,50,66,47,63,68,416,2.4,,,,
12,13,Kidney and other urinary organs except bladder,-,1,-,-,-,5,3,4,9,13,33,36,35,38,45,25,41,26,314,1.8,,,,
13,14,Leukaemia,17,4,2,2,4,9,7,13,16,17,25,40,35,17,22,16,26,31,303,1.7,,,,
14,15,"Lip, oral cavity and pharynx except nasopharynx",-,-,2,-,2,1,6,5,8,17,19,32,25,31,24,14,24,40,250,1.4,,,,
15,16,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,1,2,1,3,11,20,16,28,29,21,39,64,235,1.4,,,,
16,17,Nasopharynx,-,-,-,-,-,3,11,13,27,23,29,32,31,12,10,4,4,4,203,1.2,,,,
17,18,Multiple myeloma,-,-,-,-,-,-,-,2,4,7,17,9,19,32,25,8,14,8,145,0.8,,,,
18,19,Bone and soft tissue,1,5,5,1,4,6,8,12,6,13,17,11,8,13,18,9,3,4,144,0.8,,,,
19,20,Bladder,-,-,-,-,-,-,-,1,-,3,5,6,18,13,10,14,7,48,125,0.7,,,,
20,21,Brain and other central nervous system,2,6,3,1,4,-,6,7,6,6,9,16,16,12,10,4,3,9,120,0.7,,,,
21,22,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,2,2,6,13,6,9,8,10,15,12,18,101,0.6,,,,
22,23,Oesophagus,-,-,-,-,-,-,-,2,-,-,1,2,7,20,13,13,12,15,85,0.5,,,,
23,24,Small intestine,-,-,-,-,-,-,1,1,1,2,11,7,9,9,7,2,8,9,67,0.4,,,,
24,25,Melanoma of skin,-,-,-,-,-,-,1,2,6,3,5,3,5,5,4,4,-,4,42,0.2,,,,
25,26,Hodgkin lymphoma,-,-,1,2,6,3,5,5,1,1,1,3,1,2,1,3,1,1,37,0.2,,,,
26,27,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,-,-,4,1,4,4,3,4,1,-,4,25,0.1,,,,
27,28,Other endocrine glands,3,1,-,-,1,1,-,-,-,3,1,1,3,-,3,2,-,-,19,0.1,,,,
28,29,Thymus / other thoracic organs,-,-,-,-,1,1,-,-,-,2,-,2,2,3,4,2,1,-,18,0.1,,,,
29,30,Mesothelioma,-,-,-,-,-,-,-,-,-,1,2,2,4,2,1,1,-,2,15,0.1,,,,
30,31,Larynx,-,-,-,-,-,-,-,-,-,2,2,2,2,1,2,2,-,-,13,0.1,,,,
31,32,Eye,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,3,7,0.0,,,,
32,33,Kaposi sarcoma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,0.0,,,,
33,33,"Uterus, unspecified",-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,3,0.0,,,,
34,-,Other and unspecified,2,-,3,-,2,2,1,5,6,9,21,20,25,17,16,22,35,96,282,1.6,,,,
35,-,All sites,26,20,19,20,70,147,258,551,905,"1,437","1,798","2,176","2,277","1,935","1,602","1,129","1,289","1,738","17,397",100.0,,,,
0,,Breast,-,-,-,0.7,2.0,9.0,22.7,55.8,114.7,181.7,190.8,199.7,220.1,224.5,203.6,228.1,198.7,160.4,,,1,7.1,116.6,64.7
1,,Colorectum,-,-,-,-,2.5,4.1,3.7,9.2,18.5,26.5,42.2,66.3,111.6,122.7,170.6,221.6,312.1,266.3,,,2,2.9,56.8,25.4
2,,Lung,-,-,-,-,0.5,0.8,0.9,5.7,9.7,24.2,42.2,72.0,108.5,129.6,183.9,216.3,227.9,220.1,,,3,2.9,52.7,23.8
3,,Corpus uteri,-,-,-,-,1.0,1.9,4.0,8.7,22.0,38.6,68.7,71.8,57.0,56.4,46.9,31.0,36.7,17.4,,,4,1.9,29.3,16.4
4,,Thyroid gland,-,-,-,4.3,7.4,11.3,12.0,18.4,28.2,31.7,36.5,33.7,31.2,24.7,13.3,30.0,15.1,6.1,,,5,1.3,20.2,13.1
5,,Ovary and peritoneum,-,0.7,0.7,4.3,6.4,8.3,10.1,10.3,17.3,28.0,32.3,32.6,29.8,22.1,26.6,23.6,20.5,14.4,,,6,1.1,17.9,11.4
6,,Cervix,-,-,-,-,1.0,3.0,4.9,12.5,14.4,17.9,20.8,17.9,18.1,19.9,17.8,24.6,19.4,28.0,,,7,0.7,12.7,7.2
7,,Stomach,-,-,-,-,0.5,0.4,0.9,1.6,4.1,7.2,11.2,14.4,22.4,29.9,41.9,54.6,68.0,68.8,,,8,0.7,13.3,5.9
