,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Breast,-,-,-,-,2,15,61,164,360,511,414,326,203,144,154,132,108,105,2,"2,701",23.9,,,,
1,2,Colorectum,-,-,-,-,-,4,15,22,68,92,116,145,132,142,256,292,237,209,1,"1,731",15.3,,,,
2,3,Lung,-,-,-,-,-,1,6,22,32,65,88,108,116,127,207,243,217,202,-,"1,434",12.7,,,,
3,4,Corpus uteri,-,-,-,-,-,7,6,19,55,87,124,104,55,37,37,25,18,19,-,593,5.2,,,,
4,5,Ovary and peritoneum,1,-,3,10,10,17,27,27,48,82,75,48,29,18,25,17,16,16,-,469,4.1,,,,
5,6,Thyroid gland,-,-,4,3,13,21,42,44,57,58,52,43,24,18,16,12,8,7,-,422,3.7,,,,
6,7,Cervix,-,-,-,-,-,7,20,28,50,67,48,46,15,23,28,32,21,14,-,399,3.5,,,,
7,8,Liver,-,-,-,1,-,2,-,5,6,13,19,30,33,50,79,46,62,40,-,386,3.4,,,,
8,9,Non-melanoma skin,-,-,-,-,1,-,4,14,10,17,20,20,26,38,38,57,58,81,-,384,3.4,,,,
9,10,Stomach,-,-,-,-,-,2,7,9,12,23,26,24,24,19,42,59,68,66,-,381,3.4,,,,
10,11,Non-Hodgkin lymphoma,-,2,3,2,3,10,9,19,14,19,22,31,26,33,37,38,24,28,-,320,2.8,,,,
11,12,Nasopharynx,-,-,-,-,-,4,13,19,40,44,38,23,10,12,14,11,10,6,1,245,2.2,,,,
12,13,Pancreas,-,-,-,-,1,-,1,3,3,8,8,22,18,18,25,46,22,23,-,198,1.8,,,,
13,14,Leukaemia,5,1,7,2,3,3,12,8,13,20,17,10,14,12,14,18,19,18,-,196,1.7,,,,
14,15,Kidney and other urinary organs except bladder,2,-,-,-,1,-,-,3,13,6,18,12,17,17,16,32,20,14,-,171,1.5,,,,
15,16,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,3,3,1,4,9,9,10,18,13,10,12,18,17,17,16,-,160,1.4,,,,
16,17,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,2,1,3,5,9,10,10,12,16,31,26,24,-,149,1.3,,,,
17,18,Bladder,-,-,-,-,-,-,-,-,-,1,-,4,7,8,12,24,20,25,-,101,0.9,,,,
18,19,Bone and soft tissue,1,-,4,3,3,2,3,7,12,9,10,7,5,4,10,5,7,4,-,96,0.8,,,,
19,20,Oesophagus,-,-,-,-,-,-,-,1,1,1,6,8,6,5,15,17,18,16,-,94,0.8,,,,
20,21,Brain and other central nervous system,2,4,4,7,2,4,7,8,5,9,6,5,4,6,11,4,1,4,-,93,0.8,,,,
21,22,Multiple myeloma,-,-,-,-,-,-,-,1,1,2,3,11,6,8,16,16,10,9,-,83,0.7,,,,
22,23,"Vagina, vulva and other female genital",-,-,-,-,1,-,1,2,1,4,2,1,3,8,4,8,4,7,-,46,0.4,,,,
23,24,Thymus / other thoracic organs,-,-,-,-,-,2,1,2,1,3,6,7,3,4,-,4,4,-,-,37,0.3,,,,
24,25,Hodgkin lymphoma,-,-,1,3,3,3,6,2,-,4,-,-,-,-,2,2,-,1,-,27,0.2,,,,
25,26,Small intestine,-,-,-,-,-,-,1,-,1,-,1,4,1,5,3,3,2,3,-,24,0.2,,,,
26,26,Melanoma of skin,-,-,-,1,-,-,-,1,2,1,4,4,2,-,1,4,2,2,-,24,0.2,,,,
27,28,"Nasal cavity, middle ear and accessory sinuses",-,-,1,1,-,-,1,3,-,2,4,-,2,1,1,1,4,-,-,21,0.2,,,,
28,29,Larynx,-,-,-,-,-,-,-,-,-,-,-,-,3,2,3,1,-,2,-,11,0.1,,,,
29,30,Eye,1,-,-,-,-,1,-,1,-,-,-,4,1,-,-,-,-,-,-,8,0.1,,,,
30,31,Other endocrine glands,1,-,-,-,1,1,-,-,1,-,1,-,-,-,1,-,-,-,-,6,0.1,,,,
31,32,Mesothelioma,-,-,-,-,-,-,-,1,-,-,1,-,-,1,1,-,-,-,-,4,0.0,,,,
32,33,Placenta,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,3,0.0,,,,
33,34,"Uterus, unspecified",-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,2,0.0,,,,
34,35,Kaposi sarcoma,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,0.0,,,,
35,-,Other and unspecified,-,-,-,-,-,1,1,3,10,16,13,15,17,18,26,35,60,76,-,291,2.6,,,,
36,-,All sites,13,7,27,36,47,108,251,450,828,"1,179","1,170","1,086",822,802,"1,129","1,232","1,083","1,037",4,"11,311",100.0,,,,
0,,Breast,-,-,-,-,0.8,5.2,19.5,49.4,100.4,151.3,147.4,148.6,154.1,128.2,128.7,133.9,150.6,157.7,,,,1,5.2,74.4,48.5
1,,Colorectum,-,-,-,-,-,1.4,4.8,6.6,19.0,27.2,41.3,66.1,100.2,126.4,213.9,296.1,330.5,313.8,,,,2,3.0,47.7,26.6
2,,Lung,-,-,-,-,-,0.3,1.9,6.6,8.9,19.2,31.3,49.2,88.1,113.1,172.9,246.5,302.6,303.3,,,,3,2.5,39.5,21.6
3,,Corpus uteri,-,-,-,-,-,2.4,1.9,5.7,15.3,25.8,44.2,47.4,41.8,32.9,30.9,25.4,25.1,28.5,,,,4,1.2,16.3,11.0
4,,Ovary and peritoneum,1.0,-,1.5,4.7,4.1,5.9,8.6,8.1,13.4,24.3,26.7,21.9,22.0,16.0,20.9,17.2,22.3,24.0,,,,5,0.9,12.9,9.1
5,,Thyroid gland,-,-,2.0,1.4,5.3,7.3,13.4,13.3,15.9,17.2,18.5,19.6,18.2,16.0,13.4,12.2,11.2,10.5,,,,6,0.8,11.6,8.3
