,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,2,4,14,38,64,173,303,354,377,449,535,366,261,"2,940",20.6,,,,
1,2,Colorectum,-,-,-,-,3,5,10,24,42,88,173,285,334,322,357,411,322,188,"2,564",18.0,,,,
2,3,Prostate,-,-,-,-,-,-,-,1,1,6,42,88,187,272,356,330,219,129,"1,631",11.4,,,,
3,4,Liver,2,-,-,-,-,4,10,20,35,63,157,204,230,174,158,151,98,58,"1,364",9.6,,,,
4,5,Stomach,-,-,-,-,-,3,4,6,7,28,55,83,87,75,95,101,83,57,684,4.8,,,,
5,6,Nasopharynx,-,-,2,-,2,8,25,35,60,88,109,100,73,37,23,19,11,3,595,4.2,,,,
6,7,Non-melanoma skin,-,-,-,-,-,-,4,13,15,20,43,36,42,36,55,60,60,50,434,3.0,,,,
7,8,Non-Hodgkin lymphoma,-,4,4,4,5,5,4,10,15,23,38,42,61,45,53,47,52,20,432,3.0,,,,
8,9,Kidney and other urinary organs except bladder,4,1,-,1,-,5,2,6,14,28,43,43,52,38,39,40,25,27,368,2.6,,,,
9,10,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,2,1,6,5,4,9,29,32,61,56,61,31,24,20,20,361,2.5,,,,
10,11,Oesophagus,-,-,-,-,-,-,2,1,2,9,25,35,57,49,45,44,29,30,328,2.3,,,,
11,12,Pancreas,-,-,-,-,1,-,-,2,8,18,28,40,46,39,42,41,37,21,323,2.3,,,,
12,13,Bladder,-,-,-,1,-,-,-,-,2,2,12,15,35,28,44,44,50,49,282,2.0,,,,
13,14,Leukaemia,9,6,3,8,4,4,7,11,5,18,19,34,31,27,24,25,24,15,274,1.9,,,,
14,15,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,2,1,4,9,13,23,21,22,33,33,26,187,1.3,,,,
15,16,Larynx,-,-,-,-,-,-,-,-,1,6,20,24,31,25,21,24,11,10,173,1.2,,,,
16,17,Thyroid gland,-,-,1,2,3,9,11,11,13,12,20,19,13,16,12,4,-,7,153,1.1,,,,
17,18,Multiple myeloma,-,-,-,-,-,-,1,1,1,6,12,16,24,12,22,17,19,6,137,1.0,,,,
18,19,Bone and soft tissue,-,-,3,8,6,7,6,9,10,9,9,8,8,11,8,11,12,6,131,0.9,,,,
19,19,Brain and other central nervous system,3,5,3,6,2,3,8,6,8,7,17,12,24,6,13,3,3,2,131,0.9,,,,
20,21,Testis,3,-,-,6,9,11,9,11,10,8,1,1,1,-,-,1,-,-,71,0.5,,,,
21,22,Small intestine,-,-,-,-,-,-,-,2,2,5,8,8,12,7,6,5,5,4,64,0.4,,,,
22,23,Melanoma of skin,-,-,-,-,1,1,-,2,4,6,4,4,8,2,4,6,5,2,49,0.3,,,,
23,24,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,1,1,2,4,7,7,1,6,6,3,6,-,44,0.3,,,,
24,25,Hodgkin lymphoma,-,-,1,3,6,1,5,2,-,3,2,4,-,4,3,5,2,-,41,0.3,,,,
25,26,Penis / other male genital,-,-,-,-,-,-,1,1,2,1,3,3,6,1,4,3,6,1,32,0.2,,,,
26,27,Thymus / other thoracic organs,-,-,-,-,1,-,3,-,-,3,4,3,-,1,4,1,1,1,22,0.2,,,,
27,27,Mesothelioma,-,-,-,-,-,-,-,-,-,1,2,-,2,3,5,5,2,2,22,0.2,,,,
28,29,Other endocrine glands,5,1,2,1,4,-,1,-,-,-,-,1,-,1,-,-,1,-,17,0.1,,,,
29,30,Breast,-,-,-,-,-,-,-,-,-,1,1,2,2,3,-,-,3,2,14,0.1,,,,
30,31,Kaposi sarcoma,-,-,-,-,-,-,2,-,1,2,-,-,-,1,-,-,-,-,6,0.0,,,,
31,32,Eye,2,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,5,0.0,,,,
32,-,Other and unspecified,-,-,-,-,-,1,1,4,8,7,20,21,31,45,48,60,67,75,388,2.7,,,,
33,-,All sites,28,17,19,42,48,75,126,199,316,569,"1,089","1,517","1,831","1,745","1,949","2,053","1,572","1,072","14,267",100.0,,,,
0,,Lung,-,-,-,-,-,0.9,1.8,6.0,15.8,22.4,55.5,113.3,165.7,279.7,398.0,539.9,559.6,593.2,,,1,5.3,88.4,44.3
1,,Colorectum,-,-,-,-,1.3,2.2,4.4,10.2,17.4,30.8,55.5,106.5,156.3,238.9,316.5,414.7,492.4,427.3,,,2,4.7,77.1,39.6
2,,Prostate,-,-,-,-,-,-,-,0.4,0.4,2.1,13.5,32.9,87.5,201.8,315.6,333.0,334.9,293.2,,,3,3.3,49.0,24.5
3,,Liver,1.5,-,-,-,-,1.8,4.4,8.5,14.5,22.0,50.4,76.3,107.6,129.1,140.1,152.4,149.8,131.8,,,4,2.8,41.0,22.8
4,,Nasopharynx,-,-,1.3,-,0.9,3.5,10.9,14.9,24.9,30.8,35.0,37.4,34.2,27.4,20.4,19.2,16.8,6.8,,,5,1.2,17.9,11.5
5,,Stomach,-,-,-,-,-,1.3,1.8,2.6,2.9,9.8,17.6,31.0,40.7,55.6,84.2,101.9,126.9,129.5,,,6,1.2,20.6,10.5
6,,Non-Hodgkin lymphoma,-,3.2,2.5,1.9,2.2,2.2,1.8,4.3,6.2,8.0,12.2,15.7,28.5,33.4,47.0,47.4,79.5,45.5,,,7,0.8,13.0,7.7
7,,Non-melanoma skin,-,-,-,-,-,-,1.8,5.5,6.2,7.0,13.8,13.5,19.7,26.7,48.8,60.5,91.7,113.6,,,8,0.7,13.0,6.7
8,,Kidney and other urinary organs except bladder,2.9,0.8,-,0.5,-,2.2,0.9,2.6,5.8,9.8,13.8,16.1,24.3,28.2,34.6,40.4,38.2,61.4,,,9,0.7,11.1,6.5
9,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,0.9,0.4,2.7,2.2,1.7,3.7,10.1,10.3,22.8,26.2,45.3,27.5,24.2,30.6,45.5,,,10,0.8,10.8,6.4
10,,Leukaemia,6.6,4.8,1.9,3.7,1.8,1.8,3.1,4.7,2.1,6.3,6.1,12.7,14.5,20.0,21.3,25.2,36.7,34.1,,,11,0.6,8.2,6.1
11,,Oesophagus,-,-,-,-,-,-,0.9,0.4,0.8,3.1,8.0,13.1,26.7,36.4,39.9,44.4,44.3,68.2,,,12,0.6,9.9,5.2
12,,Pancreas,-,-,-,-,0.4,-,-,0.9,3.3,6.3,9.0,15.0,21.5,28.9,37.2,41.4,56.6,47.7,,,13,0.6,9.7,5.1
13,,Bladder,-,-,-,0.5,-,-,-,-,0.8,0.7,3.8,5.6,16.4,20.8,39.0,44.4,76.5,111.4,,,14,0.4,8.5,4.0
14,,Brain and other central nervous system,2.2,4.0,1.9,2.8,0.9,1.3,3.5,2.6,3.3,2.4,5.5,4.5,11.2,4.5,11.5,3.0,4.6,4.5,,,15,0.3,3.9,3.3
15,,Thyroid gland,-,-,0.6,0.9,1.3,4.0,4.8,4.7,5.4,4.2,6.4,7.1,6.1,11.9,10.6,4.0,-,15.9,,,16,0.3,4.6,3.2
16,,Bone and soft tissue,-,-,1.9,3.7,2.7,3.1,2.6,3.8,4.1,3.1,2.9,3.0,3.7,8.2,7.1,11.1,18.3,13.6,,,17,0.2,3.9,2.9
17,,Larynx,-,-,-,-,-,-,-,-,0.4,2.1,6.4,9.0,14.5,18.5,18.6,24.2,16.8,22.7,,,18,0.3,5.2,2.8
18,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,0.9,0.4,1.4,2.9,4.9,10.8,15.6,19.5,33.3,50.5,59.1,,,19,0.3,5.6,2.7
19,,Testis,2.2,-,-,2.8,4.0,4.9,3.9,4.7,4.1,2.8,0.3,0.4,0.5,-,-,1.0,-,-,,,20,0.2,2.1,2.2
20,,Multiple myeloma,-,-,-,-,-,-,0.4,0.4,0.4,2.1,3.8,6.0,11.2,8.9,19.5,17.2,29.1,13.6,,,21,0.3,4.1,2.1
21,,Small intestine,-,-,-,-,-,-,-,0.9,0.8,1.7,2.6,3.0,5.6,5.2,5.3,5.0,7.6,9.1,,,22,0.1,1.9,1.1
22,,Hodgkin lymphoma,-,-,0.6,1.4,2.7,0.4,2.2,0.9,-,1.0,0.6,1.5,-,3.0,2.7,5.0,3.1,-,,,23,0.1,1.2,1.0
23,,Other endocrine glands,3.7,0.8,1.3,0.5,1.8,-,0.4,-,-,-,-,0.4,-,0.7,-,-,1.5,-,,,24,0.0,0.5,0.9
24,,Melanoma of skin,-,-,-,-,0.4,0.4,-,0.9,1.7,2.1,1.3,1.5,3.7,1.5,3.5,6.1,7.6,4.5,,,25,0.1,1.5,0.9
25,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,0.4,0.4,0.8,1.4,2.2,2.6,0.5,4.5,5.3,3.0,9.2,-,,,26,0.1,1.3,0.7
26,,Penis / other male genital,-,-,-,-,-,-,0.4,0.4,0.8,0.3,1.0,1.1,2.8,0.7,3.5,3.0,9.2,2.3,,,27,0.1,1.0,0.5
27,,Thymus / other thoracic organs,-,-,-,-,0.4,-,1.3,-,-,1.0,1.3,1.1,-,0.7,3.5,1.0,1.5,2.3,,,28,0.0,0.7,0.4
28,,Mesothelioma,-,-,-,-,-,-,-,-,-,0.3,0.6,-,0.9,2.2,4.4,5.0,3.1,4.5,,,29,0.0,0.7,0.3
29,,Eye,1.5,-,-,-,-,-,-,-,-,-,0.3,0.7,-,-,-,-,-,-,,,30,0.0,0.2,0.2
30,,Breast,-,-,-,-,-,-,-,-,-,0.3,0.3,0.7,0.9,2.2,-,-,4.6,4.5,,,31,0.0,0.4,0.2
31,,Kaposi sarcoma,-,-,-,-,-,-,0.9,-,0.4,0.7,-,-,-,0.7,-,-,-,-,,,32,0.0,0.2,0.1
32,,Other and unspecified,-,-,-,-,-,0.4,0.4,1.7,3.3,2.4,6.4,7.9,14.5,33.4,42.6,60.5,102.4,170.5,,,-,0.6,11.7,5.5
33,,All sites,20.5,13.5,12.0,19.5,21.2,33.2,55.2,84.9,131.0,198.9,349.3,567.1,856.8,"1,294.5","1,727.8","2,071.6","2,403.7","2,436.4",,,-,26.9,428.8,231.9
