,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,1,2,5,15,32,77,180,280,416,399,457,507,372,251,"2,994",20.1,,,,
1,2,Colorectum,-,-,-,1,3,12,18,20,62,101,202,338,367,369,323,403,323,195,"2,737",18.4,,,,
2,3,Prostate,-,-,-,-,-,1,-,1,3,7,41,107,213,314,308,309,203,148,"1,655",11.1,,,,
3,4,Liver,4,1,-,1,4,2,6,22,30,72,153,233,240,190,153,131,99,66,"1,407",9.4,,,,
4,5,Stomach,-,-,-,1,2,-,3,4,7,17,35,68,88,84,88,105,97,71,670,4.5,,,,
5,6,Nasopharynx,-,-,1,2,2,13,21,45,71,103,105,101,72,39,24,31,18,7,655,4.4,,,,
6,7,Non-Hodgkin lymphoma,2,2,3,2,8,3,4,12,21,31,42,70,62,62,52,65,43,25,509,3.4,,,,
7,8,Non-melanoma skin,-,-,-,-,-,-,4,4,12,39,54,48,61,46,44,71,62,61,506,3.4,,,,
8,9,"Lip, oral cavity and pharynx except nasopharynx",-,-,1,-,1,3,4,11,17,22,43,60,63,48,43,42,33,18,409,2.7,,,,
9,10,Kidney and other urinary organs except bladder,3,-,1,-,-,1,5,5,21,20,38,57,59,52,30,31,25,18,366,2.5,,,,
10,11,Oesophagus,-,-,-,-,-,-,-,1,5,10,23,51,56,50,41,43,28,28,336,2.3,,,,
11,12,Pancreas,-,-,-,-,-,1,-,3,6,12,34,32,45,53,38,41,34,25,324,2.2,,,,
12,13,Leukaemia,22,4,8,6,9,6,8,9,8,17,23,34,28,30,23,23,31,22,311,2.1,,,,
13,14,Bladder,-,-,-,-,-,-,1,-,1,4,9,16,37,38,41,63,55,45,310,2.1,,,,
14,15,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,2,2,7,20,23,20,23,47,34,18,196,1.3,,,,
15,16,Larynx,-,-,-,-,-,-,-,-,1,3,11,23,26,26,35,26,11,16,178,1.2,,,,
16,16,Thyroid gland,-,-,-,3,6,9,10,9,15,18,28,25,20,7,7,12,6,3,178,1.2,,,,
17,18,Multiple myeloma,-,-,-,-,-,-,-,-,1,6,3,23,24,13,18,20,15,11,134,0.9,,,,
18,19,Bone and soft tissue,1,2,5,1,2,-,3,10,7,9,14,12,10,12,9,14,4,15,130,0.9,,,,
19,20,Brain and other central nervous system,2,2,1,7,4,6,5,5,6,10,15,17,13,9,10,7,3,3,125,0.8,,,,
20,21,Small intestine,-,-,-,-,-,-,-,1,3,3,9,9,20,4,3,9,6,4,71,0.5,,,,
21,22,Testis,1,1,-,2,8,11,10,15,10,6,1,1,1,-,-,-,1,1,69,0.5,,,,
22,23,Melanoma of skin,-,-,-,-,-,2,-,4,1,3,6,12,5,6,4,4,2,3,52,0.3,,,,
23,24,Penis / other male genital,-,-,-,-,-,-,-,1,2,1,2,3,9,4,7,6,5,4,44,0.3,,,,
24,25,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,1,-,2,3,7,7,5,6,4,4,-,2,41,0.3,,,,
25,26,Hodgkin lymphoma,1,-,1,6,1,6,2,2,-,1,7,2,1,3,1,2,3,-,39,0.3,,,,
26,27,Thymus / other thoracic organs,2,-,1,-,4,4,2,1,2,1,3,4,3,1,2,1,1,-,32,0.2,,,,
27,27,Mesothelioma,-,-,-,-,-,-,-,-,-,-,5,2,5,2,1,4,9,4,32,0.2,,,,
28,29,Breast,-,-,-,-,-,-,-,1,1,1,2,3,4,2,1,2,1,2,20,0.1,,,,
