,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Breast,-,-,-,-,3,14,70,165,344,523,515,375,263,144,160,151,106,112,"2,945",24.0,,,,
1,2,Colorectum,-,-,-,-,1,4,15,19,47,92,161,165,173,139,266,303,272,273,"1,930",15.7,,,,
2,3,Lung,-,-,-,-,-,3,2,22,32,78,130,122,140,122,184,219,225,238,"1,517",12.3,,,,
3,4,Corpus uteri,-,-,-,-,-,3,7,23,60,82,157,122,73,40,34,32,22,12,667,5.4,,,,
4,5,Thyroid gland,-,-,2,6,20,32,30,56,64,88,74,51,29,12,13,16,10,4,507,4.1,,,,
5,6,Ovary and peritoneum,1,-,2,6,7,23,20,27,57,76,80,46,34,22,12,19,15,13,460,3.7,,,,
6,7,Cervix,-,-,-,-,-,9,24,43,56,59,61,49,22,20,33,24,27,26,453,3.7,,,,
7,8,Liver,2,-,-,-,-,4,2,8,6,22,30,39,40,36,68,79,55,56,447,3.6,,,,
8,9,Non-melanoma skin,-,-,1,-,-,1,4,8,8,17,17,19,36,16,53,53,63,103,399,3.2,,,,
9,10,Stomach,-,-,1,-,-,6,4,9,14,25,36,33,21,35,36,50,50,76,396,3.2,,,,
10,11,Non-Hodgkin lymphoma,2,-,3,1,4,9,12,17,10,21,30,32,31,25,31,36,32,33,329,2.7,,,,
11,12,Nasopharynx,-,-,-,-,2,4,12,27,33,32,34,18,20,7,19,20,4,4,236,1.9,,,,
12,13,Pancreas,-,-,-,-,-,-,-,1,3,12,13,15,20,14,27,49,30,31,215,1.7,,,,
13,14,Leukaemia,8,1,5,3,4,5,12,14,17,20,15,14,17,7,12,20,18,18,210,1.7,,,,
14,15,Kidney and other urinary organs except bladder,1,-,-,-,1,-,2,2,9,17,15,18,26,14,22,28,21,15,191,1.6,,,,
15,16,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,-,4,6,6,14,16,29,33,38,33,179,1.5,,,,
16,17,"Lip, oral cavity and pharynx except nasopharynx",1,-,-,1,3,5,5,12,11,14,17,15,20,20,13,15,16,10,178,1.4,,,,
17,18,Bone and soft tissue,-,1,2,7,5,6,4,8,8,6,14,8,10,3,2,12,4,5,105,0.9,,,,
18,19,Bladder,-,-,-,-,-,-,-,-,1,2,2,5,5,9,15,15,13,30,97,0.8,,,,
19,20,Multiple myeloma,-,-,-,-,-,-,-,1,1,5,9,7,6,9,15,16,13,11,93,0.8,,,,
20,21,Brain and other central nervous system,6,1,1,1,3,2,4,1,5,12,6,7,6,8,8,5,4,-,80,0.7,,,,
21,22,"Vagina, vulva and other female genital",1,-,-,-,1,-,1,3,1,5,4,6,5,9,5,9,10,15,75,0.6,,,,
22,23,Oesophagus,-,-,-,-,-,-,-,1,-,-,2,3,6,5,13,10,10,18,68,0.6,,,,
23,24,Melanoma of skin,-,-,-,-,-,1,-,1,3,2,6,-,4,1,1,6,6,4,35,0.3,,,,
24,25,Small intestine,-,-,-,-,-,-,-,-,-,5,2,5,1,1,3,5,3,5,30,0.2,,,,
25,25,Thymus / other thoracic organs,-,-,-,-,1,1,1,4,2,3,6,2,3,1,2,3,1,-,30,0.2,,,,
26,27,Hodgkin lymphoma,-,-,-,5,4,2,4,5,1,2,1,-,-,-,-,2,-,-,26,0.2,,,,
27,28,"Nasal cavity, middle ear and accessory sinuses",-,-,-,1,-,-,1,1,-,3,1,2,3,3,3,1,2,1,22,0.2,,,,
28,29,Larynx,-,-,-,-,-,-,-,-,-,1,2,1,2,-,1,1,2,1,11,0.1,,,,
29,30,Other endocrine glands,3,-,1,-,-,-,1,-,1,-,2,-,-,1,-,-,-,-,9,0.1,,,,
30,31,Eye,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,2,-,-,6,0.0,,,,
31,32,Mesothelioma,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,1,-,-,4,0.0,,,,
32,33,Kaposi sarcoma,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,0.0,,,,
33,33,"Uterus, unspecified",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,0.0,,,,
34,-,Other and unspecified,1,-,-,-,-,-,-,5,14,12,14,24,15,22,29,58,68,82,344,2.8,,,,
35,-,All sites,28,3,18,31,59,135,240,483,808,"1,240","1,462","1,210","1,047",761,"1,109","1,293","1,140","1,229","12,296",100.0,,,,
0,,Breast,-,-,-,-,1.3,4.6,22.5,49.7,102.9,147.4,167.8,156.9,158.6,136.8,135.1,143.1,138.4,149.3,,,1,5.4,79.9,50.5
1,,Colorectum,-,-,-,-,0.4,1.3,4.8,5.7,14.1,25.9,52.5,69.0,104.3,132.0,224.7,287.2,355.1,364.0,,,2,3.2,52.3,27.7
2,,Lung,-,-,-,-,-,1.0,0.6,6.6,9.6,22.0,42.4,51.0,84.4,115.9,155.4,207.6,293.7,317.3,,,3,2.4,41.1,21.7
3,,Corpus uteri,-,-,-,-,-,1.0,2.3,6.9,17.9,23.1,51.2,51.0,44.0,38.0,28.7,30.3,28.7,16.0,,,4,1.3,18.1,11.7
4,,Thyroid gland,-,-,1.1,2.9,8.5,10.6,9.7,16.9,19.1,24.8,24.1,21.3,17.5,11.4,11.0,15.2,13.1,5.3,,,5,0.9,13.7,9.7
5,,Ovary and peritoneum,0.9,-,1.1,2.9,3.0,7.6,6.4,8.1,17.0,21.4,26.1,19.2,20.5,20.9,10.1,18.0,19.6,17.3,,,6,0.8,12.5,8.6
6,,Cervix,-,-,-,-,-,3.0,7.7,13.0,16.7,16.6,19.9,20.5,13.3,19.0,27.9,22.7,35.2,34.7,,,7,0.8,12.3,7.5
7,,Liver,1.8,-,-,-,-,1.3,0.6,2.4,1.8,6.2,9.8,16.3,24.1,34.2,57.4,74.9,71.8,74.7,,,8,0.8,12.1,6.8
8,,Stomach,-,-,0.5,-,-,2.0,1.3,2.7,4.2,7.0,11.7,13.8,12.7,33.2,30.4,47.4,65.3,101.3,,,9,0.6,10.7,5.7
9,,Non-Hodgkin lymphoma,1.8,-,1.6,0.5,1.7,3.0,3.9,5.1,3.0,5.9,9.8,13.4,18.7,23.7,26.2,34.1,41.8,44.0,,,10,0.6,8.9,5.6
10,,Non-melanoma skin,-,-,0.5,-,-,0.3,1.3,2.4,2.4,4.8,5.5,7.9,21.7,15.2,44.8,50.2,82.2,137.3,,,11,0.5,10.8,5.1
