,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Breast,-,-,-,1,4,23,57,161,338,442,458,327,200,131,155,111,109,99,-,"2,616",22.8,,,,
1,2,Colorectum,-,-,-,1,-,4,8,21,49,99,143,150,152,147,238,266,255,231,-,"1,764",15.3,,,,
2,3,Lung,-,-,1,1,-,2,8,10,46,57,112,122,112,124,186,243,190,229,-,"1,443",12.6,,,,
3,4,Corpus uteri,-,-,-,-,-,5,10,21,66,98,146,110,58,27,40,30,19,10,-,640,5.6,,,,
4,5,Thyroid gland,-,-,1,7,14,16,40,64,70,86,73,43,23,20,23,20,12,4,-,516,4.5,,,,
5,6,Ovary and peritoneum,1,1,4,5,8,24,29,32,51,80,67,48,33,10,23,20,23,10,-,469,4.1,,,,
6,7,Liver,1,-,-,-,-,4,3,7,10,20,39,48,28,42,52,73,55,44,-,426,3.7,,,,
7,8,Stomach,-,-,-,-,1,5,5,11,23,19,32,28,19,27,45,58,58,73,-,404,3.5,,,,
8,9,Non-melanoma skin,-,-,-,-,-,1,4,6,14,12,17,14,13,28,45,53,59,100,-,366,3.2,,,,
9,10,Cervix,-,-,-,1,2,6,14,32,38,52,49,32,27,20,26,23,24,11,1,358,3.1,,,,
10,11,Non-Hodgkin lymphoma,-,1,2,4,1,6,4,10,18,28,24,27,29,19,28,32,31,19,-,283,2.5,,,,
11,12,Nasopharynx,-,-,-,-,2,2,11,19,42,48,35,24,17,9,15,12,6,5,-,247,2.1,,,,
12,13,Pancreas,-,-,-,-,-,-,2,1,3,11,7,18,19,17,22,40,38,33,-,211,1.8,,,,
13,14,Leukaemia,10,3,6,3,5,9,6,11,13,19,20,16,5,10,14,9,15,21,-,195,1.7,,,,
14,15,"Lip, oral cavity and pharynx except nasopharynx",-,-,1,3,-,4,3,6,12,17,13,24,11,16,24,22,15,20,-,191,1.7,,,,
15,16,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,2,-,4,5,19,9,16,21,25,24,30,-,155,1.3,,,,
16,17,Kidney and other urinary organs except bladder,2,-,-,1,-,-,3,3,8,12,12,18,14,12,13,16,20,15,-,149,1.3,,,,
17,18,Bone and soft tissue,-,2,1,6,1,7,9,10,6,11,12,7,3,5,5,2,6,4,-,97,0.8,,,,
18,19,Bladder,-,-,-,-,-,-,1,-,-,2,1,5,2,4,11,17,30,18,-,91,0.8,,,,
19,20,Oesophagus,-,-,-,-,-,-,-,-,-,1,3,8,10,9,8,13,17,20,-,89,0.8,,,,
20,20,Brain and other central nervous system,1,6,3,2,3,5,4,4,10,10,12,6,7,4,-,8,2,2,-,89,0.8,,,,
21,22,Multiple myeloma,-,-,-,-,-,-,1,-,-,2,8,6,4,8,15,16,16,12,-,88,0.8,,,,
22,23,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,1,2,7,5,10,4,4,7,13,9,5,-,67,0.6,,,,
23,24,Hodgkin lymphoma,-,-,1,1,2,8,2,3,3,3,2,-,1,1,2,1,2,-,-,32,0.3,,,,
24,25,Thymus / other thoracic organs,-,-,-,-,-,-,2,1,8,3,3,4,1,1,4,2,1,-,-,30,0.3,,,,
25,25,Melanoma of skin,-,-,-,-,-,1,1,2,3,6,5,-,3,-,2,3,-,4,-,30,0.3,,,,
26,27,Small intestine,-,-,-,-,-,-,-,-,2,1,4,1,4,2,4,3,4,4,-,29,0.3,,,,
27,28,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,1,-,2,3,3,4,2,3,1,1,2,1,1,-,24,0.2,,,,
28,29,Larynx,-,-,-,-,1,-,-,1,-,-,-,-,-,1,1,1,1,3,-,9,0.1,,,,
29,30,Mesothelioma,-,-,-,-,-,-,2,-,-,1,1,-,-,1,1,-,1,-,-,7,0.1,,,,
30,30,Eye,3,-,-,-,-,-,2,-,1,-,-,-,-,-,1,-,-,-,-,7,0.1,,,,
31,32,Other endocrine glands,3,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,6,0.1,,,,
32,33,"Uterus, unspecified",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,3,0.0,,,,
33,34,Placenta,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,0.0,,,,
34,-,Other and unspecified,3,-,-,-,2,2,3,8,11,16,26,24,28,20,37,44,54,86,-,364,3.2,,,,
35,-,All sites,24,13,21,36,46,135,234,449,850,"1,172","1,338","1,141",840,736,"1,070","1,179","1,098","1,113",1,"11,496",100.0,,,,
0,,Breast,-,-,-,0.5,1.7,7.7,18.3,48.2,98.1,126.9,154.9,142.8,134.7,122.3,129.6,109.0,146.9,140.0,,,,1,4.9,71.3,45.9
1,,Colorectum,-,-,-,0.5,-,1.3,2.6,6.3,14.2,28.4,48.4,65.5,102.4,137.3,199.0,261.3,343.7,326.7,,,,2,3.0,48.1,26.4
2,,Lung,-,-,0.5,0.5,-,0.7,2.6,3.0,13.4,16.4,37.9,53.3,75.4,115.8,155.5,238.7,256.1,323.9,,,,3,2.4,39.3,21.2
3,,Corpus uteri,-,-,-,-,-,1.7,3.2,6.3,19.2,28.1,49.4,48.0,39.1,25.2,33.4,29.5,25.6,14.1,,,,4,1.3,17.5,11.4
4,,Thyroid gland,-,-,0.5,3.3,5.9,5.4,12.9,19.2,20.3,24.7,24.7,18.8,15.5,18.7,19.2,19.6,16.2,5.7,,,,5,0.9,14.1,9.7
5,,Ovary and peritoneum,1.0,0.7,2.1,2.3,3.3,8.1,9.3,9.6,14.8,23.0,22.7,21.0,22.2,9.3,19.2,19.6,31.0,14.1,,,,6,0.8,12.8,8.8
6,,Liver,1.0,-,-,-,-,1.3,1.0,2.1,2.9,5.7,13.2,21.0,18.9,39.2,43.5,71.7,74.1,62.2,,,,7,0.7,11.6,6.6
7,,Cervix,-,-,-,0.5,0.8,2.0,4.5,9.6,11.0,14.9,16.6,14.0,18.2,18.7,21.7,22.6,32.3,15.6,,,,8,0.7,9.8,6.3
8,,Stomach,-,-,-,-,0.4,1.7,1.6,3.3,6.7,5.5,10.8,12.2,12.8,25.2,37.6,57.0,78.2,103.3,,,,9,0.6,11.0,5.7
9,,Non-Hodgkin lymphoma,-,0.7,1.0,1.9,0.4,2.0,1.3,3.0,5.2,8.0,8.1,11.8,19.5,17.7,23.4,31.4,41.8,26.9,,,,10,0.5,7.7,4.9
10,,Non-melanoma skin,-,-,-,-,-,0.3,1.3,1.8,4.1,3.4,5.7,6.1,8.8,26.1,37.6,52.1,79.5,141.4,,,,11,0.5,10.0,4.7
11,,Leukaemia,9.5,2.2,3.1,1.4,2.1,3.0,1.9,3.3,3.8,5.5,6.8,7.0,3.4,9.3,11.7,8.8,20.2,29.7,,,,12,0.4,5.3,4.7
12,,Nasopharynx,-,-,-,-,0.8,0.7,3.5,5.7,12.2,13.8,11.8,10.5,11.4,8.4,12.5,11.8,8.1,7.1,,,,13,0.5,6.7,4.4
13,,"Lip, oral cavity and pharynx except nasopharynx",-,-,0.5,1.4,-,1.3,1.0,1.8,3.5,4.9,4.4,10.5,7.4,14.9,20.1,21.6,20.2,28.3,,,,14,0.4,5.2,3.2
14,,Pancreas,-,-,-,-,-,-,0.6,0.3,0.9,3.2,2.4,7.9,12.8,15.9,18.4,39.3,51.2,46.7,,,,15,0.3,5.8,3.0
15,,Kidney and other urinary organs except bladder,1.9,-,-,0.5,-,-,1.0,0.9,2.3,3.4,4.1,7.9,9.4,11.2,10.9,15.7,27.0,21.2,,,,16,0.3,4.1,2.6
16,,Brain and other central nervous system,1.0,4.5,1.6,0.9,1.3,1.7,1.3,1.2,2.9,2.9,4.1,2.6,4.7,3.7,-,7.9,2.7,2.8,,,,17,0.2,2.4,2.2
17,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,0.6,-,1.1,1.7,8.3,6.1,14.9,17.6,24.6,32.3,42.4,,,,18,0.3,4.2,2.2
18,,Bone and soft tissue,-,1.5,0.5,2.8,0.4,2.4,2.9,3.0,1.7,3.2,4.1,3.1,2.0,4.7,4.2,2.0,8.1,5.7,,,,19,0.2,2.6,2.0
19,,Oesophagus,-,-,-,-,-,-,-,-,-,0.3,1.0,3.5,6.7,8.4,6.7,12.8,22.9,28.3,,,,20,0.1,2.4,1.2
20,,Multiple myeloma,-,-,-,-,-,-,0.3,-,-,0.6,2.7,2.6,2.7,7.5,12.5,15.7,21.6,17.0,,,,21,0.1,2.4,1.2
21,,Bladder,-,-,-,-,-,-,0.3,-,-,0.6,0.3,2.2,1.3,3.7,9.2,16.7,40.4,25.5,,,,22,0.1,2.5,1.0
22,,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,0.3,0.6,2.0,1.7,4.4,2.7,3.7,5.9,12.8,12.1,7.1,,,,23,0.1,1.8,1.0
