,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Breast,-,-,-,-,2,22,74,209,410,613,651,703,587,526,305,194,162,160,"4,618",27.2,,,,
1,2,Colorectum,-,-,-,-,5,7,16,28,57,107,155,232,335,313,264,222,294,340,"2,375",14.0,,,,
2,3,Lung,-,-,-,-,-,1,12,17,44,82,116,245,279,271,248,199,230,263,"2,007",11.8,,,,
3,4,Corpus uteri,-,-,-,-,2,5,20,47,87,133,235,245,147,98,64,29,27,26,"1,165",6.9,,,,
4,5,Thyroid gland,-,-,2,2,19,37,43,64,105,115,124,87,75,52,36,25,13,7,806,4.7,,,,
5,6,Ovary and peritoneum,-,1,1,6,9,19,22,39,60,84,101,108,62,62,32,22,19,17,664,3.9,,,,
6,7,Cervix,-,-,-,-,1,8,24,50,57,85,73,79,60,43,31,20,24,27,582,3.4,,,,
7,8,Stomach,-,-,-,-,-,-,4,14,17,29,43,60,66,50,64,55,53,83,538,3.2,,,,
8,9,Non-melanoma skin,-,-,-,-,1,-,1,8,17,21,26,51,49,47,48,42,76,144,531,3.1,,,,
9,10,Non-Hodgkin lymphoma,-,-,1,1,8,6,15,12,18,26,39,49,51,49,43,46,45,32,441,2.6,,,,
10,11,Liver,2,-,-,-,-,2,1,5,7,12,18,26,35,56,58,44,53,64,383,2.3,,,,
11,12,Pancreas,-,-,-,-,-,-,5,6,9,12,10,41,59,46,47,60,37,48,380,2.2,,,,
12,13,Kidney and other urinary organs except bladder,2,-,1,-,1,2,2,3,9,15,25,28,40,41,41,20,26,23,279,1.6,,,,
13,14,Leukaemia,17,10,4,2,5,5,12,10,18,16,22,30,22,29,18,16,18,24,278,1.6,,,,
14,15,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,2,1,3,8,10,9,15,22,35,28,36,21,24,15,34,263,1.5,,,,
15,16,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,1,2,5,3,6,18,20,24,25,34,37,46,221,1.3,,,,
16,17,Nasopharynx,-,-,-,-,-,1,9,17,15,37,33,29,21,12,10,4,1,8,197,1.2,,,,
17,18,Bone and soft tissue,3,-,3,3,2,7,3,14,9,14,9,21,21,13,13,5,4,7,151,0.9,,,,
18,19,Bladder,1,-,-,-,-,-,-,-,2,3,3,7,11,14,15,17,21,33,127,0.7,,,,
19,20,Multiple myeloma,-,-,-,-,-,-,-,3,1,1,7,14,29,22,13,11,16,9,126,0.7,,,,
20,21,Brain and other central nervous system,2,6,3,3,1,4,5,9,6,15,9,10,13,6,12,4,6,8,122,0.7,,,,
21,22,"Vagina, vulva and other female genital",-,-,-,-,-,-,1,2,1,-,13,12,12,22,6,16,12,16,113,0.7,,,,
22,23,Oesophagus,-,-,-,-,-,1,-,-,-,2,4,5,6,11,5,7,15,20,76,0.4,,,,
23,24,Small intestine,-,-,-,-,-,-,-,2,2,5,6,10,11,7,4,4,6,6,63,0.4,,,,
24,25,Hodgkin lymphoma,-,-,2,6,6,7,4,3,2,1,1,-,3,1,2,1,1,3,43,0.3,,,,
25,26,Melanoma of skin,-,-,1,-,-,-,-,3,2,2,2,5,2,6,5,1,3,2,34,0.2,,,,
26,27,"Nasal cavity, middle ear and accessory sinuses",-,-,1,-,-,-,-,1,3,6,4,3,-,2,1,-,3,7,31,0.2,,,,
27,28,Thymus / other thoracic organs,-,-,-,-,-,-,-,1,4,1,1,3,2,4,3,2,-,1,22,0.1,,,,
28,29,Larynx,-,-,-,-,-,-,-,-,-,-,2,3,1,1,1,2,-,3,13,0.1,,,,
29,30,Mesothelioma,-,-,-,-,-,-,-,-,1,-,1,1,2,-,-,-,4,1,10,0.1,,,,
30,31,Other endocrine glands,4,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,1,8,0.0,,,,
31,32,Placenta,-,-,-,-,1,-,2,2,1,-,1,-,-,-,-,-,-,-,7,0.0,,,,
32,33,Eye,1,-,-,-,-,-,-,1,-,2,-,-,-,1,-,1,-,-,6,0.0,,,,
33,-,Other and unspecified,3,-,1,-,1,1,5,7,11,13,10,22,24,17,26,23,49,95,308,1.8,,,,
34,-,All sites,35,17,20,25,65,138,289,589,989,"1,470","1,772","2,184","2,074","1,882","1,461","1,150","1,270","1,558","16,988",100.0,,,,
0,,Breast,-,-,-,-,0.9,8.1,22.5,57.5,121.2,179.8,195.0,208.2,205.7,239.6,216.9,204.4,172.9,126.7,,,1,7.3,114.3,65.0
1,,Colorectum,-,-,-,-,2.3,2.6,4.9,7.7,16.9,31.4,46.4,68.7,117.4,142.6,187.8,233.9,313.8,269.2,,,2,3.1,58.8,27.1
2,,Lung,-,-,-,-,-,0.4,3.6,4.7,13.0,24.0,34.8,72.5,97.8,123.5,176.4,209.7,245.5,208.2,,,3,2.8,49.7,22.9
3,,Corpus uteri,-,-,-,-,0.9,1.9,6.1,12.9,25.7,39.0,70.4,72.5,51.5,44.6,45.5,30.6,28.8,20.6,,,4,1.9,28.8,16.5
4,,Thyroid gland,-,-,1.5,1.4,8.9,13.7,13.1,17.6,31.0,33.7,37.1,25.8,26.3,23.7,25.6,26.3,13.9,5.5,,,5,1.3,19.9,13.3
5,,Ovary and peritoneum,-,0.7,0.8,4.2,4.2,7.0,6.7,10.7,17.7,24.6,30.3,32.0,21.7,28.2,22.8,23.2,20.3,13.5,,,6,1.1,16.4,10.4
6,,Cervix,-,-,-,-,0.5,3.0,7.3,13.8,16.9,24.9,21.9,23.4,21.0,19.6,22.0,21.1,25.6,21.4,,,7,0.9,14.4,8.4
7,,Stomach,-,-,-,-,-,-,1.2,3.9,5.0,8.5,12.9,17.8,23.1,22.8,45.5,58.0,56.6,65.7,,,8,0.7,13.3,6.2
8,,Leukaemia,13.1,6.8,3.0,1.4,2.3,1.9,3.6,2.8,5.3,4.7,6.6,8.9,7.7,13.2,12.8,16.9,19.2,19.0,,,9,0.5,6.9,6.0
9,,Non-Hodgkin lymphoma,-,-,0.8,0.7,3.7,2.2,4.6,3.3,5.3,7.6,11.7,14.5,17.9,22.3,30.6,48.5,48.0,25.3,,,10,0.6,10.9,5.9
10,,Non-melanoma skin,-,-,-,-,0.5,-,0.3,2.2,5.0,6.2,7.8,15.1,17.2,21.4,34.1,44.3,81.1,114.0,,,11,0.5,13.1,5.3
11,,Pancreas,-,-,-,-,-,-,1.5,1.7,2.7,3.5,3.0,12.1,20.7,21.0,33.4,63.2,39.5,38.0,,,12,0.5,9.4,4.3
12,,Liver,1.5,-,-,-,-,0.7,0.3,1.4,2.1,3.5,5.4,7.7,12.3,25.5,41.3,46.4,56.6,50.7,,,13,0.5,9.5,4.3
13,,Kidney and other urinary organs except bladder,1.5,-,0.8,-,0.5,0.7,0.6,0.8,2.7,4.4,7.5,8.3,14.0,18.7,29.2,21.1,27.7,18.2,,,14,0.4,6.9,3.7
14,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,1.4,0.5,1.1,2.4,2.8,2.7,4.4,6.6,10.4,9.8,16.4,14.9,25.3,16.0,26.9,,,15,0.4,6.5,3.4
15,,Nasopharynx,-,-,-,-,-,0.4,2.7,4.7,4.4,10.9,9.9,8.6,7.4,5.5,7.1,4.2,1.1,6.3,,,16,0.3,4.9,2.9
16,,Bone and soft tissue,2.3,-,2.3,2.1,0.9,2.6,0.9,3.9,2.7,4.1,2.7,6.2,7.4,5.9,9.2,5.3,4.3,5.5,,,17,0.3,3.7,2.8
17,,Brain and other central nervous system,1.5,4.1,2.3,2.1,0.5,1.5,1.5,2.5,1.8,4.4,2.7,3.0,4.6,2.7,8.5,4.2,6.4,6.3,,,18,0.2,3.0,2.5
18,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,0.3,0.6,1.5,0.9,1.8,5.3,7.0,10.9,17.8,35.8,39.5,36.4,,,19,0.2,5.5,2.2
19,,Multiple myeloma,-,-,-,-,-,-,-,0.8,0.3,0.3,2.1,4.1,10.2,10.0,9.2,11.6,17.1,7.1,,,20,0.2,3.1,1.5
20,,Bladder,0.8,-,-,-,-,-,-,-,0.6,0.9,0.9,2.1,3.9,6.4,10.7,17.9,22.4,26.1,,,21,0.1,3.1,1.3
21,,"Vagina, vulva and other female genital",-,-,-,-,-,-,0.3,0.6,0.3,-,3.9,3.6,4.2,10.0,4.3,16.9,12.8,12.7,,,22,0.1,2.8,1.3
22,,Hodgkin lymphoma,-,-,1.5,4.2,2.8,2.6,1.2,0.8,0.6,0.3,0.3,-,1.1,0.5,1.4,1.1,1.1,2.4,,,23,0.1,1.1,1.2
23,,Small intestine,-,-,-,-,-,-,-,0.6,0.6,1.5,1.8,3.0,3.9,3.2,2.8,4.2,6.4,4.8,,,24,0.1,1.6,0.8
