,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Breast,-,-,-,-,5,19,79,167,419,547,650,588,531,389,222,182,160,150,"4,108",26.6,,,,
1,2,Colorectum,-,-,1,-,3,2,14,28,66,86,191,233,281,302,208,260,297,296,"2,268",14.7,,,,
2,3,Lung,-,-,-,-,-,3,10,17,33,82,141,206,265,261,169,207,210,246,"1,850",12.0,,,,
3,4,Corpus uteri,-,-,-,-,-,4,14,41,54,129,229,216,147,107,37,30,21,21,"1,050",6.8,,,,
4,5,Thyroid gland,-,-,-,6,18,35,53,69,80,97,85,92,54,58,19,14,7,5,692,4.5,,,,
5,6,Ovary and peritoneum,-,2,2,3,13,20,23,34,62,86,95,78,62,65,12,16,12,13,598,3.9,,,,
6,7,Cervix,-,-,-,-,2,4,21,32,62,66,66,76,40,46,24,26,32,13,510,3.3,,,,
7,8,Non-melanoma skin,-,1,-,-,-,6,4,11,19,18,32,39,38,43,31,48,74,134,498,3.2,,,,
8,9,Stomach,-,-,-,-,1,2,7,6,11,32,32,52,45,55,37,46,62,86,474,3.1,,,,
9,10,Liver,2,-,-,-,-,-,1,2,6,6,21,46,45,64,48,58,51,69,419,2.7,,,,
10,11,Non-Hodgkin lymphoma,-,1,2,-,3,4,9,12,19,24,36,53,53,54,32,31,30,31,394,2.6,,,,
11,12,Pancreas,-,-,-,-,-,1,1,1,3,12,14,25,38,39,28,49,48,47,306,2.0,,,,
12,13,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,1,6,3,5,9,16,21,28,31,32,20,27,23,25,247,1.6,,,,
13,14,Leukaemia,13,9,5,4,7,8,7,8,25,13,25,18,22,24,12,14,19,13,246,1.6,,,,
14,15,Kidney and other urinary organs except bladder,-,-,-,1,1,1,2,7,6,14,31,20,36,33,18,28,29,17,244,1.6,,,,
15,16,Nasopharynx,-,-,-,1,-,4,7,17,22,20,32,29,33,21,6,8,4,2,206,1.3,,,,
16,17,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,1,2,8,27,25,25,19,25,36,36,204,1.3,,,,
17,18,Bone and soft tissue,-,1,3,1,5,6,5,6,9,7,14,19,17,7,14,3,9,4,130,0.8,,,,
