,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Breast,-,-,-,-,3,22,68,173,360,620,524,434,397,225,170,154,123,146,-,"3,419",26.4,,,,
1,2,Colorectum,-,-,-,-,-,4,14,23,55,105,153,195,196,167,182,269,278,275,-,"1,916",14.8,,,,
2,3,Lung,-,-,-,-,-,2,2,18,44,80,103,171,178,124,177,212,227,204,-,"1,542",11.9,,,,
3,4,Corpus uteri,-,-,-,1,1,-,6,31,59,112,150,128,82,38,22,27,15,13,-,685,5.3,,,,
4,5,Thyroid gland,-,1,-,13,12,24,29,55,78,89,69,68,46,19,13,15,10,8,-,549,4.2,,,,
5,6,Ovary and peritoneum,-,1,1,5,6,13,25,32,60,88,74,61,48,21,28,20,17,20,-,520,4.0,,,,
6,7,Liver,2,1,-,-,-,1,7,4,10,10,27,35,50,45,65,77,60,65,-,459,3.5,,,,
7,8,Stomach,-,-,-,-,-,2,7,15,22,35,39,39,36,21,41,53,58,65,-,433,3.3,,,,
8,9,Cervix,-,-,-,-,-,8,21,40,51,55,36,42,32,24,25,23,15,19,-,391,3.0,,,,
9,10,Non-melanoma skin,-,-,-,-,-,1,3,7,17,13,23,32,22,28,33,35,55,102,-,371,2.9,,,,
10,11,Non-Hodgkin lymphoma,-,4,2,3,6,5,8,13,18,26,34,37,25,28,33,46,35,38,-,361,2.8,,,,
11,12,Pancreas,-,-,-,-,-,-,-,1,5,5,24,22,32,28,34,32,33,40,-,256,2.0,,,,
12,13,Nasopharynx,-,-,-,2,3,6,11,18,29,44,30,28,14,14,9,7,8,7,-,230,1.8,,,,
13,14,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,1,2,1,4,9,10,22,20,26,28,25,19,19,17,18,-,221,1.7,,,,
14,15,Leukaemia,12,4,4,4,3,8,7,9,14,19,11,13,17,12,10,14,19,15,-,195,1.5,,,,
15,16,Kidney and other urinary organs except bladder,1,-,-,-,-,2,-,3,4,13,22,8,23,25,19,28,25,20,-,193,1.5,,,,
16,17,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,1,5,11,9,14,13,16,34,34,26,-,163,1.3,,,,
17,18,Bone and soft tissue,3,-,1,2,6,5,3,12,6,10,11,14,8,6,5,9,3,3,-,107,0.8,,,,
18,19,Brain and other central nervous system,5,7,4,2,1,3,6,7,8,8,12,9,9,2,5,5,7,1,-,101,0.8,,,,
19,19,Multiple myeloma,-,-,-,-,-,-,1,1,2,3,8,12,13,11,10,19,11,10,-,101,0.8,,,,
