,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Breast,-,-,-,-,3,12,89,186,441,532,612,653,593,459,252,189,179,173,"4,373",27.0,,,,
1,2,Colorectum,-,-,-,-,2,5,13,40,47,90,171,241,257,394,248,239,290,295,"2,332",14.4,,,,
2,3,Lung,-,-,-,-,1,2,7,18,54,89,142,191,259,305,205,182,221,255,"1,931",11.9,,,,
3,4,Corpus uteri,-,-,-,-,1,1,12,33,62,165,227,205,143,106,50,28,22,21,"1,076",6.6,,,,
4,5,Thyroid gland,-,-,2,8,19,38,49,54,74,102,98,73,70,48,32,17,12,7,703,4.3,,,,
5,6,Ovary and peritoneum,-,2,4,4,16,18,20,47,64,81,121,86,58,58,21,20,18,13,651,4.0,,,,
6,7,Stomach,-,-,-,-,1,3,3,7,17,34,54,56,56,60,39,60,72,90,552,3.4,,,,
7,8,Non-melanoma skin,-,-,-,1,-,-,4,11,18,17,33,25,41,50,46,47,86,153,532,3.3,,,,
8,9,Cervix,-,-,-,-,1,6,26,41,66,62,62,66,61,35,26,20,19,25,516,3.2,,,,
9,10,Non-Hodgkin lymphoma,1,1,1,4,3,7,9,14,14,26,43,59,47,45,42,42,37,43,438,2.7,,,,
10,11,Liver,2,1,-,-,-,1,2,5,9,11,21,36,43,58,43,52,70,72,426,2.6,,,,
11,12,Pancreas,-,-,-,-,-,-,-,4,7,5,22,33,40,45,43,43,44,56,342,2.1,,,,
12,13,Leukaemia,10,5,2,2,3,4,9,12,11,12,27,22,31,35,19,18,25,20,267,1.6,,,,
13,14,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,4,7,3,4,13,12,30,38,36,30,13,16,24,28,258,1.6,,,,
14,15,Kidney and other urinary organs except bladder,1,-,-,-,1,3,3,5,8,9,25,23,42,34,24,25,30,23,256,1.6,,,,
15,16,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,2,4,3,5,20,16,28,29,24,35,52,218,1.3,,,,
16,17,Nasopharynx,-,-,1,1,2,6,12,20,27,21,34,33,14,22,8,2,3,6,212,1.3,,,,
17,18,Bone and soft tissue,2,1,3,2,2,5,8,8,7,10,15,12,16,9,10,7,7,5,129,0.8,,,,
