,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,1,2,5,19,29,67,157,313,507,584,572,453,376,339,-,"3,424",19.4,,,,
1,2,Colorectum,-,-,-,1,5,9,15,29,57,104,158,344,489,541,462,398,322,302,-,"3,236",18.3,,,,
2,3,Prostate,-,-,-,-,-,-,-,-,2,6,36,159,333,609,574,365,268,180,-,"2,532",14.3,,,,
3,4,Liver,1,-,-,-,-,1,4,16,39,48,83,200,263,239,232,134,97,91,-,"1,448",8.2,,,,
4,5,Stomach,-,-,-,-,-,1,2,10,13,24,24,64,100,120,120,102,80,99,-,759,4.3,,,,
5,6,Non-Hodgkin lymphoma,-,3,5,4,2,4,11,13,15,21,35,64,71,92,77,40,75,57,-,589,3.3,,,,
6,7,Nasopharynx,-,-,-,4,3,5,18,34,63,71,79,110,74,51,41,13,15,5,2,588,3.3,,,,
7,8,Non-melanoma skin,-,-,-,-,-,1,2,8,24,25,44,69,76,55,64,67,58,71,-,564,3.2,,,,
8,8,Kidney and other urinary organs except bladder,-,1,-,2,1,1,2,10,17,31,50,71,80,97,71,46,52,32,-,564,3.2,,,,
9,10,Pancreas,-,-,-,-,-,-,1,2,14,21,33,66,68,94,91,43,52,45,-,530,3.0,,,,
10,11,"Lip, oral cavity and pharynx except nasopharynx",-,1,1,1,-,4,1,11,7,22,38,58,89,80,60,34,35,33,-,475,2.7,,,,
11,12,Leukaemia,6,4,6,7,4,9,7,7,19,19,30,33,37,43,39,35,29,27,-,361,2.0,,,,
12,13,Bladder,-,-,-,-,-,-,-,1,1,3,10,19,30,39,46,52,45,64,-,310,1.8,,,,
13,14,Oesophagus,-,-,-,-,-,-,1,-,6,8,14,32,54,53,47,32,31,23,-,301,1.7,,,,
14,15,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,1,1,3,4,6,16,30,38,27,43,41,45,1,256,1.4,,,,
15,16,Thyroid gland,-,-,1,-,4,11,13,17,27,28,28,27,19,27,15,10,6,3,-,236,1.3,,,,
16,17,Multiple myeloma,-,-,-,-,-,-,1,1,1,4,7,17,29,26,28,26,25,10,-,175,1.0,,,,
17,18,Larynx,-,-,-,-,-,-,-,1,2,5,10,15,24,37,25,15,20,14,-,168,0.9,,,,
18,19,Bone and soft tissue,1,1,7,4,3,2,5,7,8,9,14,24,24,17,11,9,7,8,-,161,0.9,,,,
19,20,Brain and other central nervous system,6,1,11,3,1,11,3,8,9,11,10,18,16,17,16,6,6,6,-,159,0.9,,,,
20,21,Testis,1,-,1,3,8,21,20,18,14,3,4,6,1,-,-,-,-,-,-,100,0.6,,,,
21,22,Small intestine,-,-,-,-,-,-,-,3,3,3,8,10,12,14,10,6,9,4,-,82,0.5,,,,
22,23,Penis / other male genital,-,-,-,-,-,-,-,-,2,3,2,2,7,18,10,3,8,6,-,61,0.3,,,,
23,24,Hodgkin lymphoma,-,-,1,9,5,5,5,4,3,2,2,3,1,1,3,4,2,-,-,50,0.3,,,,
24,25,Melanoma of skin,-,-,-,-,-,-,-,2,2,5,5,3,5,5,5,4,6,3,1,46,0.3,,,,
25,26,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,2,1,2,3,3,3,7,7,4,5,2,5,-,44,0.2,,,,
26,27,Thymus / other thoracic organs,1,-,-,-,1,2,1,2,1,-,3,2,5,5,7,3,1,-,-,34,0.2,,,,
27,28,Breast,-,-,-,-,1,-,-,-,1,1,1,2,5,5,4,1,4,7,-,32,0.2,,,,
28,29,Mesothelioma,-,-,-,-,-,-,-,-,1,1,-,-,4,3,4,7,2,3,-,25,0.1,,,,
29,30,Eye,2,-,-,-,-,-,-,1,1,1,-,2,1,3,-,-,-,-,-,11,0.1,,,,
30,30,Other endocrine glands,4,-,1,-,-,-,1,-,1,-,-,1,-,1,1,-,1,-,-,11,0.1,,,,
31,32,Kaposi sarcoma,-,-,-,-,-,1,-,-,1,1,2,-,1,-,-,1,-,-,-,7,0.0,,,,
32,-,Other and unspecified,3,2,1,-,2,1,1,2,6,9,18,25,26,45,39,42,47,77,-,346,2.0,,,,
33,-,All sites,25,13,35,38,41,91,122,228,394,563,914,"1,778","2,488","2,966","2,705","1,999","1,722","1,559",4,"17,685",100.0,,,,
0,,Lung,-,-,-,-,0.5,0.9,2.2,7.9,12.5,27.2,60.8,102.5,176.7,265.2,374.6,477.3,474.1,459.3,,,,1,5.2,100.0,42.2
1,,Colorectum,-,-,-,0.7,2.6,4.0,6.5,12.1,24.6,42.3,61.2,112.7,170.4,245.7,302.6,419.4,406.1,409.2,,,,2,4.9,94.5,41.8
2,,Prostate,-,-,-,-,-,-,-,-,0.9,2.4,13.9,52.1,116.0,276.6,375.9,384.6,338.0,243.9,,,,3,4.2,73.9,30.2
3,,Liver,0.7,-,-,-,-,0.4,1.7,6.7,16.8,19.5,32.2,65.5,91.6,108.5,151.9,141.2,122.3,123.3,,,,4,2.5,42.3,19.6
4,,Nasopharynx,-,-,-,2.8,1.5,2.2,7.8,14.1,27.2,28.9,30.6,36.0,25.8,23.2,26.9,13.7,18.9,6.8,,,,5,1.1,17.2,10.8
5,,Stomach,-,-,-,-,-,0.4,0.9,4.2,5.6,9.8,9.3,21.0,34.8,54.5,78.6,107.5,100.9,134.1,,,,6,1.1,22.2,9.4
6,,Non-Hodgkin lymphoma,-,1.9,3.4,2.8,1.0,1.8,4.8,5.4,6.5,8.5,13.6,21.0,24.7,41.8,50.4,42.1,94.6,77.2,,,,7,0.9,17.2,8.5
7,,Kidney and other urinary organs except bladder,-,0.6,-,1.4,0.5,0.4,0.9,4.2,7.3,12.6,19.4,23.3,27.9,44.1,46.5,48.5,65.6,43.4,,,,8,0.9,16.5,8.1
8,,Non-melanoma skin,-,-,-,-,-,0.4,0.9,3.3,10.3,10.2,17.0,22.6,26.5,25.0,41.9,70.6,73.1,96.2,,,,9,0.8,16.5,7.5
9,,Pancreas,-,-,-,-,-,-,0.4,0.8,6.0,8.5,12.8,21.6,23.7,42.7,59.6,45.3,65.6,61.0,,,,10,0.9,15.5,7.0
10,,"Lip, oral cavity and pharynx except nasopharynx",-,0.6,0.7,0.7,-,1.8,0.4,4.6,3.0,8.9,14.7,19.0,31.0,36.3,39.3,35.8,44.1,44.7,,,,11,0.8,13.9,6.8
11,,Leukaemia,4.4,2.5,4.1,4.9,2.0,4.0,3.0,2.9,8.2,7.7,11.6,10.8,12.9,19.5,25.5,36.9,36.6,36.6,,,,12,0.6,10.5,6.8
12,,Thyroid gland,-,-,0.7,-,2.0,4.9,5.6,7.1,11.6,11.4,10.8,8.8,6.6,12.3,9.8,10.5,7.6,4.1,,,,13,0.5,6.9,4.7
13,,Brain and other central nervous system,4.4,0.6,7.6,2.1,0.5,4.9,1.3,3.3,3.9,4.5,3.9,5.9,5.6,7.7,10.5,6.3,7.6,8.1,,,,14,0.3,4.6,3.9
14,,Oesophagus,-,-,-,-,-,-,0.4,-,2.6,3.3,5.4,10.5,18.8,24.1,30.8,33.7,39.1,31.2,,,,15,0.5,8.8,3.8
15,,Bladder,-,-,-,-,-,-,-,0.4,0.4,1.2,3.9,6.2,10.5,17.7,30.1,54.8,56.7,86.7,,,,16,0.4,9.1,3.4
16,,Bone and soft tissue,0.7,0.6,4.8,2.8,1.5,0.9,2.2,2.9,3.4,3.7,5.4,7.9,8.4,7.7,7.2,9.5,8.8,10.8,,,,17,0.3,4.7,3.2
17,,Testis,0.7,-,0.7,2.1,4.1,9.3,8.7,7.5,6.0,1.2,1.5,2.0,0.3,-,-,-,-,-,,,,18,0.2,2.9,3.0
18,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,0.4,0.4,1.3,1.6,2.3,5.2,10.5,17.3,17.7,45.3,51.7,61.0,,,,19,0.3,7.5,2.9
19,,Multiple myeloma,-,-,-,-,-,-,0.4,0.4,0.4,1.6,2.7,5.6,10.1,11.8,18.3,27.4,31.5,13.6,,,,20,0.3,5.1,2.2
20,,Larynx,-,-,-,-,-,-,-,0.4,0.9,2.0,3.9,4.9,8.4,16.8,16.4,15.8,25.2,19.0,,,,21,0.3,4.9,2.1
21,,Hodgkin lymphoma,-,-,0.7,6.3,2.6,2.2,2.2,1.7,1.3,0.8,0.8,1.0,0.3,0.5,2.0,4.2,2.5,-,,,,22,0.1,1.5,1.6
22,,Small intestine,-,-,-,-,-,-,-,1.2,1.3,1.2,3.1,3.3,4.2,6.4,6.5,6.3,11.3,5.4,,,,23,0.1,2.4,1.1
23,,Penis / other male genital,-,-,-,-,-,-,-,-,0.9,1.2,0.8,0.7,2.4,8.2,6.5,3.2,10.1,8.1,,,,24,0.1,1.8,0.8
24,,Melanoma of skin,-,-,-,-,-,-,-,0.8,0.9,2.0,1.9,1.0,1.7,2.3,3.3,4.2,7.6,4.1,,,,25,0.1,1.3,0.7
25,,Thymus / other thoracic organs,0.7,-,-,-,0.5,0.9,0.4,0.8,0.4,-,1.2,0.7,1.7,2.3,4.6,3.2,1.3,-,,,,26,0.1,1.0,0.7
26,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,0.9,0.4,0.9,1.2,1.2,1.0,2.4,3.2,2.6,5.3,2.5,6.8,,,,27,0.1,1.3,0.6
27,,Other endocrine glands,3.0,-,0.7,-,-,-,0.4,-,0.4,-,-,0.3,-,0.5,0.7,-,1.3,-,,,,28,0.0,0.3,0.5
28,,Breast,-,-,-,-,0.5,-,-,-,0.4,0.4,0.4,0.7,1.7,2.3,2.6,1.1,5.0,9.5,,,,29,0.0,0.9,0.4
29,,Eye,1.5,-,-,-,-,-,-,0.4,0.4,0.4,-,0.7,0.3,1.4,-,-,-,-,,,,30,0.0,0.3,0.3
30,,Mesothelioma,-,-,-,-,-,-,-,-,0.4,0.4,-,-,1.4,1.4,2.6,7.4,2.5,4.1,,,,31,0.0,0.7,0.3
31,,Kaposi sarcoma,-,-,-,-,-,0.4,-,-,0.4,0.4,0.8,-,0.3,-,-,1.1,-,-,,,,32,0.0,0.2,0.1
32,,Other and unspecified,2.2,1.3,0.7,-,1.0,0.4,0.4,0.8,2.6,3.7,7.0,8.2,9.1,20.4,25.5,44.3,59.3,104.3,,,,-,0.4,10.1,4.4
33,,All sites,18.5,8.1,24.0,26.5,21.0,40.5,53.0,94.9,169.9,228.8,354.1,582.4,866.9,"1,347.0","1,771.4","2,106.4","2,171.5","2,112.5",,,,-,28.0,516.5,239.3
