,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Colorectum,-,-,-,-,4,9,8,21,66,93,180,295,539,559,467,402,357,259,"3,259",19.1,,,,
1,2,Lung,-,-,-,-,-,2,3,20,32,65,141,298,461,585,523,439,358,318,"3,245",19.0,,,,
2,3,Prostate,-,-,-,1,-,-,-,-,1,3,33,139,299,482,502,351,232,161,"2,204",12.9,,,,
3,4,Liver,1,-,-,-,-,1,2,16,29,58,101,194,234,258,168,123,94,80,"1,359",8.0,,,,
4,5,Stomach,-,-,-,-,2,-,3,5,6,15,33,63,100,133,98,100,97,84,739,4.3,,,,
5,6,Nasopharynx,-,-,-,-,4,11,16,40,44,80,93,97,103,69,41,18,12,6,634,3.7,,,,
6,7,Non-melanoma skin,-,-,1,-,-,-,6,6,16,33,49,52,56,67,70,70,76,74,576,3.4,,,,
7,8,Non-Hodgkin lymphoma,-,3,5,2,5,6,10,14,14,20,46,62,65,88,65,52,63,47,567,3.3,,,,
8,9,Kidney and other urinary organs except bladder,-,-,-,-,-,-,5,7,20,32,49,72,88,85,54,41,32,28,513,3.0,,,,
9,10,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,1,1,4,4,12,13,20,37,70,91,78,45,36,32,32,476,2.8,,,,
10,11,Pancreas,-,-,-,-,-,1,-,2,10,9,25,69,66,67,83,54,41,48,475,2.8,,,,
11,12,Bladder,1,-,-,-,-,-,-,1,3,4,15,19,34,58,39,66,50,58,348,2.0,,,,
12,13,Oesophagus,-,-,-,-,-,-,-,2,3,8,20,34,58,61,55,40,30,28,339,2.0,,,,
13,14,Leukaemia,10,11,2,7,8,3,9,6,14,13,22,29,34,45,31,25,38,21,328,1.9,,,,
14,15,Gallbladder and extrahepatic bile duct,-,-,-,-,-,1,-,2,3,5,3,22,34,40,30,34,35,39,248,1.5,,,,
