,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Breast,-,-,-,-,2,17,71,177,364,553,595,504,405,247,152,168,135,134,"3,524",25.1,,,,
1,2,Colorectum,-,-,-,-,1,4,7,27,61,83,154,216,218,205,215,275,281,285,"2,032",14.5,,,,
2,3,Lung,-,-,-,-,-,2,10,18,42,69,131,170,190,158,158,236,233,220,"1,637",11.7,,,,
3,4,Corpus uteri,-,-,-,-,1,4,16,24,54,129,226,191,132,57,38,34,22,14,942,6.7,,,,
4,5,Thyroid gland,-,-,6,6,17,26,51,64,74,83,103,60,31,30,11,24,10,8,604,4.3,,,,
5,6,Ovary and peritoneum,-,-,4,10,8,17,25,28,62,85,92,71,40,20,17,18,19,10,526,3.8,,,,
6,7,Cervix,-,-,-,-,-,10,18,40,63,73,66,50,49,33,22,27,29,23,503,3.6,,,,
7,8,Non-melanoma skin,-,-,-,1,-,4,3,8,14,28,30,34,35,30,40,64,82,118,491,3.5,,,,
8,9,Liver,-,2,-,-,-,1,3,7,8,11,24,38,53,77,46,55,66,54,445,3.2,,,,
9,10,Stomach,-,-,-,-,1,-,3,8,12,22,41,51,40,42,30,61,53,66,430,3.1,,,,
10,11,Non-Hodgkin lymphoma,2,1,2,2,2,6,12,12,9,23,38,48,49,23,32,37,29,41,368,2.6,,,,
11,12,Pancreas,1,-,-,-,-,-,1,5,-,7,22,22,30,40,30,36,45,45,284,2.0,,,,
12,13,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,2,4,8,4,8,14,25,23,23,23,23,28,29,24,238,1.7,,,,
13,14,Leukaemia,12,5,2,6,1,6,7,10,16,16,18,20,22,23,15,17,12,28,236,1.7,,,,
14,15,Kidney and other urinary organs except bladder,3,1,1,-,-,1,1,3,4,13,17,28,28,31,11,22,19,17,200,1.4,,,,
15,16,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,4,3,7,16,21,15,15,30,37,49,197,1.4,,,,
16,17,Nasopharynx,-,-,-,-,-,3,11,8,26,23,30,30,18,9,12,4,5,7,186,1.3,,,,
17,18,Bone and soft tissue,4,-,3,7,3,10,3,7,12,10,15,11,14,5,7,3,6,5,125,0.9,,,,
18,19,Bladder,-,-,-,-,-,-,-,-,-,3,2,5,8,3,14,21,29,30,115,0.8,,,,
19,19,Brain and other central nervous system,6,3,3,2,4,2,7,6,7,7,13,9,12,10,9,8,4,3,115,0.8,,,,
20,21,Multiple myeloma,-,-,-,-,-,-,-,-,-,7,8,8,10,19,12,16,17,9,106,0.8,,,,
21,22,Oesophagus,-,-,-,-,-,1,-,-,-,3,4,6,8,9,8,19,13,22,93,0.7,,,,
22,23,"Vagina, vulva and other female genital",-,-,-,-,-,-,1,3,5,2,8,6,11,10,5,14,7,12,84,0.6,,,,
23,24,Small intestine,-,-,1,-,-,-,-,1,1,1,7,5,6,8,2,9,1,3,45,0.3,,,,
24,25,Melanoma of skin,-,-,-,1,-,1,1,2,5,3,2,4,7,2,2,5,5,3,43,0.3,,,,
25,26,Hodgkin lymphoma,-,-,-,3,1,7,4,3,-,1,1,3,-,3,3,2,1,-,32,0.2,,,,
26,27,"Nasal cavity, middle ear and accessory sinuses",1,-,-,-,2,-,2,-,2,1,4,4,6,2,-,1,-,1,26,0.2,,,,
27,28,Thymus / other thoracic organs,1,-,-,-,-,1,1,-,2,1,2,2,1,2,2,1,1,1,18,0.1,,,,
28,29,Larynx,-,-,-,-,-,-,-,-,-,-,1,2,1,-,1,4,3,2,14,0.1,,,,
29,30,Other endocrine glands,6,1,1,-,-,-,-,1,-,-,2,-,-,1,-,-,-,-,12,0.1,,,,
30,31,Mesothelioma,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,1,-,-,4,0.0,,,,
31,31,Eye,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,2,4,0.0,,,,
32,33,"Uterus, unspecified",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,0.0,,,,
33,34,Placenta,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,0.0,,,,
34,-,Other and unspecified,2,-,-,1,-,4,2,2,7,13,11,16,19,20,26,59,69,89,340,2.4,,,,
35,-,All sites,38,13,23,39,46,131,268,469,862,"1,290","1,699","1,653","1,487","1,157",958,"1,300","1,262","1,327","14,022",100.0,,,,
0,,Breast,-,-,-,-,0.9,5.8,20.8,53.8,107.8,164.1,174.8,175.0,181.9,168.7,146.7,153.0,152.9,138.4,,,1,6.0,91.6,55.3
1,,Colorectum,-,-,-,-,0.4,1.4,2.1,8.2,18.1,24.6,45.2,75.0,97.9,140.0,207.5,250.5,318.2,294.4,,,2,3.1,52.8,26.4
2,,Lung,-,-,-,-,-,0.7,2.9,5.5,12.4,20.5,38.5,59.0,85.3,107.9,152.5,214.9,263.9,227.3,,,3,2.4,42.5,21.1
3,,Corpus uteri,-,-,-,-,0.4,1.4,4.7,7.3,16.0,38.3,66.4,66.3,59.3,38.9,36.7,31.0,24.9,14.5,,,4,1.7,24.5,14.9
