,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,1,-,-,-,11,19,36,118,194,247,298,370,552,527,322,190,-,"2,885",22.6,,,,
1,2,Colorectum,-,-,-,-,-,9,17,20,60,114,155,193,219,272,425,361,235,150,-,"2,230",17.5,,,,
2,3,Liver,3,-,1,2,1,3,13,21,50,127,178,180,152,161,187,127,73,52,-,"1,331",10.4,,,,
3,4,Prostate,-,-,-,-,-,-,-,-,-,2,19,52,75,196,268,241,127,88,-,"1,068",8.4,,,,
4,5,Nasopharynx,-,-,-,-,5,5,31,51,93,129,130,90,35,45,34,28,10,6,-,692,5.4,,,,
5,6,Stomach,-,-,-,-,1,-,-,10,17,33,46,53,59,90,103,90,81,51,-,634,5.0,,,,
6,7,Oesophagus,-,-,-,-,-,-,-,-,9,15,36,56,40,53,49,58,35,23,-,374,2.9,,,,
7,8,Non-Hodgkin lymphoma,1,2,5,4,5,7,5,9,10,32,24,43,32,53,54,41,22,21,-,370,2.9,,,,
8,9,Bladder,-,-,-,-,-,-,-,1,2,7,16,19,19,39,64,68,70,39,-,344,2.7,,,,
9,10,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,2,-,-,10,10,14,25,36,42,42,37,41,30,20,8,-,317,2.5,,,,
10,11,Non-melanoma skin,-,-,-,-,-,-,5,8,17,23,22,21,25,28,41,48,29,37,5,309,2.4,,,,
11,12,Kidney and other urinary organs except bladder,-,1,-,-,-,1,-,4,11,16,26,44,25,26,38,29,15,14,-,250,2.0,,,,
12,13,Leukaemia,16,12,8,8,4,5,9,14,10,13,8,20,26,28,22,22,13,8,-,246,1.9,,,,
13,14,Pancreas,-,-,-,-,-,-,1,-,5,15,16,15,20,35,47,44,37,3,-,238,1.9,,,,
14,15,Larynx,-,-,-,-,-,1,-,1,2,4,16,19,15,31,39,36,14,11,-,189,1.5,,,,
15,16,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,1,-,4,7,6,13,11,17,20,27,26,18,-,150,1.2,,,,
16,17,Multiple myeloma,-,-,-,-,-,-,1,1,5,4,14,15,7,19,18,21,14,6,-,125,1.0,,,,
17,18,Brain and other central nervous system,1,5,5,4,5,8,6,6,4,12,9,10,7,11,7,6,5,1,-,112,0.9,,,,
18,19,Thyroid gland,-,-,-,1,2,5,11,7,9,15,14,14,8,8,8,4,4,1,-,111,0.9,,,,
19,20,Bone and soft tissue,1,1,6,6,2,6,7,4,7,16,8,6,7,8,3,7,8,7,-,110,0.9,,,,
20,21,Testis,-,-,1,1,13,9,8,8,6,2,2,1,-,-,1,-,1,-,-,53,0.4,,,,
21,22,Small intestine,-,-,-,-,-,-,1,-,4,3,4,6,3,7,3,7,1,1,-,40,0.3,,,,
22,22,"Nasal cavity, middle ear and accessory sinuses",-,-,1,1,1,-,1,1,2,3,9,5,1,6,3,2,4,-,-,40,0.3,,,,
23,24,Thymus / other thoracic organs,-,-,-,-,1,1,1,-,3,9,5,2,4,3,3,3,1,-,-,36,0.3,,,,
24,25,Melanoma of skin,-,-,1,-,1,-,-,1,4,2,5,3,1,3,8,-,1,1,-,31,0.2,,,,
25,26,Hodgkin lymphoma,-,-,2,-,4,2,2,2,3,2,2,1,1,1,3,1,1,-,-,27,0.2,,,,
