,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,-,-,4,10,40,78,173,299,395,455,417,506,398,239,"3,014",20.0,,,,
1,2,Colorectum,-,-,-,1,4,9,19,23,57,93,211,336,349,408,340,414,360,238,"2,862",19.0,,,,
2,3,Prostate,-,-,-,-,-,-,-,-,2,9,40,130,217,334,328,297,207,145,"1,709",11.3,,,,
3,4,Liver,2,-,-,1,2,5,8,10,44,58,140,223,223,192,149,135,110,67,"1,369",9.1,,,,
4,5,Stomach,-,-,-,-,-,-,2,6,12,21,33,62,72,96,96,98,101,82,681,4.5,,,,
5,6,Nasopharynx,-,-,-,1,3,5,18,43,62,90,93,104,74,54,27,24,11,5,614,4.1,,,,
6,7,Non-melanoma skin,-,-,-,-,1,-,2,11,18,48,40,54,59,64,33,52,61,73,516,3.4,,,,
7,8,Non-Hodgkin lymphoma,1,3,4,5,-,5,15,19,16,18,45,55,71,55,56,50,47,27,492,3.3,,,,
8,9,Kidney and other urinary organs except bladder,3,-,-,1,1,1,5,8,20,25,46,76,63,68,44,42,31,14,448,3.0,,,,
9,10,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,2,5,3,3,13,30,37,55,62,64,33,21,31,22,381,2.5,,,,
10,11,Pancreas,-,-,-,-,1,-,-,3,4,12,30,43,53,43,49,42,55,20,355,2.4,,,,
11,12,Leukaemia,13,6,5,7,4,7,8,14,14,23,25,33,31,28,33,29,38,17,335,2.2,,,,
12,13,Oesophagus,-,-,-,-,-,-,-,1,3,7,29,36,53,57,42,42,41,23,334,2.2,,,,
13,14,Bladder,-,-,-,-,-,-,-,1,3,2,13,22,36,24,47,68,54,48,318,2.1,,,,
14,15,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,1,2,2,9,14,19,26,28,34,37,22,194,1.3,,,,
15,16,Larynx,-,-,-,-,-,-,-,-,-,2,15,29,29,20,22,34,15,14,180,1.2,,,,
16,17,Bone and soft tissue,2,3,4,4,5,4,6,10,11,14,19,14,11,11,8,10,7,6,149,1.0,,,,
17,18,Thyroid gland,-,-,2,-,7,3,4,7,14,18,23,23,18,8,6,4,8,2,147,1.0,,,,
