,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Lung,-,-,-,-,1,1,7,23,49,104,191,241,285,384,494,497,328,222,-,"2,827",21.7,,,,
1,2,Colorectum,-,-,-,1,3,6,19,23,52,141,184,234,226,295,401,362,249,156,1,"2,353",18.1,,,,
2,3,Liver,1,-,1,-,1,6,7,24,45,111,143,184,183,167,164,134,89,44,-,"1,304",10.0,,,,
3,4,Prostate,-,-,-,-,-,-,-,-,-,5,21,74,116,176,296,282,152,83,-,"1,205",9.2,,,,
4,5,Nasopharynx,-,-,2,2,3,8,20,58,78,121,137,97,43,39,37,21,10,4,-,680,5.2,,,,
5,6,Stomach,-,-,-,-,-,1,3,6,14,27,40,73,60,72,99,106,74,51,-,626,4.8,,,,
6,7,Non-melanoma skin,-,-,-,-,-,-,4,12,13,29,30,36,37,25,51,59,48,34,-,378,2.9,,,,
7,8,Bladder,-,-,-,-,-,-,1,-,5,11,12,25,27,36,64,72,70,52,1,376,2.9,,,,
8,9,Non-Hodgkin lymphoma,2,2,3,4,2,5,10,10,11,21,26,32,31,51,44,48,25,16,-,343,2.6,,,,
9,10,Oesophagus,-,-,-,-,-,-,-,2,5,23,28,47,44,46,48,44,23,22,-,332,2.5,,,,
10,11,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,1,2,7,2,16,33,39,47,38,34,40,23,27,13,-,322,2.5,,,,
11,12,Kidney and other urinary organs except bladder,3,-,1,-,-,-,3,3,18,23,42,42,29,30,31,33,20,10,-,288,2.2,,,,
12,13,Pancreas,-,-,-,-,-,-,2,2,7,15,18,30,34,43,42,42,33,13,-,281,2.2,,,,
13,14,Leukaemia,11,11,11,3,7,4,4,6,12,18,14,12,16,16,33,19,18,10,-,225,1.7,,,,
14,15,Larynx,-,-,-,-,-,-,-,1,1,7,10,29,22,28,38,26,8,7,-,177,1.4,,,,
15,16,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,1,1,1,4,5,12,12,17,32,31,31,15,-,162,1.2,,,,
16,17,Thyroid gland,-,-,1,2,3,6,5,7,17,20,15,21,13,10,10,9,5,2,-,146,1.1,,,,
17,18,Brain and other central nervous system,5,2,6,4,7,7,6,3,5,17,10,7,11,8,13,4,5,-,-,120,0.9,,,,
18,19,Multiple myeloma,-,-,-,-,-,-,1,-,-,7,7,8,12,14,20,11,10,9,-,99,0.8,,,,
19,20,Bone and soft tissue,2,1,6,1,3,5,6,6,8,13,7,13,8,6,3,2,4,4,-,98,0.8,,,,
20,21,Testis,-,-,-,2,9,12,13,9,7,7,1,1,-,2,1,-,2,-,-,66,0.5,,,,
21,22,Small intestine,-,-,-,-,-,-,1,2,3,3,3,5,8,3,6,9,6,2,-,51,0.4,,,,
22,23,"Nasal cavity, middle ear and accessory sinuses",-,-,-,1,-,-,2,2,3,5,3,6,5,3,2,4,1,1,-,38,0.3,,,,
23,24,Thymus / other thoracic organs,-,-,1,1,2,2,2,3,2,3,5,4,2,3,4,-,1,2,-,37,0.3,,,,
24,25,Melanoma of skin,-,-,-,-,-,-,-,-,2,3,5,2,3,1,3,3,6,1,-,29,0.2,,,,
25,25,Penis / other male genital,-,-,-,-,-,-,-,-,1,1,1,3,1,3,2,6,6,5,-,29,0.2,,,,
26,27,Hodgkin lymphoma,-,-,-,1,3,3,2,-,2,1,2,4,1,1,1,2,4,-,-,27,0.2,,,,
27,28,Breast,-,-,-,-,-,-,-,1,-,1,-,2,1,4,4,1,5,3,-,22,0.2,,,,
28,29,Other endocrine glands,9,-,2,2,-,-,1,-,-,-,-,-,-,1,2,-,-,1,-,18,0.1,,,,
29,30,Mesothelioma,-,-,-,-,-,-,-,-,-,-,1,2,2,3,4,-,1,1,-,14,0.1,,,,
30,31,Eye,2,-,-,-,-,-,-,1,1,1,-,2,3,-,-,-,1,-,-,11,0.1,,,,
31,32,Kaposi sarcoma,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,2,0.0,,,,
32,-,Other and unspecified,-,-,-,-,1,-,1,2,6,7,15,31,28,30,62,68,52,42,-,345,2.6,,,,
33,-,All sites,35,16,34,24,46,68,128,209,385,783,"1,015","1,326","1,301","1,551","2,051","1,918","1,314",825,2,"13,031",100.0,,,,
0,,Lung,-,-,-,-,0.5,0.4,3.0,9.4,16.7,32.5,69.1,108.5,202.4,313.5,428.1,571.9,686.2,723.1,,,,1,5.9,86.1,50.4
1,,Colorectum,-,-,-,0.4,1.4,2.6,8.0,9.4,17.7,44.0,66.6,105.3,160.5,240.8,347.5,416.6,520.9,508.1,,,,2,5.0,71.7,42.6
2,,Liver,0.9,-,0.5,-,0.5,2.6,3.0,9.9,15.4,34.7,51.7,82.8,130.0,136.3,142.1,154.2,186.2,143.3,,,,3,3.1,39.7,25.4
3,,Prostate,-,-,-,-,-,-,-,-,-,1.6,7.6,33.3,82.4,143.7,256.5,324.5,318.0,270.4,,,,4,2.6,36.7,20.7
4,,Nasopharynx,-,-,1.0,0.9,1.4,3.5,8.4,23.8,26.6,37.8,49.6,43.7,30.5,31.8,32.1,24.2,20.9,13.0,,,,5,1.5,20.7,13.8
5,,Stomach,-,-,-,-,-,0.4,1.3,2.5,4.8,8.4,14.5,32.9,42.6,58.8,85.8,122.0,154.8,166.1,,,,6,1.3,19.1,11.1
6,,Non-Hodgkin lymphoma,1.8,1.3,1.4,1.8,0.9,2.2,4.2,4.1,3.8,6.6,9.4,14.4,22.0,41.6,38.1,55.2,52.3,52.1,,,,7,0.8,10.4,7.0
7,,Non-melanoma skin,-,-,-,-,-,-,1.7,4.9,4.4,9.1,10.9,16.2,26.3,20.4,44.2,67.9,100.4,110.7,,,,8,0.7,11.5,6.7
8,,Oesophagus,-,-,-,-,-,-,-,0.8,1.7,7.2,10.1,21.2,31.3,37.6,41.6,50.6,48.1,71.7,,,,9,0.8,10.1,6.2
9,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,0.5,0.9,3.0,0.8,5.5,10.3,14.1,21.2,27.0,27.8,34.7,26.5,56.5,42.3,,,,10,0.7,9.8,6.2
10,,Bladder,-,-,-,-,-,-,0.4,-,1.7,3.4,4.3,11.3,19.2,29.4,55.5,82.9,146.4,169.4,,,,11,0.6,11.4,6.2
11,,Leukaemia,9.9,7.2,5.2,1.3,3.2,1.8,1.7,2.5,4.1,5.6,5.1,5.4,11.4,13.1,28.6,21.9,37.7,32.6,,,,12,0.5,6.9,6.2
12,,Kidney and other urinary organs except bladder,2.7,-,0.5,-,-,-,1.3,1.2,6.1,7.2,15.2,18.9,20.6,24.5,26.9,38.0,41.8,32.6,,,,13,0.6,8.8,5.7
13,,Pancreas,-,-,-,-,-,-,0.8,0.8,2.4,4.7,6.5,13.5,24.1,35.1,36.4,48.3,69.0,42.3,,,,14,0.6,8.6,5.2
14,,Brain and other central nervous system,4.5,1.3,2.9,1.8,3.2,3.1,2.5,1.2,1.7,5.3,3.6,3.2,7.8,6.5,11.3,4.6,10.5,-,,,,15,0.3,3.7,3.4
15,,Larynx,-,-,-,-,-,-,-,0.4,0.3,2.2,3.6,13.1,15.6,22.9,32.9,29.9,16.7,22.8,,,,16,0.5,5.4,3.3
16,,Thyroid gland,-,-,0.5,0.9,1.4,2.6,2.1,2.9,5.8,6.2,5.4,9.5,9.2,8.2,8.7,10.4,10.5,6.5,,,,17,0.3,4.4,3.1
17,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,0.4,0.4,0.3,1.2,1.8,5.4,8.5,13.9,27.7,35.7,64.9,48.9,,,,18,0.3,4.9,2.7
18,,Bone and soft tissue,1.8,0.7,2.9,0.4,1.4,2.2,2.5,2.5,2.7,4.1,2.5,5.9,5.7,4.9,2.6,2.3,8.4,13.0,,,,19,0.2,3.0,2.5
19,,Multiple myeloma,-,-,-,-,-,-,0.4,-,-,2.2,2.5,3.6,8.5,11.4,17.3,12.7,20.9,29.3,,,,20,0.2,3.0,1.8
20,,Testis,-,-,-,0.9,4.1,5.3,5.5,3.7,2.4,2.2,0.4,0.5,-,1.6,0.9,-,4.2,-,,,,21,0.1,2.0,1.8
21,,Other endocrine glands,8.1,-,1.0,0.9,-,-,0.4,-,-,-,-,-,-,0.8,1.7,-,-,3.3,,,,22,0.1,0.5,1.2
22,,Small intestine,-,-,-,-,-,-,0.4,0.8,1.0,0.9,1.1,2.3,5.7,2.4,5.2,10.4,12.6,6.5,,,,23,0.1,1.6,0.9
23,,Thymus / other thoracic organs,-,-,0.5,0.4,0.9,0.9,0.8,1.2,0.7,0.9,1.8,1.8,1.4,2.4,3.5,-,2.1,6.5,,,,24,0.1,1.1,0.9
24,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,0.4,-,-,0.8,0.8,1.0,1.6,1.1,2.7,3.6,2.4,1.7,4.6,2.1,3.3,,,,25,0.1,1.2,0.8
25,,Hodgkin lymphoma,-,-,-,0.4,1.4,1.3,0.8,-,0.7,0.3,0.7,1.8,0.7,0.8,0.9,2.3,8.4,-,,,,26,0.0,0.8,0.6
26,,Melanoma of skin,-,-,-,-,-,-,-,-,0.7,0.9,1.8,0.9,2.1,0.8,2.6,3.5,12.6,3.3,,,,27,0.0,0.9,0.5
27,,Penis / other male genital,-,-,-,-,-,-,-,-,0.3,0.3,0.4,1.4,0.7,2.4,1.7,6.9,12.6,16.3,,,,28,0.0,0.9,0.5
28,,Eye,1.8,-,-,-,-,-,-,0.4,0.3,0.3,-,0.9,2.1,-,-,-,2.1,-,,,,29,0.0,0.3,0.4
29,,Breast,-,-,-,-,-,-,-,0.4,-,0.3,-,0.9,0.7,3.3,3.5,1.2,10.5,9.8,,,,30,0.0,0.7,0.4
30,,Mesothelioma,-,-,-,-,-,-,-,-,-,-,0.4,0.9,1.4,2.4,3.5,-,2.1,3.3,,,,31,0.0,0.4,0.3
31,,Kaposi sarcoma,-,-,-,-,-,-,-,-,0.3,0.3,-,-,-,-,-,-,-,-,,,,32,0.0,0.1,0.0
