,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Breast,-,-,-,-,1,16,88,162,396,599,637,536,469,344,171,194,139,115,1,"3,868",26.6,,,,
1,2,Colorectum,-,1,-,1,1,7,13,28,68,102,160,239,240,234,170,283,282,288,-,"2,117",14.6,,,,
2,3,Lung,-,-,-,-,-,3,7,13,45,61,141,192,197,198,166,204,228,205,-,"1,660",11.4,,,,
3,4,Corpus uteri,-,-,-,-,1,-,26,32,82,129,238,213,118,71,29,24,16,18,-,997,6.9,,,,
4,5,Thyroid gland,-,-,3,14,20,35,42,63,70,88,98,66,59,32,27,17,11,3,-,648,4.5,,,,
5,6,Ovary and peritoneum,-,-,3,3,14,16,27,35,51,96,117,60,48,34,28,10,16,18,-,576,4.0,,,,
6,7,Liver,1,-,-,-,-,2,-,2,13,11,24,47,48,61,56,74,59,80,-,478,3.3,,,,
7,8,Cervix,-,-,-,-,-,4,22,42,58,78,55,51,48,31,21,24,19,19,-,472,3.3,,,,
8,9,Stomach,-,-,-,-,-,1,3,8,18,29,41,46,62,40,28,59,53,77,-,465,3.2,,,,
9,10,Non-Hodgkin lymphoma,3,3,1,4,2,8,5,12,15,27,37,49,59,50,39,36,43,33,-,426,2.9,,,,
10,11,Non-melanoma skin,-,-,-,-,-,3,5,10,9,16,26,26,42,31,24,53,67,113,-,425,2.9,,,,
11,12,Pancreas,1,-,-,-,-,1,1,4,3,12,18,36,32,45,31,45,35,36,-,300,2.1,,,,
12,13,Nasopharynx,-,-,-,-,1,9,13,17,27,27,36,31,23,13,6,5,5,7,-,220,1.5,,,,
13,14,"Lip, oral cavity and pharynx except nasopharynx",-,-,1,-,2,2,10,5,6,20,24,29,19,17,14,17,13,30,-,209,1.4,,,,
14,15,Kidney and other urinary organs except bladder,2,1,-,-,1,2,4,4,7,17,17,22,33,23,15,17,21,19,-,205,1.4,,,,
15,15,Leukaemia,5,2,4,-,4,8,6,13,15,13,13,21,22,23,9,20,10,17,-,205,1.4,,,,
16,17,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,1,4,3,8,11,19,22,14,30,39,48,-,199,1.4,,,,
17,18,Bone and soft tissue,2,1,2,3,5,3,9,6,12,10,12,14,14,13,8,4,5,4,-,127,0.9,,,,
18,19,Multiple myeloma,-,-,-,-,-,-,1,1,-,5,8,12,15,7,15,20,9,9,-,102,0.7,,,,
19,20,Brain and other central nervous system,8,2,1,3,-,2,5,3,9,5,9,12,10,6,10,3,3,1,-,92,0.6,,,,
20,21,Bladder,-,-,-,-,-,-,-,1,2,1,5,4,5,7,4,15,26,21,-,91,0.6,,,,
21,22,Oesophagus,-,-,-,-,-,-,1,-,2,2,1,5,5,7,10,12,15,15,-,75,0.5,,,,
