,Rank,Cancer type,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,"Unknown
Age","All
Ages","Rel.
freq.(%)","Rank
(ASR)",CR%74,"Crude
rate",ASR
0,1,Breast,-,-,-,2,2,16,79,173,346,515,363,301,178,154,129,131,107,87,1,"2,584",23.5,,,,
1,2,Colorectum,-,-,-,-,-,8,9,23,47,96,118,134,120,182,259,255,223,214,-,"1,688",15.3,,,,
2,3,Lung,-,-,-,-,2,-,5,16,44,73,98,109,96,111,191,225,170,208,-,"1,348",12.3,,,,
3,4,Corpus uteri,-,-,-,-,1,5,8,29,56,84,110,100,36,40,38,35,19,9,-,570,5.2,,,,
4,5,Cervix,-,-,-,-,1,5,20,47,51,57,54,50,30,38,41,26,20,19,-,459,4.2,,,,
5,6,Ovary and peritoneum,-,-,6,6,21,21,27,39,49,64,63,37,17,24,23,23,16,14,-,450,4.1,,,,
6,7,Thyroid gland,-,-,1,9,11,22,36,41,69,63,51,44,17,18,21,11,6,8,-,428,3.9,,,,
7,8,Liver,1,-,-,-,-,1,3,6,11,13,16,39,41,51,58,75,49,50,-,414,3.8,,,,
8,9,Stomach,-,-,-,-,1,2,7,9,19,31,27,24,19,32,46,48,53,66,-,384,3.5,,,,
9,10,Non-melanoma skin,-,-,-,-,1,1,1,10,11,13,6,19,15,17,36,54,53,77,1,315,2.9,,,,
10,11,Non-Hodgkin lymphoma,-,1,-,2,7,5,9,4,19,24,28,23,27,30,29,36,35,28,-,307,2.8,,,,
11,12,Nasopharynx,-,-,-,-,2,6,17,23,38,48,37,26,29,14,15,6,4,2,-,267,2.4,,,,
12,13,Pancreas,-,-,-,-,-,1,-,2,4,9,12,19,16,22,27,35,23,24,-,194,1.8,,,,
13,14,Leukaemia,11,4,4,4,5,5,7,9,19,9,16,12,12,12,13,20,13,10,-,185,1.7,,,,
14,15,Kidney and other urinary organs except bladder,1,-,-,-,1,2,-,6,4,15,14,17,13,17,27,18,9,17,-,161,1.5,,,,
15,16,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,4,2,1,9,5,9,13,10,9,21,18,26,16,10,-,153,1.4,,,,
16,17,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,2,4,6,9,7,15,14,29,27,32,-,145,1.3,,,,
17,18,Bladder,-,-,-,-,-,-,-,-,3,1,5,4,1,10,14,20,23,26,-,107,1.0,,,,
18,19,Oesophagus,-,-,-,-,-,-,-,-,2,1,5,7,8,15,14,18,10,16,-,96,0.9,,,,
19,20,Bone and soft tissue,-,1,4,4,2,6,8,3,9,10,6,10,2,4,8,6,1,3,-,87,0.8,,,,
20,21,Brain and other central nervous system,3,4,5,2,2,4,6,5,4,1,10,9,4,7,7,3,5,2,-,83,0.8,,,,
21,22,Multiple myeloma,-,-,-,-,-,-,-,-,1,2,3,4,4,10,8,16,17,6,-,71,0.6,,,,
22,23,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,-,1,2,6,7,1,4,7,3,9,6,-,46,0.4,,,,
23,24,Small intestine,-,-,-,-,-,-,-,-,1,3,1,2,3,1,3,2,2,10,-,28,0.3,,,,
24,24,Melanoma of skin,-,-,-,-,1,-,1,1,3,1,2,3,3,-,4,2,-,7,-,28,0.3,,,,
25,26,Thymus / other thoracic organs,-,-,-,-,-,-,-,2,4,5,6,4,-,-,1,-,-,1,-,23,0.2,,,,
26,27,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,1,2,2,2,1,-,-,4,6,3,-,-,21,0.2,,,,
27,27,Hodgkin lymphoma,-,-,-,1,3,5,3,1,1,-,1,-,1,-,1,2,1,1,-,21,0.2,,,,
28,29,Larynx,-,-,-,-,1,-,-,1,-,1,1,-,1,2,1,1,3,-,-,12,0.1,,,,
29,30,Mesothelioma,-,-,-,-,-,-,-,-,-,2,-,1,-,1,-,-,-,-,-,4,0.0,,,,
30,30,"Uterus, unspecified",-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,-,1,-,4,0.0,,,,
31,32,Other endocrine glands,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,0.0,,,,
32,33,Eye,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,0.0,,,,
33,34,Placenta,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.0,,,,
34,-,Other and unspecified,2,-,1,1,1,1,1,5,12,6,10,16,18,23,36,45,52,78,-,308,2.8,,,,
35,-,All sites,21,10,21,31,69,119,249,466,837,"1,164","1,090","1,042",728,876,"1,094","1,177",969,"1,032",2,"10,997",100.0,,,,
0,,Breast,-,-,-,0.9,0.8,5.7,25.5,52.2,94.7,153.4,135.7,144.9,153.1,132.1,111.3,136.0,157.6,139.9,,,,1,5.1,72.0,47.9
1,,Colorectum,-,-,-,-,-,2.9,2.9,6.9,12.9,28.6,44.1,64.5,103.2,156.1,223.5,264.8,328.4,344.1,,,,2,3.2,47.1,27.4
2,,Lung,-,-,-,-,0.8,-,1.6,4.8,12.0,21.7,36.6,52.5,82.5,95.2,164.8,233.6,250.4,334.4,,,,3,2.4,37.6,21.1
3,,Corpus uteri,-,-,-,-,0.4,1.8,2.6,8.8,15.3,25.0,41.1,48.1,31.0,34.3,32.8,36.3,28.0,14.5,,,,4,1.2,15.9,10.8
4,,Ovary and peritoneum,-,-,3.0,2.8,8.5,7.5,8.7,11.8,13.4,19.1,23.5,17.8,14.6,20.6,19.8,23.9,23.6,22.5,,,,5,0.9,12.5,8.9
5,,Thyroid gland,-,-,0.5,4.2,4.5,7.9,11.6,12.4,18.9,18.8,19.1,21.2,14.6,15.4,18.1,11.4,8.8,12.9,,,,6,0.8,11.9,8.5
6,,Cervix,-,-,-,-,0.4,1.8,6.5,14.2,14.0,17.0,20.2,24.1,25.8,32.6,35.4,27.0,29.5,30.5,,,,7,1.0,12.8,8.5
7,,Liver,1.0,-,-,-,-,0.4,1.0,1.8,3.0,3.9,6.0,18.8,35.3,43.7,50.0,77.9,72.2,80.4,,,,8,0.8,11.5,7.0
8,,Stomach,-,-,-,-,0.4,0.7,2.3,2.7,5.2,9.2,10.1,11.5,16.3,27.4,39.7,49.8,78.1,106.1,,,,9,0.6,10.7,5.9
9,,Non-Hodgkin lymphoma,-,0.7,-,0.9,2.8,1.8,2.9,1.2,5.2,7.1,10.5,11.1,23.2,25.7,25.0,37.4,51.5,45.0,,,,10,0.6,8.6,5.5
10,,Nasopharynx,-,-,-,-,0.8,2.2,5.5,6.9,10.4,14.3,13.8,12.5,24.9,12.0,12.9,6.2,5.9,3.2,,,,11,0.6,7.4,5.4
11,,Leukaemia,10.7,2.6,2.0,1.9,2.0,1.8,2.3,2.7,5.2,2.7,6.0,5.8,10.3,10.3,11.2,20.8,19.1,16.1,,,,12,0.4,5.2,4.8
12,,Non-melanoma skin,-,-,-,-,0.4,0.4,0.3,3.0,3.0,3.9,2.2,9.1,12.9,14.6,31.1,56.1,78.1,123.8,,,,13,0.4,8.8,4.3
13,,Pancreas,-,-,-,-,-,0.4,-,0.6,1.1,2.7,4.5,9.1,13.8,18.9,23.3,36.3,33.9,38.6,,,,14,0.4,5.4,3.2
14,,Kidney and other urinary organs except bladder,1.0,-,-,-,0.4,0.7,-,1.8,1.1,4.5,5.2,8.2,11.2,14.6,23.3,18.7,13.3,27.3,,,,15,0.4,4.5,3.0
15,,"Lip, oral cavity and pharynx except nasopharynx",-,-,-,-,1.6,0.7,0.3,2.7,1.4,2.7,4.9,4.8,7.7,18.0,15.5,27.0,23.6,16.1,,,,16,0.3,4.3,2.7
16,,Brain and other central nervous system,2.9,2.6,2.5,0.9,0.8,1.4,1.9,1.5,1.1,0.3,3.7,4.3,3.4,6.0,6.0,3.1,7.4,3.2,,,,17,0.2,2.3,2.3
17,,Gallbladder and extrahepatic bile duct,-,-,-,-,-,-,-,-,0.5,1.2,2.2,4.3,6.0,12.9,12.1,30.1,39.8,51.4,,,,18,0.2,4.0,2.0
18,,Bone and soft tissue,-,0.7,2.0,1.9,0.8,2.2,2.6,0.9,2.5,3.0,2.2,4.8,1.7,3.4,6.9,6.2,1.5,4.8,,,,19,0.2,2.4,1.9
19,,Oesophagus,-,-,-,-,-,-,-,-,0.5,0.3,1.9,3.4,6.9,12.9,12.1,18.7,14.7,25.7,,,,20,0.2,2.7,1.6
20,,Bladder,-,-,-,-,-,-,-,-,0.8,0.3,1.9,1.9,0.9,8.6,12.1,20.8,33.9,41.8,,,,21,0.1,3.0,1.4
21,,Multiple myeloma,-,-,-,-,-,-,-,-,0.3,0.6,1.1,1.9,3.4,8.6,6.9,16.6,25.0,9.6,,,,22,0.1,2.0,1.1
22,,"Vagina, vulva and other female genital",-,-,-,-,-,-,-,-,0.3,0.6,2.2,3.4,0.9,3.4,6.0,3.1,13.3,9.6,,,,23,0.1,1.3,0.7
23,,Hodgkin lymphoma,-,-,-,0.5,1.2,1.8,1.0,0.3,0.3,-,0.4,-,0.9,-,0.9,2.1,1.5,1.6,,,,24,0.0,0.6,0.5
24,,Melanoma of skin,-,-,-,-,0.4,-,0.3,0.3,0.8,0.3,0.7,1.4,2.6,-,3.5,2.1,-,11.3,,,,25,0.1,0.8,0.5
25,,Small intestine,-,-,-,-,-,-,-,-,0.3,0.9,0.4,1.0,2.6,0.9,2.6,2.1,2.9,16.1,,,,26,0.0,0.8,0.4
26,,Thymus / other thoracic organs,-,-,-,-,-,-,-,0.6,1.1,1.5,2.2,1.9,-,-,0.9,-,-,1.6,,,,27,0.0,0.6,0.4
27,,"Nasal cavity, middle ear and accessory sinuses",-,-,-,-,-,-,-,0.3,0.5,0.6,0.7,0.5,-,-,3.5,6.2,4.4,-,,,,28,0.0,0.6,0.3
28,,Other endocrine glands,1.9,-,-,-,-,-,-,0.3,-,-,-,-,-,-,-,-,-,-,,,,29,0.0,0.1,0.3
29,,Larynx,-,-,-,-,0.4,-,-,0.3,-,0.3,0.4,-,0.9,1.7,0.9,1.0,4.4,-,,,,30,0.0,0.3,0.2
30,,Eye,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,0.9,-,-,-,,,,31,0.0,0.1,0.1
31,,Mesothelioma,-,-,-,-,-,-,-,-,-,0.6,-,0.5,-,0.9,-,-,-,-,,,,32,0.0,0.1,0.1
32,,"Uterus, unspecified",-,-,-,-,-,-,0.3,-,-,-,-,0.5,-,0.9,-,-,-,1.6,,,,33,0.0,0.1,0.1
